,Ftest-pval
BcellsofLive,0.4010240585061985
TcellsofLive,0.08164029434078084
NKTofLive,0.6063865434836082
NkofLive,0.7342891910830649
EosofLive,0.486873735378224
CD16hiNeutofLive,0.02012403990438167
CD16intNeutofLive,0.0258577179086705
TotalNeutofLive,0.01629951874908583
HLADRpofNeut,0.2319325448805351
cMonoofLive,0.00911746032894157
intMonoofLive,0.6346736470354383
ncMonoofLive,0.023929118711649315
pDCofLive,0.20393609949883568
DC1ofLive,1.839217806873624e-05
DC2ofLive,0.048061832132084696
TotalMonoofLive,0.10998345487268618
CD8TofCD3,0.15657919409731738
NaiveCD8TofCD8,0.4476483378786974
PD1pCD8TemraofCD8,0.004326473644373069
CD8TemraofCD8,0.040227635288252656
CD8PD1pTcmofCD8,0.002688424586363628
CD8TcmofCD8,0.1383665073404748
CD8PD1pTemofCD8,0.48708383493074925
CD8TemofCD8,0.010912790103885722
FollCD8ofCD8,0.14377102356060129
CD8TexofCD8,0.2007351007392116
CD8TCRactofCD8,0.13829140719812497
CD8PD1pAAofCD8,0.01345630858971491
CD4TofCD3,0.4196849625115
CD4NaiveTofCD4,0.5511175745918401
CD4PD1pTemraofCD4,0.4835876176775462
CD4TemraofCD4,0.4101360861379537
CD4rnTregofCD4,0.6404876969418609
CD4PD1pTcmofCD4,3.874581819163458e-08
CD4TcmofCD4,0.00035556455628950757
CD4PD1pTemofCD4,0.831541718204609
CD4TemofCD4,0.00975476975187391
CD4effTregofCD4,0.4996317140717005
CD4nTregofCD4,0.5965809753011454
CD4TfhofCD4,0.6514523938940391
CD4TexofCD4,0.003362996183652808
CD4TCRactofCD4,0.030790347859877634
CD4PD1pAAofCD4,0.009888490304069616
CD8CXCR3pofCD8,0.14652853013856826
CD8GranzymeBpofCD8,0.5210990401292438
CD8TNFapofCD8,0.11838640088195415
CD8IFNypofCD8,0.3790159697192991
CD8IL2ofCD8,0.01108582324596323
IL4ofCD8,0.2035646377625194
CD8IL6ofCD8,0.00730556639213156
CD4CXCR3pofCD4,0.79607568558244
CD4IL4pofCD4,0.0001878640081260836
CD4IL17pofCD4,0.4085588013640784
CD4TNFapofCD4,0.037993911642705006
CD4IFNypofCD4,0.7584995121236823
CD4IL2ofCD4,0.013287703762769837
CD4IL6ofCD4,0.030754020360813237
CD86HLADRBofB,0.00010198388882316316
ASCofB,0.4370021037134998
USMemofB,0.8239117753105721
CSMemofB,0.1030426803529684
NaiveBofB,0.6794564434613453
DNofB,0.011233817563793621
IL4IL6DPofCD4,0.017790035574548023
IL4IL6DPofCD8,0.02019990286313695
