,LowerBound,UpperBound,EstimatedBeta,EstimatedScale
BcellsofLive,-1.0636937875359278,0.5653676415873183,-0.22887376609505308,1.9539612504487354
TcellsofLive,-0.8951927238906006,6.450124915761658,2.8336918587278572,7.897252856273126
NKTofLive,-0.794676240065584,0.9693462243094723,0.13510476784840453,1.9559559772813464
NkofLive,-1.7715408144047784,1.3187633151178781,-0.27197380340565813,3.6076894834751916
EosofLive,-0.02141031875441405,0.05471554582087386,0.016016777374047223,0.07756618101923501
CD16hiNeutofLive,-0.32069918323502056,0.07954732494584402,-0.11418929343675494,0.40002760076154165
CD16intNeutofLive,-0.0964028019827231,-0.00800492696828506,-0.05143870268482428,0.09744612237208677
TotalNeutofLive,-0.4526349761468277,0.035701240314618424,-0.20259592850236302,0.5072574674181083
HLADRpofNeut,-1.188031185900262,1.3660788012535001,0.0737520969005047,2.9872224548134656
cMonoofLive,-3.2553215022411335,-0.8597536108942107,-2.084492521018434,2.7225448167428916
intMonoofLive,-0.6684564317412559,-0.02042721587701012,-0.33980532948304804,0.763509548345143
ncMonoofLive,-0.0654518510734284,0.4352666030982395,0.18016255572857628,0.595002769319465
pDCofLive,-0.08679154686172855,0.04261698238624334,-0.023127004058325594,0.14402842216397566
DC1ofLive,-0.056286231942382574,-0.038253041800920984,-0.047215089654477176,0.01508293604184407
DC2ofLive,-0.143752239752767,0.007795379697977059,-0.06813328125013161,0.18196938935880427
TotalMonoofLive,-3.4246215738453656,-0.5573844382642461,-2.003628871107472,2.8969000011238513
CD8TofCD3,-4.713417525254303,0.9431178894384185,-1.838130639547478,6.759615609779286
NaiveCD8TofCD8,-3.9999721459200135,4.923281434283767,0.46342702363193783,10.013401475720208
PD1pCD8TemraofCD8,-2.0364168000610006,-0.4150091185736354,-1.208374951265876,2.009473502580171
CD8TemraofCD8,-6.163245011308484,-0.8770042295022779,-3.56605816380452,6.278676237649296
CD8PD1pTcmofCD8,-2.0568947542489293,-0.6476290465830647,-1.3579304714336065,1.5196952426592083
CD8TcmofCD8,-3.120831640036524,0.37694830947395896,-1.3743416932901842,3.8551737677846756
CD8PD1pTemofCD8,-0.8302735312646115,3.398419667295029,1.3182337929433356,4.54184978290569
CD8TemofCD8,1.3475171818593323,7.854581134335678,4.599417619959167,8.405280914446742
FollCD8ofCD8,-0.5766787535729182,0.1701759330501045,-0.20479364631514782,0.9515838453833143
CD8TexofCD8,-0.07987324024165318,0.22190661722604665,0.06517826440774872,0.3580448113345486
CD8TCRactofCD8,-1.7583902769210908,0.13833251592548473,-0.8110743631825607,2.3491751545573694
CD8PD1pAAofCD8,-1.179935341435854,-0.2740640613178158,-0.7330736328616302,1.0475175675763009
CD4TofCD3,-2.0710164332296404,4.614127839301759,1.2894394827559656,7.9927681520085025
CD4NaiveTofCD4,-4.429040229089473,3.367519143583744,-0.4248807316286016,9.373832293257928
CD4PD1pTemraofCD4,-0.04501765754502094,0.00391100655398414,-0.019059314820088383,0.052842478656428424
CD4TemraofCD4,-0.15772375668367197,0.08821056066117589,-0.03372907281330579,0.2889957062435961
CD4rnTregofCD4,-0.2699185812841981,0.22616356399139317,-0.02698169368192303,0.5516601954260831
CD4PD1pTcmofCD4,-5.742108779910124,-2.7764902757478485,-4.255505035691603,3.1487341955857344
CD4TcmofCD4,-10.51750688348066,-2.7455608915631617,-6.654438656448053,8.278730284232743
CD4PD1pTemofCD4,-1.2350383242534744,1.6251145170203272,0.2111820953085827,3.30891776159071
CD4TemofCD4,0.8164908404759916,5.882687832670976,3.358058441051394,5.92687061864186
CD4effTregofCD4,-0.3610885346128885,0.19427302466748558,-0.08416226678168293,0.5559680995927972
CD4nTregofCD4,-0.7012962960633407,0.2505720162046595,-0.2302297084278098,1.1289332652675073
CD4TfhofCD4,-1.727329843490004,0.8451080151281332,-0.4622573103655602,2.8108282657565176
CD4TexofCD4,0.043928677697167476,0.35031707952978564,0.1952693346744241,0.3326856031207211
CD4TCRactofCD4,-1.7100287785181645,-0.14107206648137438,-0.9274767696887375,1.9733853137176665
CD4PD1pAAofCD4,-0.39704406554974303,-0.05046865146272518,-0.216502315026193,0.4220688536919961
CD8CXCR3pofCD8,-0.7453523020672185,4.175514543715519,1.7109992533264295,6.419492700444837
CD8GranzymeBpofCD8,-6.267912253691017,1.48407815475334,-2.5751212401768306,9.289233847814234
CD8TNFapofCD8,-1.8518740796711266,6.016502143685961,2.086033294588852,10.009417963038473
CD8IFNypofCD8,-5.621362724131584,1.753585097154522,-1.9704371598504529,7.970990981250534
CD8IL2ofCD8,0.24289346562558958,2.555405782562778,1.2920859220131353,2.511833767238508
IL4ofCD8,-1.8507674459474914,3.743456969256423,0.8672232626259839,5.932957820057792
CD8IL6ofCD8,0.29204871010898514,0.9947379767908957,0.6112294557999648,0.7409699456680992
CD4CXCR3pofCD4,-4.821592619766729,1.0755267154824903,-1.8991477199719966,6.886058964469837
CD4IL4pofCD4,1.6930792271352166,6.6853463928642025,4.120474324988203,5.551315724435123
CD4IL17pofCD4,-2.3060252281911864,2.3770517844994874,-0.030846907379426896,5.9828279689506045
CD4TNFapofCD4,-8.137880529068108,0.5562604825120618,-3.564751724433451,11.276630378615963
CD4IFNypofCD4,-1.796602270364323,1.43145092699531,-0.22072538432723862,3.9939845110044363
CD4IL2ofCD4,0.1615672175970519,5.718875414776359,2.9180288410104525,6.953265329836133
CD4IL6ofCD4,-0.12008003193468617,1.0446758969848873,0.4494443093795663,1.5860691036306545
CD86HLADRBofB,2.2503889841274596,8.493577458069023,5.359297033288318,7.173928835130959
ASCofB,-0.590790677840036,-0.1554913176348377,-0.3748597134619146,0.4939557564165574
USMemofB,-3.1532127277235733,2.4931644749902406,-0.37127202979356944,6.599067168762617
CSMemofB,-0.7833246877916782,3.7368500075210047,1.4764381292529793,5.145032039540262
NaiveBofB,-6.095395973358505,4.491933478783804,-0.8245303179225526,12.733006891692378
DNofB,1.1049875502029363,2.7764392390945813,1.9282673814580304,1.8028666341102642
IL4IL6DPofCD4,0.043948084971171426,0.2573116930947477,0.14354156287308342,0.24919343542432443
IL4IL6DPofCD8,0.09273004123731561,0.420250635687727,0.24580425177910412,0.3654122766550677
