,n,p,edist,alpha,beta,power
0,100,6,Normal,0.05,0.0,0.053
1,100,6,Cauchy,0.05,0.0,0.009
2,100,6,LogNormal,0.05,0.0,0.034
3,100,6,Normal,0.05,0.5,0.727
4,100,6,Cauchy,0.05,0.5,0.018
5,100,6,LogNormal,0.05,0.5,0.111
6,100,6,Normal,0.05,1.0,0.994
7,100,6,Cauchy,0.05,1.0,0.03
8,100,6,LogNormal,0.05,1.0,0.243
9,100,6,Normal,0.05,1.5,1.0
10,100,6,Cauchy,0.05,1.5,0.03
11,100,6,LogNormal,0.05,1.5,0.366
12,100,6,Normal,0.05,2.0,1.0
13,100,6,Cauchy,0.05,2.0,0.066
14,100,6,LogNormal,0.05,2.0,0.449
15,200,6,Normal,0.05,0.0,0.055
16,200,6,Cauchy,0.05,0.0,0.005
17,200,6,LogNormal,0.05,0.0,0.029
18,200,6,Normal,0.05,0.5,0.967
19,200,6,Cauchy,0.05,0.5,0.014
20,200,6,LogNormal,0.05,0.5,0.153
21,200,6,Normal,0.05,1.0,1.0
22,200,6,Cauchy,0.05,1.0,0.029
23,200,6,LogNormal,0.05,1.0,0.37
24,200,6,Normal,0.05,1.5,1.0
25,200,6,Cauchy,0.05,1.5,0.042
26,200,6,LogNormal,0.05,1.5,0.571
27,200,6,Normal,0.05,2.0,1.0
28,200,6,Cauchy,0.05,2.0,0.056
29,200,6,LogNormal,0.05,2.0,0.697
30,400,6,Normal,0.05,0.0,0.055
31,400,6,Cauchy,0.05,0.0,0.008
32,400,6,LogNormal,0.05,0.0,0.021
33,400,6,Normal,0.05,0.5,1.0
34,400,6,Cauchy,0.05,0.5,0.013
35,400,6,LogNormal,0.05,0.5,0.271
36,400,6,Normal,0.05,1.0,1.0
37,400,6,Cauchy,0.05,1.0,0.026
38,400,6,LogNormal,0.05,1.0,0.626
39,400,6,Normal,0.05,1.5,1.0
40,400,6,Cauchy,0.05,1.5,0.046
41,400,6,LogNormal,0.05,1.5,0.766
42,400,6,Normal,0.05,2.0,1.0
43,400,6,Cauchy,0.05,2.0,0.053
44,400,6,LogNormal,0.05,2.0,0.836
