,dispersion-pval
0,0.02
1,0.106
2,0.193
3,0.072
4,0.153
5,0.198
6,0.698
7,0.143
8,0.675
9,0.079
10,0.088
11,0.72
12,0.414
13,0.061
14,0.06
15,0.542
16,0.244
17,0.059
18,0.142
19,0.508
20,0.31
21,0.711
22,0.269
23,0.173
24,0.155
25,0.458
26,0.337
27,0.725
28,0.067
29,0.547
30,0.405
31,0.091
32,0.043
33,0.651
34,0.043
35,0.268
36,0.211
37,0.218
38,0.695
39,0.167
40,0.31
41,0.242
42,0.045
43,0.696
44,0.012
45,0.021
46,0.568
47,0.036
48,0.122
49,0.15
50,0.426
51,0.333
52,0.538
53,0.496
54,0.41
55,0.034
56,0.205
57,0.518
58,0.028
59,0.115
60,0.036
61,0.253
62,0.657
63,0.157
64,0.653
65,0.153
66,0.292
67,0.194
68,0.047
69,0.256
70,0.271
71,0.017
72,0.254
73,0.312
74,0.326
75,0.551
76,0.1685
77,0.052
78,0.295
79,0.256
80,0.239
81,0.513
82,0.027
83,0.696
84,0.626
85,0.512
86,0.55
87,0.249
88,0.161
89,0.081
90,0.293
91,0.003
92,0.281
93,0.035
94,0.151
95,0.035
96,0.644
97,0.589
98,0.444
99,0.378
100,0.388
101,0.681
102,0.015
103,0.003
104,0.07
105,0.097
106,0.438
107,0.515
108,0.008
109,0.433
110,0.53
111,0.538
112,0.6625
113,0.008
114,0.256
115,0.029
116,0.593
117,0.09
118,0.528
119,0.393
120,0.165
121,0.406
122,0.025
123,0.632
124,0.155
125,0.529
126,0.151
127,0.134
128,0.008
129,0.361
130,0.054
131,0.012
132,0.523
133,0.034
134,0.074
135,0.331
136,0.169
137,0.039
138,0.109
139,0.55
140,0.279
141,0.263
142,0.03
143,0.389
144,0.248
145,0.348
146,0.189
147,0.57
148,0.098
149,0.4
150,0.565
151,0.034
152,0.532
153,0.076
154,0.063
155,0.25
156,0.488
157,0.087
158,0.412
159,0.312
160,0.07
161,0.267
162,0.238
163,0.068
164,0.112
165,0.134
166,0.003
167,0.467
168,0.203
169,0.025
170,0.162
171,0.032
172,0.151
173,0.245
174,0.703
175,0.09
176,0.449
177,0.361
178,0.069
179,0.483
180,0.026
181,0.277
182,0.261
183,0.191
184,0.01
185,0.301
186,0.543
187,0.467
188,0.085
189,0.385
190,0.483
191,0.224
192,0.446
193,0.223
194,0.253
195,0.589
196,0.004
197,0.666
198,0.635
199,0.075
200,0.681
201,0.162
202,0.036
203,0.681
204,0.231
205,0.242
206,0.04
207,0.178
208,0.099
209,0.054
210,0.689
211,0.351
212,0.511
213,0.274
214,0.321
215,0.111
216,0.089
217,0.025
218,0.72
219,0.139
220,0.274
221,0.104
222,0.395
223,0.541
224,0.368
225,0.354
226,0.005
227,0.112
228,0.132
229,0.284
230,0.557
231,0.361
232,0.649
233,0.023
234,0.005
235,0.215
236,0.112
237,0.691
238,0.586
239,0.713
240,0.335
241,0.1
242,0.558
243,0.649
244,0.146
245,0.03
246,0.11
247,0.371
248,0.236
249,0.247
250,0.233
251,0.031
252,0.104
253,0.327
254,0.105
255,0.465
256,0.576
257,0.457
258,0.081
259,0.164
260,0.401
261,0.296
262,0.617
263,0.425
264,0.384
265,0.111
266,0.513
267,0.125
268,0.107
269,0.225
270,0.075
271,0.376
272,0.687
273,0.429
274,0.098
275,0.489
276,0.629
277,0.271
278,0.373
279,0.029
280,0.059
281,0.341
282,0.103
283,0.078
284,0.031
285,0.056
286,0.2015
287,0.164
288,0.494
289,0.628
290,0.026
291,0.46
292,0.169
293,0.616
294,0.377
295,0.01
296,0.296
297,0.033
298,0.224
299,0.03
300,0.03
301,0.02
302,0.627
303,0.116
304,0.32
305,0.026
306,0.637
307,0.333
308,0.525
309,0.166
310,0.354
311,0.622
312,0.088
313,0.619
314,0.224
315,0.493
316,0.555
317,0.32
318,0.178
319,0.075
320,0.074
321,0.088
322,0.004
323,0.007
324,0.091
325,0.294
326,0.292
327,0.666
328,0.389
329,0.069
330,0.527
331,0.34
332,0.073
333,0.672
334,0.228
335,0.064
336,0.389
337,0.441
338,0.102
339,0.375
340,0.171
341,0.01
342,0.064
343,0.738
344,0.649
345,0.155
346,0.22
347,0.451
348,0.639
349,0.534
350,0.603
351,0.656
352,0.628
353,0.546
354,0.632
355,0.157
356,0.032
357,0.439
358,0.054
359,0.169
360,0.298
361,0.212
362,0.462
363,0.021
364,0.521
365,0.662
366,0.341
367,0.626
368,0.039
369,0.304
370,0.108
371,0.419
372,0.357
373,0.606
374,0.224
375,0.226
376,0.646
377,0.583
378,0.477
379,0.25
380,0.488
381,0.387
382,0.198
383,0.572
384,0.369
385,0.203
386,0.383
387,0.005
388,0.001
389,0.114
390,0.268
391,0.035
392,0.241
393,0.207
394,0.182
395,0.441
396,0.68
397,0.145
398,0.198
399,0.669
400,0.683
401,0.623
402,0.632
403,0.674
404,0.701
405,0.679
406,0.233
407,0.187
408,0.629
409,0.234
410,0.309
411,0.107
412,0.132
413,0.672
414,0.659
415,0.628
416,0.125
417,0.131
418,0.667
419,0.613
420,0.429
421,0.697
422,0.095
423,0.686
424,0.672
425,0.058
426,0.151
427,0.031
428,0.033
429,0.158
430,0.072
431,0.031
432,0.69
433,0.655
434,0.27
435,0.068
436,0.369
437,0.079
438,0.06
439,0.634
440,0.391
441,0.008
442,0.067
443,0.263
444,0.615
445,0.256
446,0.048
447,0.097
448,0.319
449,0.184
450,0.012
451,0.01
452,0.297
453,0.089
454,0.081
455,0.661
456,0.176
457,0.229
458,0.5
459,0.604
460,0.152
461,0.492
462,0.604
463,0.155
464,0.318
465,0.121
466,0.222
467,0.045
468,0.249
469,0.427
470,0.082
471,0.445
472,0.453
473,0.11
474,0.366
475,0.113
476,0.135
477,0.179
478,0.03
479,0.49
480,0.481
481,0.181
482,0.493
483,0.077
484,0.344
485,0.226
486,0.243
487,0.598
488,0.551
489,0.059
490,0.246
491,0.002
492,0.444
493,0.546
494,0.166
495,0.184
496,0.536
497,0.232
498,0.174
499,0.189
500,0.137
501,0.073
502,0.431
503,0.125
504,0.618
505,0.685
506,0.298
507,0.408
508,0.215
509,0.153
510,0.492
511,0.199
512,0.32
513,0.148
514,0.392
515,0.672
516,0.634
517,0.449
518,0.411
519,0.154
520,0.088
521,0.483
522,0.67
523,0.692
524,0.418
525,0.025
526,0.009
527,0.124
528,0.51
529,0.046
530,0.017
531,0.009
532,0.012
533,0.038
534,0.444
535,0.648
536,0.029
537,0.491
538,0.226
539,0.6865
540,0.403
541,0.587
542,0.658
543,0.166
544,0.4795
545,0.38
546,0.07
547,0.655
548,0.584
549,0.175
550,0.078
551,0.642
552,0.065
553,0.084
554,0.352
555,0.656
556,0.595
557,0.291
558,0.155
559,0.672
560,0.108
561,0.025
562,0.254
563,0.159
564,0.665
565,0.177
566,0.136
567,0.013
568,0.627
569,0.649
570,0.396
571,0.009
572,0.52
573,0.338
574,0.721
575,0.308
576,0.117
577,0.025
578,0.423
579,0.281
580,0.308
581,0.217
582,0.303
583,0.022
584,0.588
585,0.108
586,0.126
587,0.422
588,0.42
589,0.0315
590,0.575
591,0.198
592,0.21
593,0.656
594,0.088
595,0.57
596,0.525
597,0.643
598,0.059
599,0.155
600,0.686
601,0.125
602,0.06
603,0.166
604,0.076
605,0.184
606,0.254
607,0.042
608,0.636
609,0.201
610,0.518
611,0.662
612,0.022
613,0.353
614,0.526
615,0.4
616,0.128
617,0.569
618,0.342
619,0.314
620,0.092
621,0.593
622,0.528
623,0.129
624,0.203
625,0.697
626,0.038
627,0.317
628,0.412
629,0.092
630,0.268
631,0.144
632,0.679
633,0.674
634,0.388
635,0.507
636,0.229
637,0.126
638,0.332
639,0.417
640,0.118
641,0.046
642,0.314
643,0.495
644,0.281
645,0.52
646,0.437
647,0.357
648,0.234
649,0.161
650,0.441
651,0.584
652,0.576
653,0.033
654,0.043
655,0.676
656,0.096
657,0.353
658,0.229
659,0.122
660,0.149
661,0.545
662,0.636
663,0.287
664,0.294
665,0.656
666,0.187
667,0.553
668,0.106
669,0.03
670,0.159
671,0.264
672,0.28
673,0.076
674,0.166
675,0.151
676,0.02
677,0.599
678,0.054
679,0.083
680,0.459
681,0.4365
682,0.642
683,0.4
684,0.71
685,0.066
686,0.652
687,0.275
688,0.267
689,0.012
690,0.088
691,0.025
692,0.387
693,0.672
694,0.043
695,0.272
696,0.457
697,0.232
698,0.05
699,0.154
700,0.245
701,0.637
702,0.588
703,0.373
704,0.678
705,0.23
706,0.677
707,0.449
708,0.02
709,0.382
710,0.124
711,0.123
712,0.317
