,dispersion-pval
0,0.579
1,0.295
2,0.471
3,0.675
4,0.676
5,0.409
6,0.638
7,0.711
8,0.271
9,0.659
10,0.352
11,0.6785
12,0.042
13,0.666
14,0.135
15,0.616
16,0.681
17,0.361
18,0.588
19,0.321
20,0.116
21,0.534
22,0.312
23,0.612
24,0.108
25,0.429
26,0.663
27,0.631
28,0.59
29,0.456
30,0.185
31,0.319
32,0.139
33,0.202
34,0.444
35,0.305
36,0.711
37,0.231
38,0.696
39,0.618
40,0.483
41,0.611
42,0.126
43,0.074
44,0.151
45,0.561
46,0.141
47,0.7175
48,0.655
49,0.641
50,0.185
51,0.148
52,0.108
53,0.101
54,0.182
55,0.091
56,0.199
57,0.64
58,0.15
59,0.61
60,0.691
61,0.437
62,0.248
63,0.2275
64,0.19
65,0.684
66,0.664
67,0.112
68,0.262
69,0.146
70,0.199
71,0.641
72,0.712
73,0.453
74,0.568
75,0.137
76,0.703
77,0.582
78,0.669
79,0.01
80,0.372
81,0.679
82,0.044
83,0.335
84,0.041
85,0.164
86,0.348
87,0.041
88,0.017
89,0.482
90,0.278
91,0.446
92,0.118
93,0.674
94,0.422
95,0.369
96,0.591
97,0.608
98,0.482
99,0.019
100,0.13
101,0.416
102,0.618
103,0.044
104,0.013
105,0.182
106,0.23
107,0.428
108,0.114
109,0.129
110,0.261
111,0.62
112,0.578
113,0.027
114,0.684
115,0.183
116,0.115
117,0.603
118,0.717
119,0.677
120,0.677
121,0.574
122,0.571
123,0.023
124,0.422
125,0.254
126,0.294
127,0.341
128,0.092
129,0.078
130,0.645
131,0.024
132,0.529
133,0.064
134,0.469
135,0.246
136,0.367
137,0.388
138,0.01
139,0.098
140,0.095
141,0.383
142,0.262
143,0.632
144,0.479
145,0.677
146,0.455
147,0.301
148,0.189
149,0.505
150,0.347
151,0.089
152,0.134
153,0.228
154,0.075
155,0.514
156,0.011
157,0.486
158,0.199
159,0.2
160,0.008
161,0.023
162,0.59
163,0.033
164,0.541
165,0.268
166,0.233
167,0.545
168,0.649
169,0.624
170,0.639
171,0.226
172,0.002
173,0.402
174,0.148
175,0.307
176,0.053
177,0.123
178,0.049
