OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.001,0.001,0.001,0.001,0.001,0.001,2.4849296374026394e-07
0.568,0.001,0.581,0.001,0.001,0.001,0.006172826858159335
0.001,0.001,0.001,0.001,0.001,0.001,1.3531532684245431e-28
0.271,0.001,0.146,0.001,0.001,0.001,0.001890969105769015
0.001,0.001,0.001,0.001,0.001,0.001,1.823366454773582e-16
0.001,0.001,0.001,0.001,0.001,0.001,4.103349569552562e-06
0.001,0.003,0.001,0.001,0.029,0.001,0.0017902592777863408
0.001,0.001,0.001,0.001,0.001,0.001,2.8451530391134093e-16
0.036,0.001,0.002,0.001,0.001,0.001,0.00017131345171511264
0.001,0.001,0.001,0.001,0.001,0.001,2.7925225784081953e-21
0.001,0.001,0.001,0.001,0.001,0.001,0.00021390430102186778
0.001,0.001,0.001,0.001,0.001,0.001,3.770678454859617e-14
0.001,0.001,0.001,0.001,0.001,0.001,2.691451708881494e-22
0.233,0.7085,0.248,0.001,1.0,0.001,0.9321872011956499
0.001,0.037,0.001,0.001,0.003,0.001,0.023944473979803035
0.001,0.001,0.001,0.001,0.001,0.001,1.9848814989174944e-18
0.001,0.001,0.001,0.001,0.001,0.001,9.364793899649328e-25
0.001,0.001,0.001,0.001,0.001,0.001,4.544704216094043e-14
0.001,0.001,0.001,0.001,0.001,0.001,2.0129701112857058e-19
0.001,0.001,0.001,0.001,0.001,0.001,9.06883103714956e-05
0.008,0.326,0.003,0.001,0.061,0.001,0.45412540544507163
0.026,0.4385,0.02,0.001,0.8655,0.001,0.5933301770295922
0.001,0.006,0.001,0.001,0.001,0.001,0.0011306308058661025
0.001,0.174,0.001,0.001,0.009,0.001,0.10070132976047988
0.004,0.299,0.001,0.001,0.013,0.001,0.32555746711678124
0.001,0.001,0.001,0.001,0.001,0.001,6.919314264049466e-05
0.001,0.001,0.001,0.001,0.001,0.001,6.573409511047155e-12
0.001,0.276,0.001,0.001,0.017,0.001,0.20564080863869447
0.002,0.3085,0.001,0.001,0.002,0.001,0.2991242195348374
0.001,0.001,0.001,0.001,0.001,0.001,1.5417981981197614e-10
0.119,0.3895,0.016,0.001,0.023,0.001,0.6040172759640392
0.001,0.001,0.001,0.001,0.001,0.001,2.9744132509673247e-13
0.844,0.3585,0.744,0.001,1.0,0.001,0.5528135881659126
0.001,0.001,0.001,0.001,0.001,0.001,3.5066586235778223e-10
0.001,0.001,0.001,0.001,0.001,0.001,7.65196385165635e-36
0.007,0.31,0.002,0.001,0.058,0.001,0.34760416849462583
0.001,0.001,0.001,0.001,0.001,0.001,7.63904058116023e-10
0.001,0.001,0.001,0.001,0.001,0.001,1.4210485560322918e-11
0.001,0.001,0.001,0.001,0.001,0.001,1.3480589045659962e-05
0.001,0.001,0.001,0.001,0.001,0.001,1.3999050088155135e-14
0.001,0.013,0.001,0.001,0.087,0.001,0.006654335912864639
0.001,0.001,0.001,0.001,0.001,0.001,6.533759957791567e-09
0.001,0.001,0.001,0.001,0.001,0.001,6.232269234733944e-06
0.032,0.388,0.0215,0.001,0.049,0.001,0.5867177733168012
0.001,0.001,0.001,0.001,0.001,0.001,1.8680490427643894e-05
0.001,0.001,0.001,0.001,0.001,0.001,5.423633025974284e-28
0.001,0.001,0.001,0.001,0.001,0.001,4.3621999435947926e-20
0.001,0.001,0.001,0.001,0.001,0.001,5.581018659748494e-14
0.001,0.001,0.001,0.001,0.001,0.001,2.2175234282217246e-22
0.001,0.001,0.001,0.001,0.001,0.001,2.336575685481059e-33
0.001,0.001,0.001,0.001,0.001,0.001,1.1874735555499058e-09
0.001,0.032,0.001,0.001,0.004,0.001,0.017829958572627508
0.001,0.001,0.001,0.001,0.001,0.001,2.4970410471724105e-12
0.001,0.001,0.001,0.001,0.001,0.001,1.778521392135971e-05
0.001,0.002,0.001,0.001,0.001,0.001,3.757779007408705e-05
0.001,0.001,0.001,0.001,0.001,0.001,2.0097102894987572e-19
0.001,0.007,0.001,0.001,0.044,0.001,0.003802613503616103
0.001,0.001,0.001,0.001,0.001,0.001,1.1262114035850337e-16
0.001,0.001,0.001,0.001,0.001,0.001,1.5439237289900108e-22
0.001,0.001,0.001,0.001,0.001,0.001,1.7756798172731832e-07
0.786,0.2155,0.889,0.001,1.0,0.001,0.11341436191339066
0.755,0.287,0.816,0.001,1.0,0.001,0.23908616045777206
0.001,0.001,0.001,0.001,0.001,0.001,6.211499848812575e-10
0.001,0.001,0.001,0.001,0.001,0.001,3.4277157369677376e-08
0.001,0.004,0.001,0.001,0.002,0.001,0.0021228060584112746
0.6725,0.057,0.827,0.001,0.001,0.001,0.035728271272667395
0.002,0.001,0.001,0.001,0.001,0.001,2.30586263658424e-05
0.001,0.001,0.001,0.001,0.001,0.001,3.448294716955219e-06
0.001,0.001,0.001,0.001,0.001,0.001,1.7683465924130498e-11
0.001,0.005,0.001,0.001,0.01,0.001,0.0016202524358666752
0.6895,0.111,0.843,0.001,0.001,0.001,0.05573107465791296
0.001,0.001,0.001,0.001,0.001,0.001,2.102038025137985e-09
0.001,0.001,0.001,0.001,0.001,0.001,0.00045936353620627097
0.001,0.001,0.001,0.001,0.001,0.001,5.4348961460738196e-27
0.001,0.001,0.001,0.001,0.001,0.001,2.084564832609804e-28
0.357,0.626,0.2055,0.001,0.3995,0.001,0.9011086299811586
0.001,0.0175,0.001,0.001,0.001,0.001,0.01038436441286869
0.001,0.001,0.001,0.001,0.001,0.001,1.5896814108509034e-21
0.001,0.001,0.001,0.001,0.001,0.001,0.0005500118372745171
0.001,0.001,0.001,0.001,0.001,0.001,3.920277844176495e-18
0.001,0.001,0.001,0.001,0.001,0.001,2.2403076368173244e-15
0.001,0.001,0.001,0.001,0.001,0.001,5.844238222782323e-07
0.032,0.346,0.004,0.001,0.057,0.001,0.47834112555567754
0.318,0.001,0.258,0.001,0.001,0.001,0.002265492919126166
0.001,0.001,0.001,0.001,0.001,0.001,7.865392910262134e-22
0.001,0.001,0.001,0.001,0.001,0.001,2.4209177386818117e-17
0.001,0.218,0.001,0.001,0.006,0.001,0.13147344152129709
0.001,0.001,0.001,0.001,0.001,0.001,2.234544401408663e-09
0.006,0.4585,0.004,0.001,1.0,0.001,0.4444354647217681
0.001,0.001,0.001,0.001,0.001,0.001,3.6752197195853176e-26
0.285,0.592,0.122,0.001,0.3365,0.001,0.8397002288015314
0.001,0.001,0.001,0.001,0.001,0.001,6.476549275480683e-10
0.001,0.154,0.001,0.001,0.017,0.001,0.0861028391717576
0.001,0.001,0.001,0.001,0.001,0.001,5.5448039168566714e-08
0.001,0.001,0.001,0.001,0.001,0.001,0.0005433683071753058
0.001,0.001,0.001,0.001,0.001,0.001,9.235064828086413e-19
0.031,0.456,0.018,0.001,0.5025,0.001,0.6397971809128752
0.001,0.001,0.001,0.001,0.001,0.001,2.304091230713984e-05
0.001,0.028,0.001,0.001,0.1555,0.001,0.013442014644578998
0.001,0.001,0.001,0.001,0.001,0.001,6.60506047662634e-09
0.001,0.001,0.001,0.001,0.001,0.001,2.606319739175718e-10
0.001,0.001,0.001,0.001,0.002,0.001,0.0007826657740737198
