OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.001,0.001,0.001,0.001,0.001,0.001,0.0001272756060646647
0.001,0.001,0.001,0.001,0.001,0.001,1.2757032064495464e-08
0.001,0.001,0.001,0.001,0.001,0.001,4.119452065507228e-07
0.001,0.006,0.001,0.001,0.004,0.001,0.005567229564728598
0.001,0.001,0.001,0.001,0.001,0.001,1.469233672802591e-09
0.001,0.001,0.001,0.001,0.001,0.001,4.4141334215996586e-07
0.001,0.003,0.001,0.001,0.008,0.001,0.0015137743227968616
0.001,0.001,0.001,0.001,0.001,0.001,1.1133038571074532e-07
0.001,0.001,0.001,0.001,0.001,0.001,2.0357189858295e-07
0.001,0.019,0.001,0.001,0.7285,0.001,0.01986585729000136
0.001,0.001,0.001,0.001,0.002,0.001,0.0006592174490868126
0.002,0.001,0.001,0.001,0.002,0.001,0.00012300821541609382
0.001,0.02,0.001,0.001,0.683,0.001,0.017860863274172675
0.001,0.001,0.001,0.001,0.001,0.001,0.00043876092319629654
0.011,0.003,0.001,0.001,0.003,0.001,0.005155953629704187
0.001,0.001,0.001,0.001,0.001,0.001,5.329061763449144e-05
0.001,0.001,0.001,0.001,0.001,0.001,5.21516301957518e-05
0.001,0.001,0.001,0.001,0.001,0.001,1.423431955899036e-08
0.001,0.013,0.001,0.001,0.045,0.001,0.012413998018273434
0.002,0.001,0.001,0.001,0.001,0.001,1.6598168289079293e-05
0.001,0.001,0.001,0.001,0.001,0.001,0.0001330514365123343
0.001,0.002,0.001,0.001,0.002,0.001,0.0009596142135510101
0.001,0.002,0.001,0.001,0.002,0.001,0.0006623883824915789
0.001,0.002,0.001,0.001,0.002,0.001,0.0006720196158247867
0.001,0.001,0.001,0.001,0.001,0.001,7.715077547439655e-10
0.001,0.001,0.001,0.001,0.001,0.001,7.435257449597218e-15
0.001,0.001,0.001,0.001,0.001,0.001,3.5483956586562246e-05
0.001,0.001,0.001,0.001,0.001,0.001,0.00011713777392538554
0.001,0.001,0.001,0.001,0.001,0.001,0.00027040525926625716
0.001,0.001,0.001,0.001,0.001,0.001,1.5921848735862354e-07
0.001,0.001,0.001,0.001,0.001,0.001,8.72441614690034e-06
0.001,0.001,0.001,0.001,0.001,0.001,5.994510709253875e-07
0.001,0.001,0.001,0.001,0.001,0.001,8.880073284839411e-07
0.001,0.001,0.001,0.001,0.001,0.001,0.007486169185446158
0.001,0.001,0.001,0.001,0.001,0.001,0.0008756194181075047
0.001,0.001,0.001,0.001,0.001,0.001,4.0737954271163814e-07
0.001,0.001,0.001,0.001,0.001,0.001,1.5114350103345126e-06
0.001,0.001,0.001,0.001,0.001,0.001,4.083506205598203e-06
0.001,0.001,0.001,0.001,0.001,0.001,0.0001606819328143439
0.003,0.02,0.001,0.001,0.1195,0.001,0.014929863326629078
0.008,0.001,0.001,0.001,0.001,0.001,0.004518967000003472
0.001,0.001,0.001,0.001,0.001,0.001,4.8198114953676196e-11
0.001,0.001,0.001,0.001,0.001,0.001,4.984305258824648e-10
0.001,0.001,0.001,0.001,0.001,0.001,9.868403515008947e-08
0.001,0.006,0.001,0.001,0.001,0.001,0.0074687385017361075
0.001,0.001,0.001,0.001,0.001,0.001,7.849789518622424e-06
0.001,0.001,0.001,0.001,0.001,0.001,0.000386216879910311
0.001,0.006,0.001,0.001,0.01,0.001,0.00330699926030214
0.001,0.001,0.001,0.001,0.001,0.001,1.026808772161881e-09
0.001,0.001,0.001,0.001,0.001,0.001,4.658514822632871e-09
0.001,0.001,0.001,0.001,0.001,0.001,1.6750796461022596e-05
0.001,0.001,0.001,0.001,0.001,0.001,2.6665125075279133e-05
0.001,0.001,0.001,0.001,0.001,0.001,4.516296243581784e-05
0.001,0.001,0.001,0.001,0.001,0.001,1.3862316822854212e-06
0.001,0.001,0.001,0.001,0.001,0.001,1.0772634824998003e-08
0.701,0.258,0.004,0.1245,0.657,0.005,0.2403151439314026
0.001,0.001,0.001,0.001,0.001,0.001,4.355284301126575e-08
0.001,0.001,0.001,0.001,0.001,0.001,7.170897965427652e-07
0.002,0.016,0.001,0.001,0.01,0.001,0.023146899787765633
0.001,0.001,0.001,0.001,0.001,0.001,1.358866607266293e-05
0.001,0.001,0.001,0.001,0.001,0.001,7.60229115411052e-09
0.001,0.001,0.001,0.001,0.001,0.001,0.0005989807938989411
0.001,0.001,0.001,0.001,0.001,0.001,3.888411456685072e-07
0.001,0.001,0.001,0.001,0.001,0.001,4.687146733642685e-08
0.001,0.001,0.001,0.001,0.001,0.001,0.00247261840818446
0.001,0.001,0.001,0.001,0.001,0.001,5.893697489062849e-09
