OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.003,0.116,0.002,0.001,0.02,0.001,0.04995863691333242
0.739,0.28,0.946,0.001,0.999,0.001,0.3615573858323924
0.006,0.117,0.001,0.001,0.025,0.001,0.04978370562985256
0.006,0.1145,0.002,0.001,0.02,0.001,0.04993685762841802
0.009,0.112,0.005,0.001,0.018,0.001,0.05001072165269798
0.006,0.103,0.001,0.001,0.018,0.001,0.04977702616766178
0.005,0.125,0.001,0.001,0.018,0.001,0.04995464136277691
0.007,0.133,0.002,0.001,0.025,0.001,0.049920505903161695
0.003,0.102,0.002,0.001,0.024,0.001,0.04996109589175996
0.002,0.111,0.001,0.001,0.018,0.001,0.04990391531069923
0.007,0.125,0.003,0.001,0.022,0.001,0.04991125276036698
0.003,0.136,0.001,0.001,0.031,0.001,0.049972231038232916
0.004,0.1125,0.002,0.001,0.02,0.001,0.04995923909365997
0.147,0.001,0.015,0.001,0.001,0.001,5.955958135386687e-06
0.7385,0.261,0.935,0.001,1.0,0.001,0.3621402562896259
0.005,0.112,0.002,0.001,0.018,0.001,0.04980302851857454
0.006,0.105,0.002,0.001,0.017,0.001,0.050003039424326955
0.003,0.109,0.001,0.001,0.021,0.001,0.04976363052747494
0.158,0.002,0.026,0.001,0.001,0.001,5.969481167832598e-06
0.007,0.1055,0.002,0.001,0.022,0.001,0.04981143652349303
0.003,0.134,0.002,0.001,0.02,0.001,0.04962529313353459
0.006,0.137,0.002,0.001,0.024,0.001,0.050012723335600265
0.004,0.13,0.001,0.001,0.014,0.001,0.04991775694304278
0.003,0.136,0.002,0.001,0.015,0.001,0.04965829180224523
0.005,0.131,0.001,0.001,0.018,0.001,0.04983067926713152
0.003,0.119,0.002,0.001,0.023,0.001,0.04984220210084385
0.006,0.121,0.003,0.001,0.018,0.001,0.04978105363467029
0.007,0.1,0.001,0.001,0.013,0.001,0.04977302373585667
0.005,0.124,0.001,0.001,0.022,0.001,0.049986161702705055
0.008,0.128,0.004,0.001,0.031,0.001,0.04995081331825413
0.003,0.131,0.001,0.001,0.022,0.001,0.04980528053809036
0.006,0.1105,0.004,0.001,0.021,0.001,0.04996587359692512
0.007,0.144,0.005,0.001,0.027,0.001,0.04997473948683369
0.009,0.123,0.002,0.001,0.022,0.001,0.04974708850001637
0.005,0.119,0.002,0.001,0.018,0.001,0.050076887197464386
0.004,0.111,0.002,0.001,0.021,0.001,0.04996513394804178
0.007,0.109,0.002,0.001,0.014,0.001,0.050019743330020246
0.004,0.13,0.002,0.001,0.014,0.001,0.04984508382050144
0.004,0.124,0.002,0.001,0.023,0.001,0.04990834106437329
0.007,0.125,0.004,0.001,0.018,0.001,0.04977856885347377
0.7505,0.26,0.942,0.002,0.999,0.0015,0.3620087086913244
0.001,0.141,0.001,0.001,0.021,0.001,0.04969050814855151
0.135,0.001,0.011,0.001,0.001,0.001,5.945609597342235e-06
0.002,0.099,0.001,0.001,0.019,0.001,0.049953164296112164
0.004,0.109,0.003,0.001,0.018,0.001,0.049811270988037656
0.006,0.139,0.004,0.001,0.023,0.001,0.049975993788600126
0.005,0.116,0.002,0.001,0.021,0.001,0.04973238928355737
0.768,0.268,0.938,0.001,1.0,0.001,0.3616002094384876
0.003,0.116,0.001,0.001,0.019,0.001,0.049739191140014294
0.004,0.118,0.004,0.001,0.023,0.001,0.049939136558325624
0.004,0.129,0.002,0.001,0.023,0.001,0.05004380912802934
0.006,0.137,0.002,0.001,0.019,0.001,0.05008158471494863
0.004,0.097,0.001,0.001,0.019,0.001,0.04981692585283787
0.004,0.118,0.001,0.001,0.02,0.001,0.04990197494672571
0.006,0.12,0.004,0.001,0.022,0.001,0.049834979434082126
0.006,0.128,0.002,0.001,0.013,0.001,0.05003579880250036
0.009,0.128,0.001,0.001,0.024,0.001,0.04989716623179636
0.755,0.2935,0.932,0.001,1.0,0.001,0.3613999847141477
0.008,0.129,0.002,0.001,0.023,0.001,0.04990422783463848
0.007,0.126,0.001,0.001,0.025,0.001,0.049846616527210175
0.007,0.123,0.002,0.001,0.023,0.001,0.04981711907396609
0.007,0.1235,0.004,0.001,0.026,0.001,0.050021510755256356
0.7375,0.2915,0.948,0.001,1.0,0.001,0.3609204273665
0.005,0.128,0.003,0.001,0.02,0.001,0.04982456203569893
0.7545,0.28,0.95,0.001,0.999,0.001,0.36173580201019284
0.004,0.1295,0.002,0.001,0.018,0.001,0.04998437011539697
0.005,0.107,0.002,0.001,0.02,0.001,0.04970031682950399
0.003,0.132,0.002,0.001,0.016,0.001,0.04956665139098
0.012,0.11,0.003,0.001,0.017,0.001,0.04981317454425314
0.726,0.2765,0.951,0.001,1.0,0.001,0.3621419938017264
0.008,0.138,0.001,0.001,0.018,0.001,0.04982415617107207
0.002,0.113,0.001,0.001,0.025,0.001,0.049803885603637854
0.003,0.0995,0.002,0.001,0.022,0.001,0.04985807373646429
0.004,0.128,0.003,0.001,0.025,0.001,0.050022760516785066
0.147,0.001,0.022,0.001,0.001,0.001,5.9465171672523776e-06
0.002,0.1175,0.001,0.001,0.019,0.001,0.0497531144280799
0.735,0.2965,0.9485,0.001,1.0,0.001,0.3606063277255095
0.004,0.111,0.001,0.001,0.016,0.001,0.04992383219297535
0.005,0.117,0.001,0.001,0.028,0.001,0.0499603029048101
0.006,0.117,0.002,0.001,0.021,0.001,0.049980545382356495
0.006,0.122,0.002,0.001,0.024,0.001,0.049810768686571694
0.006,0.132,0.003,0.001,0.021,0.001,0.049726825494227106
0.006,0.13,0.003,0.001,0.02,0.001,0.0500703608359345
0.719,0.295,0.937,0.001,1.0,0.001,0.3612930101222246
0.005,0.123,0.001,0.001,0.023,0.001,0.049911515348662554
0.006,0.12,0.002,0.001,0.015,0.001,0.049940918703047225
0.728,0.2805,0.949,0.001,0.999,0.001,0.3612675169135363
0.007,0.13,0.001,0.001,0.02,0.001,0.049940615143610326
0.007,0.133,0.003,0.001,0.022,0.001,0.0499302995584385
0.003,0.127,0.001,0.001,0.021,0.001,0.04988255524195455
0.005,0.118,0.001,0.001,0.02,0.001,0.049785861916282925
0.005,0.117,0.002,0.001,0.016,0.001,0.04995438101288171
0.005,0.1245,0.002,0.001,0.023,0.001,0.04984172835834345
0.004,0.126,0.001,0.001,0.025,0.001,0.0500992331243949
0.005,0.119,0.001,0.001,0.02,0.001,0.05005816283147606
0.003,0.121,0.001,0.001,0.016,0.001,0.04987662653327467
0.003,0.128,0.002,0.001,0.015,0.001,0.049928564668910824
0.008,0.124,0.003,0.001,0.022,0.001,0.05000191212500109
0.006,0.126,0.002,0.001,0.02,0.001,0.04979844237098694
0.003,0.1095,0.002,0.001,0.018,0.001,0.049861832642449214
0.005,0.136,0.002,0.001,0.016,0.001,0.049685762330575194
0.01,0.147,0.003,0.001,0.021,0.001,0.049978844312085026
0.003,0.108,0.002,0.001,0.032,0.001,0.049966775913922665
0.005,0.121,0.004,0.001,0.015,0.001,0.04976079470254364
0.004,0.136,0.004,0.001,0.02,0.001,0.04967291131520301
0.004,0.108,0.002,0.001,0.014,0.001,0.04974494511720791
0.002,0.122,0.001,0.001,0.018,0.001,0.04967479855546625
0.004,0.105,0.001,0.001,0.019,0.001,0.049802118788935985
0.0065,0.113,0.005,0.001,0.023,0.001,0.04971294535261029
0.008,0.1345,0.005,0.001,0.025,0.001,0.04990221723300179
0.006,0.1125,0.002,0.001,0.022,0.001,0.0498035357433338
0.7185,0.2885,0.952,0.001,1.0,0.001,0.36064448991330766
0.003,0.129,0.001,0.001,0.014,0.001,0.049869159440471926
0.7165,0.2975,0.9395,0.001,0.999,0.001,0.3620593373428531
0.006,0.125,0.002,0.001,0.021,0.001,0.050005849713890896
0.006,0.117,0.002,0.001,0.03,0.001,0.05002605507295498
0.004,0.12,0.003,0.001,0.023,0.001,0.04985748145469488
