OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.718,0.3035,0.404,0.7035,0.321,0.453,0.2813199607389557
0.064,0.037,0.04,0.082,0.037,0.046,0.028130605596414688
0.4065,0.3545,0.302,0.475,0.323,0.2815,0.3356802180846963
0.155,0.039,0.048,0.167,0.037,0.053,0.025962250178659056
0.1695,0.209,0.2045,0.197,0.198,0.2095,0.18338156585487667
0.264,0.2005,0.206,0.267,0.1945,0.245,0.17317293260353864
0.009,0.008,0.003,0.014,0.009,0.005,0.004726885917491989
0.015,0.033,0.025,0.014,0.037,0.018,0.02319962300424924
0.2655,0.317,0.316,0.2965,0.297,0.314,0.287455564824583
0.4985,0.804,0.6345,0.368,0.9325,0.471,0.8188812767786613
0.551,0.0985,0.105,0.5685,0.101,0.121,0.06837923642230188
0.052,0.003,0.002,0.042,0.003,0.005,0.0007319361210361733
0.681,0.3575,0.452,0.688,0.36,0.5015,0.3235351025859605
0.48,0.4005,0.3995,0.5495,0.382,0.416,0.38624301804998307
0.6145,0.4315,0.3395,0.7385,0.419,0.346,0.434332367027343
0.751,0.524,0.4435,0.801,0.485,0.4585,0.4928618036133051
0.001,0.001,0.001,0.002,0.003,0.001,0.0004002268068049378
0.423,0.291,0.32,0.422,0.308,0.322,0.2599675753570721
0.01,0.001,0.001,0.011,0.001,0.001,0.00026110465248405465
0.4205,0.7815,0.6615,0.4085,0.7325,0.657,0.7928726939012195
0.2915,0.152,0.231,0.338,0.149,0.281,0.136656369817977
0.0325,0.003,0.005,0.034,0.003,0.007,0.0012294094856163018
0.035,0.011,0.02,0.038,0.012,0.027,0.009893092374337772
0.21,0.01,0.024,0.119,0.014,0.037,0.008464078898687947
0.005,0.001,0.002,0.011,0.001,0.004,0.0002688866823892608
0.304,0.342,0.267,0.3345,0.3455,0.277,0.3218144318188585
0.2775,0.525,0.452,0.24,0.565,0.383,0.4894002992266355
0.015,0.0275,0.015,0.0175,0.031,0.014,0.02303588455430583
0.66,0.2295,0.331,0.5885,0.241,0.3875,0.21158990670962802
0.131,0.046,0.06,0.124,0.047,0.068,0.04204142844681269
0.801,0.65,0.718,0.7525,0.66,0.809,0.6374230082368784
0.003,0.001,0.001,0.003,0.001,0.001,0.0004731655974834866
0.1575,0.231,0.14,0.173,0.261,0.114,0.1984649458218696
0.357,0.055,0.058,0.326,0.0535,0.074,0.03298688944637681
0.212,0.1475,0.0865,0.2345,0.185,0.072,0.12974946342108734
0.594,0.8465,0.799,0.4675,0.825,0.76,0.9616717529051166
0.604,0.295,0.291,0.5715,0.2905,0.338,0.2447909536703603
0.017,0.005,0.003,0.025,0.005,0.004,0.003326497514332684
0.031,0.0645,0.061,0.037,0.069,0.061,0.0594502502502445
0.151,0.237,0.198,0.1355,0.227,0.174,0.20865451413643907
0.162,0.2245,0.186,0.2125,0.22,0.18,0.22354353104588498
0.074,0.062,0.098,0.082,0.065,0.0865,0.0556378036420549
0.118,0.119,0.103,0.135,0.117,0.1095,0.09950876920610716
0.6255,0.146,0.188,0.673,0.145,0.2325,0.12860828897682136
0.222,0.288,0.186,0.203,0.308,0.1645,0.2797407409726069
0.156,0.087,0.08,0.177,0.085,0.085,0.05995642126239905
0.004,0.004,0.002,0.005,0.004,0.002,0.00399117411448656
0.174,0.2225,0.1655,0.164,0.2385,0.15,0.18397390661804694
0.6045,0.8245,0.791,0.612,0.785,0.785,0.8492492338473303
0.2915,0.4605,0.34,0.17,0.498,0.2935,0.43424643544989516
0.4025,0.0665,0.092,0.433,0.0675,0.099,0.048395860522204376
0.006,0.001,0.001,0.007,0.003,0.003,0.000631923141887272
0.551,0.7045,0.62,0.5935,0.703,0.58,0.6997016169049833
0.022,0.081,0.033,0.015,0.1235,0.017,0.0629682129866502
0.295,0.322,0.3425,0.2945,0.3225,0.3235,0.28754313864746983
0.3455,0.365,0.283,0.3605,0.374,0.266,0.3529027062725084
0.228,0.02,0.033,0.2215,0.02,0.064,0.013792288135738935
