OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.012,0.027,0.013,0.02,0.018,0.012,0.02049667961336076
0.004,0.003,0.002,0.004,0.003,0.001,0.0028564951213031604
0.764,0.6295,0.8845,0.6825,0.669,0.8205,0.6030091911783222
0.153,0.003,0.011,0.074,0.002,0.019,0.0021437975573396404
0.021,0.029,0.007,0.013,0.027,0.01,0.014783498096325
0.132,0.5035,0.2895,0.0735,0.6655,0.145,0.5030182814706818
0.069,0.146,0.042,0.05,0.102,0.042,0.12755810280110064
0.001,0.006,0.002,0.002,0.006,0.001,0.0024770880718064728
0.056,0.002,0.004,0.018,0.003,0.003,0.0013267415839647613
0.014,0.004,0.005,0.013,0.003,0.007,0.0029094279833940624
0.001,0.02,0.002,0.003,0.017,0.001,0.008042760616183451
0.1885,0.056,0.049,0.113,0.059,0.065,0.04529773622214567
0.16,0.11,0.115,0.171,0.094,0.156,0.07844712804800474
0.041,0.002,0.004,0.061,0.002,0.007,0.0015100210453136314
0.003,0.006,0.003,0.005,0.005,0.004,0.0034104740436597543
0.0675,0.1275,0.032,0.046,0.089,0.027,0.1065250890874846
0.108,0.039,0.114,0.093,0.046,0.104,0.026447532327471653
0.1225,0.137,0.092,0.141,0.139,0.086,0.10633636123326361
0.038,0.056,0.029,0.031,0.051,0.031,0.035987555306855795
0.001,0.012,0.001,0.001,0.0185,0.001,0.007841458550556199
0.1,0.3835,0.078,0.055,0.968,0.022,0.35065265994908856
0.014,0.012,0.015,0.018,0.011,0.013,0.005410302107632951
0.067,0.0285,0.012,0.09,0.015,0.029,0.015233870332511633
0.8675,0.488,0.908,0.4715,0.939,0.6325,0.4419303437553449
0.025,0.016,0.01,0.033,0.014,0.01,0.008485967845038331
0.181,0.395,0.292,0.1605,0.435,0.28,0.3371395255624027
0.021,0.0725,0.022,0.026,0.068,0.015,0.056128070355761575
0.5075,0.512,0.3325,0.504,0.4495,0.4885,0.4778496443134249
0.048,0.011,0.019,0.067,0.012,0.02,0.007231286870711579
0.2835,0.611,0.3915,0.192,0.617,0.2795,0.5850865954175744
0.738,0.315,0.445,0.705,0.328,0.521,0.31277870332381347
0.3195,0.129,0.134,0.3005,0.129,0.175,0.1052694069312549
0.01,0.009,0.008,0.01,0.009,0.01,0.0031603823193072944
0.7615,0.731,0.847,0.356,0.947,0.4555,0.7279553745316631
0.6895,0.8005,0.7705,0.397,0.889,0.5575,0.8093007950330449
0.425,0.639,0.63,0.532,0.545,0.6715,0.635453443381055
0.075,0.001,0.008,0.036,0.001,0.009,0.0011004459235922693
0.016,0.047,0.021,0.01,0.051,0.015,0.03671431554578266
0.061,0.427,0.113,0.007,0.8415,0.013,0.4042741751534207
0.001,0.001,0.001,0.002,0.001,0.001,3.9356267567987495e-05
0.072,0.003,0.004,0.03,0.004,0.008,0.0018788079323825571
0.008,0.014,0.004,0.003,0.01,0.003,0.008895569916119565
0.162,0.082,0.118,0.3675,0.082,0.147,0.057310365461683416
0.089,0.026,0.024,0.076,0.026,0.0305,0.020693116483628798
0.242,0.138,0.111,0.238,0.167,0.11,0.11234741684216816
0.2655,0.653,0.3495,0.249,0.53,0.4165,0.6611051195018097
0.035,0.27,0.011,0.0415,0.107,0.015,0.21884548231516587
0.004,0.015,0.001,0.003,0.022,0.001,0.005883760420111601
0.278,0.2375,0.118,0.244,0.204,0.108,0.19873906395679097
0.141,0.06,0.083,0.092,0.063,0.0925,0.03739089397631789
0.002,0.001,0.001,0.001,0.001,0.001,9.626727803037538e-05
0.004,0.013,0.01,0.003,0.011,0.006,0.0058938460296295864
0.083,0.3975,0.0735,0.034,0.3325,0.048,0.44872628495088596
0.111,0.3185,0.023,0.091,0.193,0.027,0.3716232525259304
0.082,0.2505,0.162,0.085,0.263,0.121,0.2217775260267891
0.515,0.752,0.682,0.5105,0.679,0.7,0.7731156214624648
0.006,0.003,0.008,0.007,0.004,0.009,0.0016316600629269697
0.154,0.189,0.153,0.091,0.184,0.1245,0.17167176480845434
0.381,0.748,0.4925,0.372,0.8325,0.3715,0.7568910863707785
0.1815,0.45,0.378,0.1855,0.3865,0.304,0.4384826663364946
0.022,0.012,0.011,0.02,0.012,0.012,0.011637073807172082
0.003,0.016,0.005,0.003,0.014,0.004,0.0070087414115995944
0.031,0.016,0.005,0.048,0.015,0.009,0.009372890898624368
0.034,0.114,0.048,0.033,0.092,0.037,0.09013494350461619
0.165,0.455,0.2865,0.107,0.5915,0.1825,0.43547958865597136
0.2075,0.4195,0.415,0.229,0.3995,0.3915,0.4291102209855635
0.012,0.048,0.01,0.011,0.058,0.006,0.032534937545810064
0.3815,0.1625,0.362,0.4845,0.1615,0.406,0.12813447974488257
0.247,0.592,0.4245,0.1755,0.705,0.317,0.5382223772931789
0.4995,0.7125,0.47,0.5105,0.8505,0.3935,0.7379348013849307
0.005,0.159,0.004,0.001,0.228,0.002,0.1460140432425397
0.4555,0.7805,0.6445,0.412,0.7005,0.6115,0.801550664532452
0.009,0.004,0.002,0.007,0.005,0.001,0.001256493925624326
0.1985,0.103,0.073,0.198,0.0875,0.083,0.09917015041419296
0.031,0.069,0.052,0.03,0.061,0.043,0.05535883874368981
0.02,0.006,0.013,0.017,0.004,0.014,0.00557333270121922
0.097,0.071,0.047,0.1075,0.066,0.0485,0.07038658867185908
0.042,0.008,0.008,0.038,0.008,0.008,0.005519823627984119
0.379,0.022,0.117,0.177,0.029,0.113,0.013637874784143663
0.553,0.863,0.699,0.54,0.8475,0.5965,0.9710308524749782
0.189,0.5465,0.2335,0.089,0.72,0.139,0.5017920819495388
0.3955,0.343,0.279,0.452,0.3225,0.2895,0.31537154219524044
0.1975,0.1475,0.15,0.205,0.145,0.142,0.12637857948979705
0.039,0.082,0.051,0.032,0.107,0.032,0.06366278917513447
0.104,0.3405,0.176,0.053,0.4455,0.084,0.32053896106349933
0.1755,0.509,0.2485,0.128,0.5485,0.211,0.4596568532454288
0.454,0.208,0.258,0.386,0.2,0.2775,0.20011941524010782
0.247,0.185,0.085,0.344,0.162,0.105,0.16332731943428425
0.2475,0.215,0.1415,0.3405,0.226,0.119,0.18905420814027657
0.03,0.0095,0.007,0.021,0.011,0.007,0.009255354369530174
0.145,0.009,0.025,0.081,0.01,0.0395,0.005491118438671237
0.001,0.001,0.001,0.001,0.001,0.001,0.00026872213983110383
0.614,0.093,0.1855,0.303,0.0985,0.181,0.07376791851411627
0.05,0.052,0.021,0.063,0.055,0.01,0.04207474229765866
0.013,0.019,0.005,0.019,0.0145,0.005,0.007261191445100323
0.216,0.6145,0.178,0.148,0.902,0.043,0.58901116971332
0.007,0.0645,0.024,0.004,0.056,0.012,0.03416442070777144
0.5695,0.4345,0.298,0.6565,0.3875,0.3465,0.3863471025858597
0.464,0.463,0.2985,0.4275,0.389,0.4125,0.4401371331132896
0.062,0.05,0.055,0.049,0.055,0.045,0.031231576505496357
0.4915,0.802,0.558,0.3805,0.7845,0.464,0.873354367025043
0.112,0.2155,0.096,0.1055,0.203,0.097,0.17245027872442908
0.1425,0.004,0.0225,0.012,0.004,0.005,0.004274142751281169
0.5605,0.8595,0.7285,0.4255,0.828,0.648,0.9978061053526452
0.578,0.8555,0.723,0.567,0.891,0.541,0.9246563289780364
0.277,0.075,0.135,0.2055,0.063,0.138,0.06319630698733424
0.108,0.215,0.037,0.066,0.126,0.037,0.16993232714346018
0.946,0.3075,0.977,0.394,0.9285,0.6585,0.2536875589077132
0.049,0.026,0.085,0.032,0.025,0.057,0.023826747093024646
0.055,0.027,0.013,0.049,0.027,0.011,0.014189228989640937
0.652,0.723,0.579,0.7175,0.639,0.784,0.7053347145019413
0.044,0.256,0.043,0.057,0.226,0.018,0.2217998197703386
0.3985,0.3655,0.3315,0.399,0.322,0.328,0.35322241763860196
0.007,0.001,0.001,0.006,0.001,0.001,0.0006184588380609207
0.37,0.3635,0.252,0.4205,0.293,0.344,0.328692853514286
0.2115,0.214,0.233,0.1885,0.203,0.2485,0.1886057711481035
0.1,0.263,0.062,0.058,0.1925,0.058,0.26591807258378836
0.139,0.195,0.1445,0.139,0.223,0.088,0.1556625690967362
0.008,0.024,0.015,0.011,0.019,0.015,0.015122368157465342
0.5355,0.839,0.6645,0.4495,0.938,0.328,0.93119072656488
0.078,0.121,0.073,0.055,0.109,0.061,0.08338853985789976
0.4585,0.7885,0.618,0.419,0.835,0.536,0.8214243258084736
0.044,0.139,0.099,0.038,0.147,0.071,0.12681172914689223
0.009,0.007,0.005,0.012,0.007,0.004,0.0022249028013526556
0.461,0.826,0.549,0.337,0.778,0.4355,0.880899730602515
0.037,0.0415,0.024,0.0265,0.034,0.026,0.03764008965999456
0.2065,0.08,0.051,0.189,0.074,0.066,0.0659608118130803
0.134,0.47,0.222,0.168,0.4465,0.164,0.42990863247351974
0.009,0.006,0.004,0.006,0.005,0.002,0.001880626181842801
0.713,0.6405,0.5575,0.7755,0.6155,0.796,0.6393330656908285
0.1645,0.249,0.091,0.119,0.2395,0.092,0.21110045203766914
0.092,0.005,0.0685,0.0325,0.004,0.022,0.0013143380310946657
0.026,0.027,0.001,0.016,0.022,0.002,0.017014849997278314
0.3535,0.73,0.4895,0.2285,0.7665,0.356,0.7207110346303587
0.295,0.165,0.156,0.3035,0.162,0.178,0.12878127339754172
0.371,0.731,0.367,0.217,0.966,0.153,0.7454479046850774
0.3355,0.6095,0.384,0.42,0.53,0.432,0.5975706869119856
0.5875,0.8025,0.5985,0.6765,0.758,0.602,0.8532355883204232
0.3945,0.3445,0.2635,0.331,0.3545,0.271,0.33557125042430036
0.248,0.6055,0.4125,0.199,0.66,0.299,0.586190645715128
0.027,0.009,0.007,0.02,0.009,0.009,0.007881171076546211
0.22,0.6875,0.179,0.02,1.0,0.005,0.6902967259251958
0.4055,0.467,0.269,0.4855,0.369,0.4455,0.46258076925386415
0.073,0.11,0.02,0.068,0.082,0.0235,0.08429631497040113
0.004,0.011,0.003,0.004,0.009,0.004,0.007326227608616009
0.001,0.001,0.001,0.001,0.001,0.001,7.170131044941288e-05
0.638,0.423,0.8665,0.6945,0.519,0.7905,0.40293102501289946
0.13,0.4665,0.065,0.095,0.313,0.055,0.6267315897669872
0.5275,0.349,0.108,0.6975,0.2925,0.223,0.3686355412009812
0.096,0.1235,0.03,0.0795,0.084,0.022,0.09837550143207262
0.006,0.002,0.002,0.005,0.002,0.002,0.0005890691881854263
0.002,0.017,0.005,0.001,0.017,0.002,0.011153408525002127
0.447,0.5905,0.633,0.5375,0.4905,0.5675,0.5790427609919393
0.011,0.013,0.005,0.0205,0.009,0.006,0.005167517301054558
0.382,0.7535,0.5575,0.463,0.665,0.5225,0.7518939776790973
0.896,0.221,0.981,0.809,0.966,0.4265,0.20614282904806633
0.004,0.013,0.002,0.003,0.013,0.002,0.007690415194809015
0.872,0.233,0.865,0.4805,0.9625,0.3415,0.1422897188963619
0.3305,0.6195,0.3435,0.2045,0.886,0.197,0.6070013820704377
0.2935,0.04,0.115,0.253,0.043,0.118,0.03672911177675805
0.6945,0.8235,0.8515,0.7715,0.921,0.595,0.9114250978525841
0.498,0.4095,0.3455,0.4595,0.388,0.4015,0.3838496310828209
0.236,0.5145,0.252,0.203,0.4935,0.209,0.4782833985571563
0.3965,0.071,0.1915,0.211,0.077,0.195,0.05306834591124258
0.016,0.012,0.01,0.024,0.01,0.009,0.005661813101726804
0.189,0.4215,0.1945,0.186,0.3855,0.1775,0.4086933036245629
0.1485,0.2005,0.1205,0.2075,0.164,0.138,0.1746798290986393
0.013,0.008,0.006,0.005,0.008,0.004,0.002760072342935041
0.2065,0.264,0.147,0.2455,0.276,0.126,0.2440991383547203
