OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.752,0.044,0.616,0.4375,0.284,0.4265,2.1971979625885264e-05
0.5775,0.5235,0.582,0.6115,0.49,0.686,0.7215709366052876
0.6065,0.6395,0.5135,0.585,0.6,0.6595,0.7292888064160952
0.5915,0.6025,0.718,0.4535,0.634,0.473,0.6346142092753779
0.6165,0.4275,0.654,0.083,0.9125,0.0925,0.49432393018126497
0.3075,0.611,0.3035,0.248,0.571,0.1965,0.6901829479763154
0.4205,0.374,0.322,0.457,0.3435,0.35,0.5731231473836981
0.462,0.167,0.234,0.543,0.23,0.405,0.18211996368629202
0.4805,0.384,0.2805,0.436,0.339,0.362,0.6452812521022127
0.257,0.553,0.2335,0.2005,0.427,0.18,0.8147531101255596
0.74,0.1835,0.734,0.6795,0.6855,0.6955,0.25088744074704605
0.449,0.066,0.091,0.303,0.081,0.219,0.004354036739397766
0.7005,0.056,0.256,0.7305,0.3765,0.6355,0.012102350333589392
0.908,0.065,0.919,0.6255,0.2225,0.5335,0.004532669147834621
0.861,0.2625,0.811,0.5195,0.3295,0.5455,0.6690936878033483
0.446,0.4925,0.5555,0.687,0.585,0.7,0.7738552332233565
0.5385,0.672,0.6025,0.6845,0.566,0.7335,0.9576437972404981
0.4115,0.703,0.4335,0.6135,0.555,0.5955,0.9064840754399208
0.4515,0.7305,0.4405,0.642,0.624,0.6365,0.8901523966510699
0.766,0.531,0.702,0.7285,0.5145,0.7495,0.6830756623593693
0.4985,0.6625,0.5805,0.656,0.6045,0.716,0.8713412235121527
0.551,0.4855,0.612,0.457,0.745,0.48,0.701801861429634
0.5165,0.362,0.607,0.6215,0.3505,0.574,0.45678204827696034
0.6735,0.476,0.7345,0.6185,0.5165,0.6805,0.49124787763698297
0.853,0.285,0.843,0.4885,0.7385,0.6355,0.42665496851599616
0.318,0.4985,0.365,0.456,0.4785,0.4025,0.7219167698316868
0.055,0.055,0.052,0.047,0.0595,0.047,1.1016556703235547e-05
0.4045,0.555,0.4035,0.347,0.469,0.3155,0.9362777012878057
0.4025,0.6195,0.4885,0.612,0.5075,0.665,0.7813946756295058
0.353,0.714,0.34,0.542,0.5055,0.5445,0.9415262726803248
0.5735,0.786,0.6655,0.675,0.6815,0.708,0.8952396416313962
0.5885,0.289,0.786,0.359,0.2485,0.365,0.20258826806697508
0.355,0.6475,0.345,0.5115,0.648,0.555,0.8068539305851057
0.4895,0.449,0.465,0.61,0.4505,0.5125,0.40792937424041564
0.3705,0.6425,0.421,0.599,0.492,0.691,0.8879308285725268
0.527,0.3735,0.261,0.53,0.3095,0.513,0.5566345773065214
0.073,0.009,0.006,0.1185,0.008,0.0405,6.984709261873131e-19
0.307,0.532,0.387,0.297,0.476,0.2555,0.6448331847145429
0.482,0.654,0.5105,0.575,0.5575,0.6215,0.8840368845824914
0.4555,0.6155,0.5555,0.545,0.5235,0.589,0.8936588491543911
0.6705,0.574,0.6145,0.7085,0.5365,0.722,0.9024987486356227
0.4035,0.4245,0.3075,0.4115,0.342,0.361,0.6130034332563556
0.113,0.3595,0.0865,0.041,0.3235,0.035,0.4093627229312332
0.616,0.293,0.6325,0.31,0.2205,0.2335,0.6057164169772635
0.5375,0.5695,0.5345,0.715,0.5345,0.6885,0.8481819418387974
0.323,0.4265,0.203,0.505,0.3025,0.385,0.6503123714802036
0.554,0.611,0.5775,0.5795,0.512,0.677,0.7853603297137675
0.5135,0.5895,0.5135,0.697,0.5685,0.7225,0.9778265018576537
0.6495,0.616,0.691,0.438,0.851,0.4265,0.795416753859381
0.873,0.065,0.861,0.0595,0.043,0.034,0.031706683260190334
0.3545,0.1465,0.118,0.2125,0.151,0.1475,0.1585241841844207
0.416,0.7005,0.48,0.527,0.5725,0.6025,0.9961455700073829
0.516,0.4995,0.5725,0.6805,0.6605,0.6855,0.8309848594520576
0.5955,0.107,0.568,0.415,0.112,0.2395,0.02636893079151033
0.036,0.067,0.029,0.023,0.069,0.017,0.03761495791236272
0.4545,0.445,0.366,0.3115,0.574,0.322,0.8341603458237545
0.4185,0.281,0.202,0.3105,0.3295,0.222,0.39383591885911995
0.315,0.4205,0.249,0.271,0.4275,0.2495,0.4341318963093924
0.4235,0.5085,0.496,0.696,0.544,0.7065,0.9505765323510528
0.737,0.3475,0.7835,0.61,0.74,0.6045,0.4885514645256539
0.396,0.541,0.329,0.369,0.43,0.3735,0.6594420804018827
0.503,0.59,0.6145,0.703,0.5775,0.6905,0.8821924216489159
0.522,0.6655,0.5145,0.4255,0.676,0.379,0.8840070013084842
0.2625,0.108,0.168,0.3405,0.209,0.2655,0.04471250745742069
0.311,0.2515,0.189,0.1805,0.2395,0.155,0.4804660722895744
0.497,0.591,0.486,0.665,0.631,0.655,0.7577377386029988
0.4235,0.5765,0.379,0.21,0.615,0.2175,0.8856764291025929
0.502,0.726,0.564,0.6315,0.5845,0.607,0.8602982200649592
0.508,0.271,0.508,0.184,0.1965,0.16,0.3157896308132655
0.564,0.715,0.6265,0.487,0.55,0.339,0.9538611093743157
0.426,0.6495,0.476,0.6175,0.646,0.73,0.8794117973198803
0.3875,0.6095,0.3835,0.4395,0.498,0.448,0.9600471091795015
0.549,0.6225,0.565,0.5415,0.635,0.522,0.9432106662904228
0.4735,0.7345,0.513,0.479,0.503,0.558,0.9344540866459274
0.6435,0.376,0.682,0.48,0.767,0.5125,0.4323382810417591
0.4965,0.519,0.487,0.5295,0.496,0.5525,0.7803704702494593
0.352,0.694,0.323,0.6255,0.517,0.688,0.8893127965546019
0.4965,0.617,0.446,0.603,0.4955,0.6495,0.7578314721889111
0.622,0.455,0.605,0.695,0.517,0.68,0.4707798452130928
0.468,0.543,0.4465,0.3965,0.737,0.381,0.6269685931851617
0.1865,0.527,0.226,0.5035,0.41,0.5595,0.6318788053777185
0.541,0.396,0.461,0.48,0.428,0.4305,0.3456452893488877
0.3005,0.365,0.2465,0.6885,0.309,0.544,0.6097620598486347
0.313,0.071,0.05,0.063,0.061,0.042,0.05234272368038106
0.918,0.0935,0.913,0.6245,0.539,0.712,0.01101615227274485
0.5125,0.5705,0.505,0.548,0.4645,0.6305,0.7801851603853605
0.112,0.1175,0.0935,0.093,0.114,0.0935,0.18482612342061633
0.4295,0.646,0.451,0.6415,0.5305,0.691,0.8673198848362823
0.4805,0.6225,0.4225,0.7185,0.558,0.623,0.9968251071410564
0.597,0.54,0.534,0.3115,0.457,0.2875,0.8533475329195317
0.422,0.684,0.4745,0.433,0.6355,0.3875,0.9729444502052269
0.828,0.0865,0.803,0.4015,0.1315,0.364,0.001936128093385816
0.827,0.361,0.8135,0.6425,0.6745,0.7335,0.48871544774251585
0.472,0.5185,0.5695,0.4215,0.752,0.4275,0.9026681502432352
0.485,0.5255,0.558,0.459,0.402,0.479,0.884943255252966
0.432,0.5305,0.5255,0.771,0.507,0.733,0.8494370518173043
0.3945,0.655,0.427,0.6005,0.481,0.506,0.7870089300703473
0.346,0.5465,0.396,0.65,0.445,0.4905,0.798220726291058
0.5665,0.707,0.653,0.6045,0.5145,0.677,0.9692389581029118
0.634,0.4925,0.5585,0.5345,0.4965,0.472,0.7709890745712462
0.4935,0.7295,0.5865,0.6285,0.7595,0.558,0.9449523849284323
0.172,0.05,0.155,0.092,0.045,0.0925,0.010239759918346416
