OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.523,0.127,0.066,0.422,0.111,0.089,0.1456232430942739
0.138,0.063,0.066,0.079,0.071,0.061,0.07173286282918297
0.152,0.191,0.16,0.132,0.1965,0.141,0.333081853372725
0.228,0.682,0.2195,0.043,0.926,0.034,0.7503477349716644
0.024,0.015,0.012,0.019,0.022,0.009,0.005206875700134631
0.7435,0.149,0.138,0.633,0.165,0.221,0.14442345324252698
0.781,0.605,0.394,0.1315,0.922,0.164,0.7483267705978238
0.142,0.2015,0.13,0.025,0.2515,0.056,0.23831659391003887
0.075,0.1495,0.098,0.055,0.124,0.0655,0.38073818676227167
0.114,0.217,0.098,0.0975,0.2365,0.065,0.20781120461643138
0.148,0.2375,0.153,0.123,0.2505,0.1265,0.5063043835436932
0.121,0.0865,0.09,0.09,0.098,0.082,0.053146734425525
0.4485,0.18,0.132,0.4385,0.208,0.16,0.15942051372599528
0.017,0.05,0.014,0.003,0.038,0.004,0.04881911922293686
0.487,0.077,0.115,0.1675,0.088,0.116,0.07180639685624671
0.446,0.596,0.5255,0.6865,0.59,0.4905,0.7047950056878105
0.04,0.303,0.059,0.0385,0.27,0.022,0.33887462402817714
0.13,0.1035,0.087,0.107,0.103,0.096,0.2079322840691138
0.229,0.085,0.091,0.131,0.101,0.096,0.10178739252042929
0.007,0.076,0.011,0.004,0.065,0.004,0.10500300381118774
0.172,0.3315,0.174,0.1365,0.374,0.139,0.43024018109829265
0.034,0.232,0.056,0.01,0.206,0.015,0.2403946142254938
0.382,0.513,0.1515,0.078,0.5275,0.068,0.5458800279090263
0.135,0.254,0.166,0.063,0.2585,0.111,0.30093913881124595
0.128,0.456,0.234,0.059,0.57,0.097,0.4690139246555117
0.075,0.083,0.072,0.061,0.08,0.067,0.06521868865401857
0.031,0.039,0.029,0.051,0.032,0.041,0.003752593452558967
0.028,0.253,0.093,0.037,0.215,0.041,0.2710277918249884
0.7565,0.847,0.6615,0.5095,0.838,0.62,0.9092197527550783
0.13,0.185,0.164,0.166,0.187,0.14,0.2600983842564827
0.561,0.6395,0.3965,0.192,0.691,0.254,0.6915933811898578
0.146,0.378,0.2125,0.109,0.4585,0.153,0.5135190079487504
0.015,0.0945,0.007,0.006,0.1,0.001,0.13976658489056518
0.685,0.754,0.8145,0.7185,0.8925,0.6205,0.7809903104610734
0.3915,0.086,0.109,0.224,0.102,0.123,0.07223354264358389
0.027,0.09,0.006,0.005,0.064,0.005,0.07764161176543327
0.365,0.1565,0.1025,0.572,0.133,0.128,0.1342089479355725
0.105,0.176,0.058,0.076,0.195,0.037,0.18364569331224936
0.015,0.016,0.015,0.017,0.016,0.014,9.849829332471534e-05
0.137,0.092,0.08,0.116,0.092,0.0605,0.1080035848159933
0.589,0.3805,0.423,0.275,0.958,0.19,0.42531043825874437
0.089,0.1855,0.123,0.063,0.196,0.103,0.2764005454233624
0.4795,0.299,0.9215,0.754,0.5085,0.7935,0.306746874800077
0.612,0.3835,0.6265,0.6225,0.404,0.625,0.5431588295215755
0.118,0.166,0.085,0.076,0.1575,0.071,0.44794526762352405
0.167,0.381,0.2585,0.1235,0.4735,0.186,0.3914222212370564
0.01,0.03,0.013,0.011,0.029,0.01,0.004476405102634204
0.067,0.055,0.05,0.06,0.058,0.049,0.016773193748148268
0.189,0.2505,0.153,0.159,0.277,0.1215,0.3387546140616432
0.275,0.546,0.25,0.122,0.5805,0.1635,0.5911373274165663
0.5275,0.13,0.103,0.104,0.2715,0.081,0.26433024561040613
0.395,0.062,0.075,0.133,0.0645,0.0625,0.06361051461657206
0.071,0.075,0.072,0.07,0.075,0.065,0.05052779619065255
0.222,0.1315,0.158,0.2725,0.1475,0.192,0.5085231037183899
0.063,0.0305,0.027,0.0485,0.029,0.019,0.011620921016663077
0.189,0.373,0.174,0.077,0.8475,0.099,0.4685979855718627
0.943,0.212,0.947,0.029,0.982,0.04,0.33069438291312314
0.877,0.565,0.564,0.726,0.5595,0.706,0.6064555615882647
0.044,0.076,0.022,0.015,0.071,0.015,0.11081104218227922
0.025,0.039,0.022,0.034,0.039,0.016,0.024621573295208202
0.3095,0.383,0.234,0.1095,0.394,0.094,0.40445784983704214
0.145,0.432,0.178,0.076,0.738,0.074,0.5586306225579922
0.0315,0.013,0.01,0.025,0.011,0.013,0.0053784634646005455
0.6945,0.096,0.311,0.35,0.1475,0.233,0.15480688259466954
0.138,0.22,0.15,0.1135,0.2515,0.123,0.3324408751663659
0.974,0.063,0.8805,0.9235,0.111,0.272,0.04128241745324009
0.098,0.102,0.066,0.026,0.098,0.045,0.09186980036108247
0.493,0.555,0.301,0.8505,0.5985,0.84,0.7252547501806998
0.105,0.1715,0.106,0.064,0.151,0.059,0.20327467990673853
0.002,0.001,0.001,0.002,0.001,0.002,1.356972792075958e-07
0.03,0.014,0.018,0.035,0.02,0.02,1.4815659746654034e-07
0.5005,0.06,0.057,0.174,0.073,0.083,0.03363937548679732
0.006,0.029,0.015,0.008,0.025,0.011,0.007730636206997854
0.909,0.5935,0.92,0.177,0.948,0.24,0.7350919842370016
0.077,0.089,0.06,0.08,0.092,0.042,0.0630985355183386
0.112,0.106,0.049,0.017,0.115,0.023,0.09919610921956487
0.002,0.004,0.004,0.009,0.007,0.003,4.048968415474518e-07
0.119,0.3405,0.057,0.023,0.333,0.022,0.3815860264508355
0.277,0.136,0.126,0.3645,0.144,0.135,0.2658764135423267
0.679,0.354,0.3455,0.8375,0.351,0.453,0.4551086394624476
0.096,0.106,0.087,0.077,0.1085,0.065,0.12354265989610946
0.7075,0.122,0.134,0.229,0.1255,0.168,0.1942921976741167
0.0805,0.139,0.052,0.045,0.159,0.035,0.1544757812347029
0.019,0.022,0.021,0.01,0.031,0.013,0.011495896582862092
0.181,0.2645,0.1915,0.175,0.216,0.175,0.28506780447281815
0.221,0.0945,0.125,0.174,0.117,0.129,0.23260811314846497
0.078,0.033,0.051,0.066,0.04,0.048,0.006884074695176687
0.083,0.099,0.084,0.059,0.109,0.07,0.15174962635776088
0.02,0.012,0.018,0.016,0.028,0.017,4.2271181646322165e-07
0.06,0.036,0.017,0.036,0.0375,0.015,0.01906645281418427
