OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.626,0.332,0.632,0.664,0.4845,0.685,0.34796031022892093
0.4065,0.6995,0.349,0.3175,0.462,0.349,0.8974972220288066
0.6985,0.3955,0.6365,0.6585,0.4945,0.6655,0.8311327262828636
0.54,0.463,0.543,0.4905,0.574,0.578,0.7081946436435813
0.4845,0.461,0.505,0.59,0.49,0.61,0.9143541152094078
0.671,0.338,0.679,0.711,0.465,0.619,0.6838086570247859
0.782,0.263,0.7945,0.68,0.481,0.692,0.2984731973623081
0.491,0.564,0.4965,0.612,0.5135,0.6965,0.8095072759460198
0.4865,0.451,0.516,0.209,0.4555,0.2325,0.7790101070180231
0.5335,0.408,0.507,0.316,0.46,0.2365,0.8398950147127756
0.504,0.618,0.486,0.687,0.5105,0.6895,0.8992333952903624
0.582,0.5765,0.6555,0.6665,0.5395,0.698,0.6695866470299272
0.3985,0.5845,0.4055,0.4265,0.495,0.442,0.940324918812269
0.8955,0.0575,0.91,0.2325,0.0595,0.229,0.0017269382007456017
0.678,0.348,0.685,0.6755,0.445,0.561,0.444893943250968
0.43,0.53,0.4555,0.3975,0.5175,0.3725,0.908884344645023
0.613,0.395,0.58,0.6465,0.5265,0.6875,0.6151911197652875
0.3655,0.718,0.322,0.204,0.5185,0.2935,0.9513901750864531
0.773,0.179,0.808,0.7065,0.523,0.71,0.1549024516519669
0.5525,0.5445,0.6585,0.5395,0.4905,0.573,0.848897825860583
0.4515,0.595,0.464,0.4955,0.507,0.4115,0.8873931331617424
0.576,0.3465,0.4875,0.4595,0.373,0.393,0.5682605356224868
0.5665,0.6525,0.5215,0.549,0.4745,0.5575,0.8542019714924167
0.567,0.485,0.4195,0.2745,0.3405,0.3225,0.6774348125415268
0.6335,0.6945,0.6515,0.4205,0.5065,0.4425,0.998288370215749
0.327,0.7105,0.3165,0.6455,0.5225,0.68,0.969614130315724
0.28,0.634,0.342,0.484,0.5585,0.497,0.7766646693111866
0.518,0.5545,0.4845,0.597,0.524,0.5865,0.9060966860514109
0.615,0.6665,0.6325,0.7225,0.529,0.629,0.848871982635895
0.289,0.5775,0.2885,0.6565,0.5565,0.6915,0.7019465841907577
0.4435,0.4805,0.521,0.619,0.5435,0.6165,0.6993039933627181
0.656,0.3115,0.6765,0.589,0.4675,0.4735,0.5268712672587244
0.562,0.403,0.525,0.6345,0.495,0.6815,0.5379418937581292
0.4355,0.7025,0.4915,0.4655,0.5525,0.376,0.9759916528030411
0.4055,0.5595,0.485,0.7435,0.521,0.7565,0.9008458529552991
0.5245,0.6035,0.424,0.3935,0.5145,0.309,0.9297370656204853
0.54,0.5865,0.4535,0.662,0.509,0.677,0.9710101129721794
0.4775,0.635,0.4075,0.344,0.5275,0.3305,0.956190009774359
0.418,0.616,0.4235,0.5675,0.506,0.5905,0.950417900931261
0.403,0.462,0.5305,0.607,0.519,0.6635,0.8278180348640508
0.494,0.571,0.4735,0.554,0.5055,0.6145,0.9070466268795616
0.4135,0.5935,0.426,0.665,0.521,0.6735,0.9307685552308514
0.342,0.571,0.401,0.345,0.5495,0.4605,0.9122891570610363
0.143,0.03,0.111,0.6845,0.1125,0.4485,4.780675454756748e-05
0.8285,0.1535,0.846,0.513,0.1955,0.3755,0.1631639155739579
0.4545,0.5865,0.3955,0.69,0.4945,0.719,0.9464073382919881
0.4785,0.562,0.433,0.468,0.5525,0.5695,0.7683763869018572
0.792,0.2475,0.7835,0.334,0.3605,0.3445,0.6108883309051262
0.563,0.553,0.5675,0.6285,0.5195,0.7,0.61176517033813
0.7145,0.439,0.6785,0.1905,0.7225,0.162,0.7452067789517314
0.641,0.1485,0.783,0.5845,0.6985,0.6215,0.09800862929586106
0.4915,0.6135,0.4265,0.3115,0.533,0.336,0.9688651347343689
0.429,0.4965,0.4865,0.673,0.495,0.7195,0.9149514828290897
0.373,0.5075,0.331,0.6275,0.5645,0.6325,0.7282673918151202
0.339,0.684,0.302,0.1955,0.5055,0.1845,0.9577131987453954
0.3845,0.6815,0.326,0.6865,0.5235,0.718,0.956703112973651
0.5555,0.5525,0.493,0.6605,0.5305,0.6875,0.8046804700867507
0.41,0.487,0.4485,0.135,0.496,0.132,0.8694151658640679
0.4845,0.728,0.5855,0.3575,0.7155,0.2735,0.9824922198148888
0.558,0.672,0.616,0.5755,0.6435,0.5965,0.9691083531338378
0.3815,0.55,0.3335,0.738,0.5295,0.712,0.8717884782294807
0.4565,0.5545,0.456,0.5865,0.498,0.513,0.9539574219037894
0.584,0.5385,0.4635,0.2975,0.529,0.2975,0.8963108406060414
0.655,0.394,0.6495,0.617,0.563,0.697,0.548010492581849
0.493,0.677,0.522,0.312,0.5295,0.358,0.8435141827604276
0.4635,0.615,0.3995,0.3335,0.519,0.4195,0.9407830747267966
0.544,0.7305,0.6335,0.6815,0.5425,0.7455,0.9890216903120603
0.53,0.6795,0.603,0.536,0.723,0.472,0.9973229610986838
0.505,0.4995,0.5195,0.375,0.5215,0.372,0.9022878166742444
0.3555,0.68,0.317,0.4135,0.513,0.458,0.9993097353618692
0.5665,0.1765,0.4935,0.193,0.143,0.123,0.23660724713766174
0.538,0.6095,0.563,0.465,0.369,0.4085,0.8821472428318984
0.39,0.6265,0.336,0.575,0.51,0.5365,0.952011828775831
0.5185,0.5875,0.523,0.3765,0.52,0.3895,0.9465206403370593
0.886,0.1215,0.8865,0.204,0.158,0.184,0.47567323210997736
0.4675,0.485,0.49,0.5655,0.525,0.613,0.8722568502226907
0.5305,0.631,0.539,0.5595,0.542,0.6045,0.9987420242398424
0.693,0.2665,0.716,0.361,0.2965,0.2925,0.40414610292384867
0.3835,0.6995,0.341,0.2565,0.513,0.2535,0.9493224791742265
0.817,0.19,0.836,0.2235,0.161,0.163,0.20974993421754878
0.4545,0.559,0.4345,0.5075,0.6185,0.421,0.7339665019988744
0.4845,0.541,0.446,0.526,0.4825,0.615,0.8435155954919671
0.606,0.4175,0.5915,0.508,0.439,0.4155,0.6843750573100897
0.754,0.1985,0.838,0.764,0.4745,0.7595,0.6707467536819314
0.512,0.4055,0.518,0.401,0.388,0.4495,0.3006715520745037
0.4905,0.5915,0.43,0.371,0.501,0.3205,0.9210428357634153
0.292,0.676,0.3555,0.666,0.4995,0.683,0.8935561832076547
0.479,0.445,0.5195,0.275,0.5295,0.2735,0.9158958375444685
0.434,0.555,0.4765,0.7095,0.5065,0.682,0.9302277438149251
0.386,0.6155,0.4045,0.363,0.4875,0.35,0.8738594872084787
0.494,0.637,0.527,0.195,0.507,0.1545,0.9200518689621937
0.3525,0.676,0.317,0.4985,0.5205,0.579,0.9405785481074815
0.4235,0.587,0.3885,0.618,0.4995,0.642,0.9795994199312914
0.3665,0.375,0.256,0.6625,0.5095,0.729,0.5410070672808902
0.4065,0.6155,0.4065,0.664,0.519,0.73,0.9289459770836259
0.519,0.6285,0.4795,0.631,0.5235,0.3915,0.9149619981859952
0.611,0.3055,0.67,0.484,0.6475,0.51,0.49814248680674167
0.4475,0.6015,0.444,0.6755,0.5195,0.713,0.957022261190027
0.771,0.211,0.7285,0.7085,0.416,0.6535,0.38017160015157514
0.4175,0.618,0.362,0.4685,0.5095,0.5475,0.9525108681873339
0.5885,0.6035,0.629,0.5535,0.636,0.5975,0.6288240890424457
0.603,0.6365,0.6265,0.7285,0.495,0.7345,0.9890421128028478
0.371,0.5565,0.46,0.353,0.4805,0.3075,0.8495631371906953
0.8575,0.1195,0.873,0.244,0.9015,0.256,0.12357695190127
0.4015,0.6655,0.3765,0.6355,0.5205,0.6985,0.9997290170400346
0.414,0.647,0.3945,0.2405,0.498,0.23,0.948159524758134
0.738,0.3215,0.7125,0.6025,0.528,0.6385,0.6003156577113942
0.667,0.509,0.545,0.6515,0.506,0.7025,0.9567188622214938
0.538,0.648,0.557,0.536,0.5,0.6175,0.854045946962163
0.446,0.4685,0.455,0.625,0.5365,0.678,0.6999514997785233
0.306,0.417,0.246,0.258,0.337,0.2175,0.3935771061642416
0.687,0.3945,0.667,0.149,0.6215,0.118,0.7826767573172191
0.503,0.4615,0.535,0.2455,0.488,0.2565,0.8770570216218507
0.385,0.6995,0.346,0.653,0.514,0.618,0.966884192143945
0.3775,0.6745,0.362,0.7105,0.506,0.6155,0.8934589865951619
0.447,0.6015,0.415,0.148,0.5435,0.14,0.9844689316633966
0.64,0.3805,0.646,0.6305,0.529,0.693,0.5568542975019253
0.775,0.21,0.769,0.651,0.4725,0.711,0.2295240991463177
0.6045,0.422,0.6125,0.639,0.567,0.6415,0.5998737060360858
0.6725,0.2855,0.699,0.462,0.684,0.394,0.5647964670466143
0.635,0.3805,0.6185,0.327,0.4395,0.349,0.7081005689320339
0.717,0.234,0.766,0.64,0.5175,0.6835,0.2863335335498502
0.563,0.603,0.531,0.6875,0.5215,0.4985,0.9127172870459435
0.4725,0.5465,0.47,0.5975,0.5305,0.663,0.6273099061957614
0.4795,0.577,0.583,0.429,0.5925,0.465,0.7954410953599257
0.5305,0.442,0.303,0.7485,0.5135,0.665,0.4824578998900677
0.569,0.432,0.6125,0.4375,0.4925,0.4405,0.7205725127939172
0.497,0.5625,0.4365,0.652,0.502,0.7175,0.9285163355745284
0.916,0.0695,0.917,0.5415,0.349,0.564,0.0027121561678769474
0.317,0.6265,0.322,0.2465,0.425,0.2125,0.900143340744153
0.6645,0.3605,0.672,0.6155,0.506,0.7015,0.655630141988472
0.5365,0.6465,0.6375,0.629,0.499,0.681,0.7505733322480405
0.563,0.428,0.5245,0.6905,0.486,0.619,0.759473976296076
0.6345,0.417,0.6605,0.6695,0.483,0.6945,0.7631381304504986
0.503,0.6895,0.4025,0.6825,0.5215,0.7055,0.9525771441836764
0.528,0.409,0.5615,0.2215,0.4885,0.1505,0.861711265281746
0.393,0.5345,0.4685,0.3475,0.5445,0.406,0.8545132083617166
0.6055,0.417,0.6465,0.679,0.534,0.636,0.7320264081729457
0.4395,0.603,0.437,0.569,0.554,0.6165,0.7572188684921379
0.4165,0.672,0.393,0.6885,0.504,0.7065,0.9327992478235311
0.5845,0.7025,0.651,0.717,0.5405,0.7035,0.9770355934576197
0.3195,0.688,0.2975,0.521,0.516,0.63,0.8827447083542314
0.6155,0.5475,0.6535,0.427,0.416,0.3925,0.8145967289054403
0.494,0.6065,0.502,0.69,0.5325,0.7085,0.7584242634788115
0.3475,0.655,0.341,0.682,0.512,0.678,0.9983710839290834
0.363,0.662,0.3785,0.401,0.512,0.366,0.8481986309731364
0.407,0.6265,0.418,0.509,0.5395,0.592,0.8766432970904121
0.3895,0.629,0.3525,0.3235,0.501,0.2765,0.982055377130862
0.6815,0.3175,0.7225,0.469,0.5865,0.496,0.6162538311446975
0.414,0.5525,0.4045,0.423,0.7685,0.4115,0.8874986459835847
0.586,0.3165,0.661,0.2975,0.286,0.3195,0.40733725086723716
0.333,0.5775,0.421,0.6685,0.4925,0.702,0.8528135345695382
0.264,0.228,0.208,0.3325,0.319,0.307,0.2967702355754053
0.323,0.382,0.336,0.686,0.5105,0.7085,0.7113419898944654
0.436,0.4895,0.484,0.5,0.53,0.509,0.8785125235996933
0.496,0.7005,0.573,0.603,0.39,0.5785,0.8757214757174003
0.754,0.155,0.789,0.6295,0.2625,0.5285,0.13831878846698173
0.742,0.1755,0.754,0.6185,0.3115,0.5875,0.2112300194805524
0.387,0.568,0.427,0.6845,0.5125,0.691,0.9391000202937329
0.034,0.022,0.021,0.038,0.017,0.02,1.78338191357108e-16
0.6165,0.465,0.631,0.201,0.5905,0.1435,0.8181557573611529
0.384,0.57,0.4275,0.688,0.4915,0.6845,0.8985036879842562
0.4145,0.6125,0.3965,0.619,0.531,0.653,0.9737159114870322
0.348,0.512,0.4825,0.7,0.474,0.658,0.8187627836526746
0.537,0.54,0.457,0.747,0.497,0.7585,0.9392183851923976
0.401,0.6315,0.3795,0.4355,0.4825,0.398,0.8454259459594815
0.785,0.158,0.8125,0.2655,0.2105,0.252,0.17539438227624346
0.378,0.6445,0.397,0.7645,0.496,0.725,0.8595395725929559
0.592,0.4605,0.5595,0.7415,0.4705,0.6905,0.7021383816028905
0.591,0.6185,0.5635,0.1395,0.546,0.105,0.9692431561230472
0.3235,0.669,0.337,0.4745,0.5125,0.537,0.9603951985846801
0.691,0.0325,0.707,0.77,0.299,0.797,3.1759383916912684e-05
0.304,0.698,0.2715,0.429,0.5175,0.49,0.9556051264607099
0.353,0.6915,0.3445,0.1135,0.5925,0.0725,0.9092727668250771
0.411,0.6435,0.3775,0.636,0.5105,0.71,0.9303881601337771
0.7295,0.232,0.8125,0.325,0.221,0.338,0.5412975525147943
0.5275,0.573,0.628,0.688,0.5225,0.722,0.7741657130579532
0.368,0.641,0.3415,0.65,0.4895,0.608,0.9908875372860517
0.4075,0.652,0.3265,0.6435,0.514,0.721,0.9704600957219562
0.3715,0.597,0.3925,0.641,0.5085,0.6795,0.7920964665495358
0.598,0.391,0.603,0.654,0.4875,0.653,0.6683007170919882
0.405,0.5735,0.447,0.2545,0.5525,0.2255,0.9061807069311545
0.596,0.484,0.582,0.5175,0.4795,0.476,0.8399504280930971
0.411,0.637,0.3825,0.2855,0.5305,0.2975,0.9382486463330906
0.493,0.494,0.5455,0.6285,0.555,0.624,0.7047098152426663
0.268,0.7735,0.226,0.4775,0.545,0.5035,0.9630328736096985
0.4005,0.6205,0.3925,0.452,0.523,0.384,0.9252607865047904
0.394,0.6295,0.4065,0.551,0.527,0.6595,0.9000145941149056
0.362,0.679,0.3555,0.4895,0.501,0.529,0.9475618453568209
0.9245,0.064,0.9115,0.1795,0.0495,0.1775,0.000290680742607989
0.469,0.457,0.5135,0.319,0.4805,0.329,0.8581484597440223
0.45,0.5225,0.478,0.551,0.541,0.636,0.757435394323808
0.898,0.052,0.866,0.692,0.326,0.7465,1.8363654448922062e-06
0.389,0.4935,0.2265,0.655,0.6095,0.6915,0.5977837406313932
0.421,0.6135,0.4165,0.3085,0.786,0.241,0.7917272392309487
0.344,0.6185,0.3805,0.5925,0.48,0.5315,0.7498637373724291
0.7645,0.2285,0.482,0.16,0.1415,0.1555,0.23857759635392115
0.647,0.505,0.588,0.294,0.3845,0.33,0.5698328258391466
0.3725,0.6715,0.346,0.711,0.5085,0.7105,0.9952547017143194
0.4585,0.5925,0.427,0.558,0.51,0.564,0.9762893058693582
0.4,0.614,0.3835,0.456,0.535,0.358,0.8824028113776228
0.3535,0.5505,0.425,0.2675,0.517,0.282,0.807192338487713
0.5205,0.4435,0.576,0.624,0.4885,0.6165,0.8408598780206035
0.6775,0.3055,0.7235,0.339,0.365,0.3145,0.5004639556797315
0.806,0.1945,0.836,0.684,0.418,0.685,0.2848907197519408
0.864,0.124,0.868,0.6635,0.359,0.6965,0.06489674481513978
0.848,0.1335,0.8615,0.7175,0.6375,0.652,0.06113427562883683
0.381,0.624,0.4085,0.456,0.509,0.5295,0.9650428446199686
0.8655,0.093,0.8965,0.4285,0.156,0.3775,0.03805095278786861
0.5445,0.4925,0.5235,0.8015,0.484,0.761,0.8556289990733885
0.4985,0.7025,0.5105,0.406,0.466,0.389,0.9047626901917746
0.3995,0.637,0.3895,0.6635,0.51,0.408,0.9204822166232312
0.448,0.5715,0.421,0.4725,0.461,0.335,0.8093548372526432
0.3975,0.5805,0.4235,0.1295,0.526,0.102,0.956653187857945
0.619,0.4795,0.657,0.4395,0.5465,0.516,0.67141960187843
0.4175,0.5905,0.429,0.586,0.521,0.6565,0.959128679779375
0.68,0.239,0.778,0.7405,0.484,0.751,0.2739978726495883
0.376,0.6405,0.366,0.637,0.516,0.71,0.8977683949846053
0.4865,0.589,0.464,0.638,0.5295,0.6815,0.8344594605982534
0.355,0.7115,0.3645,0.6055,0.527,0.649,0.9074608395921583
0.6145,0.2945,0.7195,0.0545,0.171,0.0515,0.6507152064852858
0.463,0.622,0.405,0.2905,0.523,0.2475,0.9344668995165916
0.429,0.54,0.4185,0.5415,0.457,0.509,0.7801099097106416
0.512,0.5795,0.599,0.604,0.562,0.6785,0.6099492289701307
0.4315,0.556,0.4535,0.547,0.527,0.676,0.9298610008598337
0.5155,0.5335,0.529,0.601,0.4925,0.6785,0.8613109023628389
0.682,0.3325,0.5445,0.2215,0.8825,0.2315,0.4437930931220767
0.604,0.258,0.632,0.685,0.5085,0.7105,0.4672699401354373
0.431,0.479,0.218,0.083,0.7465,0.0915,0.6189861344410481
0.4515,0.6165,0.37,0.173,0.4955,0.1845,0.9475068348196733
0.4075,0.601,0.4395,0.7295,0.509,0.741,0.897589811196773
0.596,0.217,0.7825,0.659,0.4525,0.688,0.5808175201768826
0.705,0.245,0.748,0.209,0.324,0.17,0.5899213642584369
0.343,0.4365,0.4055,0.5245,0.3185,0.5,0.4128741782799825
0.4835,0.5025,0.471,0.2415,0.8465,0.1865,0.5078067195889461
0.399,0.645,0.3455,0.4125,0.5155,0.3105,0.9797656104322789
0.4055,0.6045,0.3995,0.7125,0.502,0.687,0.9790776943433959
0.627,0.6135,0.693,0.5605,0.5225,0.602,0.7462825867553153
0.402,0.658,0.3375,0.376,0.5385,0.398,0.9672477545485673
0.3935,0.6845,0.379,0.5,0.5835,0.506,0.993809886308012
0.6425,0.4675,0.6025,0.6995,0.4865,0.69,0.7361950362421059
0.391,0.594,0.3735,0.7025,0.514,0.6315,0.901109407481002
0.5365,0.482,0.5505,0.3425,0.402,0.309,0.7050727947422839
0.406,0.5685,0.431,0.77,0.4665,0.585,0.678124362778924
0.498,0.455,0.431,0.4895,0.316,0.567,0.44275472076750044
0.6165,0.731,0.633,0.505,0.6995,0.5605,0.9239387901302634
0.818,0.191,0.84,0.646,0.4465,0.658,0.2569842485654946
0.3665,0.6265,0.3495,0.524,0.5445,0.5705,0.9285061898347615
0.5955,0.6905,0.6725,0.6305,0.533,0.6525,0.9861639183519388
0.3585,0.649,0.3185,0.574,0.505,0.6325,0.9903988579729526
0.497,0.6745,0.5685,0.686,0.5235,0.7075,0.9377613802904478
0.76,0.272,0.7535,0.686,0.513,0.6905,0.6529494006019242
