OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.043,0.105,0.092,0.0545,0.1075,0.0825,0.07598519993432369
0.845,0.8625,0.815,0.852,0.794,0.8885,0.8991977426367774
0.561,0.5,0.482,0.5975,0.49,0.4765,0.4857958192764371
0.053,0.064,0.043,0.0675,0.067,0.041,0.04563249398125037
0.018,0.017,0.018,0.017,0.017,0.019,0.010955935630077084
0.023,0.005,0.003,0.025,0.005,0.003,0.003712668108715498
0.057,0.04,0.039,0.069,0.034,0.05,0.006499961375635736
0.059,0.098,0.092,0.0635,0.095,0.08,0.08918112809817069
0.035,0.027,0.026,0.0615,0.025,0.0275,0.01432050589351175
0.076,0.075,0.0665,0.1035,0.066,0.072,0.058529298380081994
0.092,0.1895,0.189,0.1115,0.1845,0.176,0.15546878482954912
0.095,0.071,0.0695,0.0955,0.0715,0.072,0.05732942922384624
0.532,0.779,0.6625,0.43,0.8605,0.591,0.8146502320347639
0.225,0.243,0.2375,0.211,0.2475,0.226,0.24095841236767065
0.924,0.916,0.9095,0.9225,0.9025,0.9125,0.9983943934273234
0.2035,0.164,0.188,0.212,0.156,0.199,0.1330068181761942
0.007,0.004,0.004,0.008,0.004,0.004,0.0021936456424161187
0.368,0.2645,0.237,0.4205,0.257,0.245,0.26586599857220805
0.599,0.8435,0.7905,0.6185,0.784,0.8035,0.8660561836153465
0.132,0.1035,0.097,0.1205,0.109,0.115,0.09335083129337463
0.007,0.012,0.0135,0.007,0.013,0.011,0.009249691987292953
0.3055,0.096,0.0985,0.3145,0.096,0.1225,0.06434586081208625
0.557,0.755,0.8755,0.6005,0.716,0.817,0.8201754267017543
0.11,0.184,0.225,0.114,0.18,0.226,0.15588485603691798
0.347,0.149,0.291,0.2725,0.162,0.301,0.13292796462471637
0.048,0.065,0.055,0.053,0.063,0.05,0.033710690393107805
0.054,0.021,0.029,0.069,0.022,0.034,0.009860072585377739
0.3725,0.3805,0.4145,0.3675,0.3845,0.4135,0.40291765934805
0.1845,0.066,0.1125,0.15,0.071,0.145,0.04415757742506645
0.308,0.249,0.26,0.316,0.242,0.261,0.25908426905672366
0.712,0.714,0.6935,0.7075,0.7155,0.7045,0.7744447448404723
0.7695,0.886,0.852,0.7585,0.82,0.8605,0.9643192292005608
0.133,0.064,0.149,0.142,0.0685,0.158,0.04871891893691279
0.096,0.103,0.0695,0.0935,0.1065,0.0645,0.0822635115124534
0.6315,0.7725,0.641,0.8265,0.795,0.601,0.7832938389116957
0.4795,0.4675,0.5015,0.5595,0.4505,0.537,0.4618758573102313
0.432,0.5475,0.5165,0.4975,0.5145,0.5695,0.5238712641896945
0.09,0.088,0.091,0.107,0.0885,0.104,0.04850383567829659
0.0795,0.0935,0.092,0.089,0.075,0.103,0.07423772289110911
0.262,0.19,0.214,0.2455,0.193,0.222,0.19458681341615852
0.327,0.5405,0.5455,0.337,0.5275,0.5515,0.5308055877537132
0.108,0.097,0.108,0.099,0.0985,0.107,0.0854481187867474
0.737,0.126,0.319,0.7295,0.1625,0.35,0.10519597946575839
0.4825,0.2485,0.191,0.499,0.256,0.199,0.21638974399137412
0.085,0.1245,0.116,0.088,0.127,0.111,0.11116565513176353
0.845,0.7495,0.779,0.8385,0.72,0.8625,0.7491222282788339
0.7275,0.506,0.472,0.833,0.49,0.4795,0.5027800997472123
0.232,0.113,0.145,0.223,0.111,0.151,0.08739758908849603
0.852,0.657,0.7335,0.7795,0.702,0.8225,0.6729644523364199
0.215,0.3605,0.3505,0.2305,0.353,0.3495,0.35868589793899297
0.164,0.168,0.165,0.185,0.164,0.1795,0.15367620492273298
0.116,0.065,0.069,0.1045,0.07,0.073,0.04483283213399225
0.039,0.127,0.089,0.036,0.125,0.074,0.09189887472184181
0.421,0.6465,0.553,0.3985,0.633,0.522,0.6390693175403876
0.604,0.348,0.3415,0.679,0.343,0.365,0.32938207009465736
0.019,0.012,0.009,0.021,0.015,0.008,0.008939522259628964
0.046,0.026,0.0345,0.041,0.025,0.038,0.014101095768725374
0.619,0.674,0.6215,0.6955,0.6535,0.5865,0.6445234464215561
0.162,0.1885,0.213,0.213,0.161,0.2525,0.16154547922248588
0.063,0.051,0.036,0.063,0.048,0.038,0.03154243344814196
0.042,0.028,0.026,0.0495,0.029,0.0295,0.01845454473252727
0.539,0.6075,0.5845,0.6025,0.579,0.59,0.6246594031801709
0.816,0.8895,0.8585,0.847,0.8075,0.9045,0.9427354817055729
0.2515,0.4545,0.374,0.2155,0.4975,0.323,0.44782516006753825
0.8935,0.4885,0.5245,0.8425,0.4855,0.631,0.4565702775294731
0.588,0.7665,0.713,0.6005,0.745,0.7135,0.7789823434031455
0.162,0.068,0.096,0.213,0.067,0.124,0.04013087991846802
0.091,0.1765,0.182,0.108,0.17,0.18,0.1745078459871419
0.562,0.645,0.5425,0.711,0.621,0.6135,0.6340176466331242
0.614,0.8565,0.785,0.517,0.902,0.684,0.8760998051496198
0.069,0.071,0.054,0.09,0.071,0.05,0.06849397368324937
0.1365,0.103,0.085,0.132,0.1075,0.0805,0.07354587894368772
0.021,0.006,0.006,0.027,0.006,0.006,0.005409059880549522
