OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.196,0.042,0.117,0.145,0.067,0.111,0.01797277112132611
0.3035,0.255,0.26,0.295,0.279,0.271,0.20904664986993912
0.081,0.085,0.057,0.083,0.146,0.048,0.036202296160932325
0.055,0.067,0.043,0.056,0.064,0.043,0.027213406017646213
0.2745,0.323,0.31,0.2915,0.286,0.2795,0.2830006758525364
0.2485,0.2675,0.2455,0.263,0.2835,0.238,0.21792653735068884
0.3745,0.5655,0.4495,0.369,0.546,0.4125,0.5596692584967975
0.564,0.583,0.5495,0.599,0.5365,0.582,0.5286703777861824
0.632,0.6445,0.651,0.606,0.656,0.7175,0.6590362344592091
0.474,0.623,0.5405,0.3455,0.756,0.384,0.677695083031719
0.316,0.3235,0.336,0.353,0.346,0.347,0.22465382594298633
0.515,0.343,0.3785,0.4385,0.352,0.4375,0.3869402009392816
0.1425,0.17,0.144,0.152,0.1795,0.139,0.1062688716651673
0.279,0.242,0.206,0.289,0.2545,0.217,0.21486584751723226
0.381,0.526,0.5585,0.4385,0.4685,0.5475,0.47525859878568044
0.253,0.2695,0.2205,0.229,0.289,0.21,0.328378808886127
0.6025,0.706,0.6375,0.528,0.7065,0.5635,0.9059235421449119
0.4405,0.4455,0.3425,0.2585,0.762,0.208,0.5220099702029714
0.181,0.148,0.148,0.1765,0.164,0.152,0.13416943400424897
0.5545,0.7045,0.58,0.5665,0.6485,0.5865,0.74506866200534
0.1195,0.1965,0.118,0.137,0.1675,0.132,0.14075892146517205
0.507,0.6845,0.5835,0.4455,0.6585,0.5225,0.7698004568708885
0.2875,0.349,0.3045,0.281,0.415,0.253,0.30532592416950904
0.1,0.059,0.074,0.098,0.0765,0.073,0.01651971666624664
0.3485,0.335,0.2645,0.2615,0.4,0.237,0.5110237451027817
0.098,0.0645,0.068,0.082,0.08,0.071,0.029185175367354686
0.715,0.5415,0.6265,0.5985,0.678,0.627,0.5763630872510406
0.5905,0.595,0.5745,0.6305,0.539,0.6185,0.7164742148237753
0.029,0.024,0.02,0.011,0.039,0.01,0.002192530464771665
0.118,0.069,0.101,0.11,0.079,0.094,0.023670503796032923
0.009,0.015,0.011,0.008,0.012,0.013,0.0018579837170173983
0.0855,0.131,0.083,0.072,0.1685,0.068,0.1283113301274331
0.119,0.1785,0.1415,0.131,0.185,0.136,0.1296308737540805
0.322,0.306,0.3035,0.345,0.3355,0.3235,0.27631680593929425
0.07,0.064,0.047,0.079,0.06,0.05,0.025577730635650556
0.591,0.671,0.6635,0.6325,0.6035,0.732,0.6929975552355685
0.686,0.7935,0.759,0.683,0.7395,0.7765,0.9944614136486039
0.523,0.2195,0.3,0.5105,0.199,0.3025,0.11778852496644825
0.13,0.071,0.086,0.097,0.088,0.077,0.03269857973465659
0.7075,0.474,0.741,0.136,0.92,0.1425,0.6753242388191911
0.155,0.233,0.194,0.1835,0.22,0.188,0.14010881684344792
0.116,0.08,0.079,0.109,0.085,0.0805,0.022035466416476985
0.265,0.133,0.1495,0.2855,0.1625,0.181,0.08921938896699122
0.312,0.364,0.3495,0.339,0.401,0.3535,0.306326530822714
0.1755,0.151,0.1285,0.165,0.205,0.124,0.07921727625738659
0.272,0.245,0.231,0.3045,0.2695,0.24,0.2311098954657548
0.089,0.092,0.069,0.083,0.087,0.079,0.05335395015730484
0.5435,0.386,0.285,0.5815,0.447,0.334,0.3258583487754877
0.4455,0.714,0.549,0.197,0.8495,0.257,0.7834568604500369
0.547,0.2975,0.307,0.611,0.3,0.3815,0.24736056249201524
0.151,0.1505,0.133,0.1435,0.171,0.12,0.0878670371254862
0.083,0.1605,0.108,0.076,0.161,0.0865,0.14557845001260367
0.7895,0.787,0.782,0.7875,0.7175,0.797,0.9800465823999616
0.078,0.017,0.028,0.081,0.015,0.041,0.00394600516196304
0.798,0.536,0.7705,0.5975,0.708,0.6495,0.6149612724413968
0.554,0.568,0.5465,0.5935,0.5215,0.5895,0.5559173915436011
0.199,0.1565,0.166,0.186,0.172,0.168,0.08597575836301766
0.113,0.0755,0.082,0.1155,0.0765,0.08,0.005486129390190582
0.034,0.064,0.043,0.0385,0.06,0.03,0.015615562332760227
