OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.8335,0.5695,0.862,0.001,1.0,0.001,0.5533772619504034
0.5115,0.7815,0.4835,0.001,0.9835,0.001,0.7903089321175896
0.001,0.001,0.001,0.001,0.001,0.001,2.8940763650115242e-08
0.149,0.8505,0.085,0.001,0.9405,0.001,0.8798269812488344
0.001,0.055,0.001,0.001,0.019,0.001,0.06201698939764158
0.001,0.001,0.001,0.001,0.001,0.001,3.1141753148287516e-08
0.001,0.014,0.001,0.001,0.001,0.001,0.004848532801802672
0.001,0.002,0.001,0.001,0.001,0.001,0.0010612505003465987
0.1965,0.881,0.136,0.001,0.8455,0.001,0.9637896744132912
0.637,0.5285,0.6245,0.001,0.995,0.001,0.5422125068739078
0.001,0.006,0.001,0.001,0.005,0.001,0.002922373422351752
0.001,0.001,0.001,0.001,0.001,0.001,4.143715649665726e-05
0.003,0.015,0.001,0.001,0.001,0.001,0.0062482233948340194
0.348,0.671,0.3315,0.001,0.1615,0.001,0.636931484898055
0.2205,0.6255,0.093,0.001,0.2595,0.001,0.5929446381470245
0.001,0.02,0.001,0.001,0.002,0.001,0.015349254069510763
0.001,0.001,0.001,0.001,0.001,0.001,0.0010643006571594187
0.001,0.001,0.001,0.001,0.001,0.001,7.858713274829296e-06
0.001,0.001,0.001,0.001,0.001,0.001,3.3589941071571503e-12
0.001,0.031,0.001,0.001,0.003,0.001,0.016017960651560827
0.001,0.001,0.001,0.001,0.001,0.001,5.896632758646157e-10
0.311,0.8575,0.2435,0.001,0.984,0.001,0.9942793835848871
0.001,0.008,0.001,0.001,0.001,0.001,0.004189957372365266
0.503,0.5785,0.566,0.001,0.9755,0.001,0.561908124223041
0.6785,0.222,0.734,0.001,0.0025,0.001,0.15989207865687508
0.001,0.029,0.001,0.001,0.003,0.001,0.022419460934730216
0.002,0.031,0.001,0.001,0.012,0.001,0.01951049017947975
0.001,0.001,0.001,0.001,0.001,0.001,4.060842820931568e-09
0.001,0.043,0.001,0.001,0.1015,0.001,0.02713069926506307
0.002,0.046,0.001,0.001,0.004,0.001,0.03196455997310657
0.001,0.001,0.001,0.001,0.001,0.001,3.743177989145927e-06
0.0105,0.6405,0.005,0.001,0.581,0.001,0.6116622405596392
0.003,0.285,0.001,0.001,0.346,0.001,0.26446572396156875
0.001,0.158,0.002,0.001,0.028,0.001,0.12024829066559486
0.001,0.001,0.001,0.001,0.001,0.001,1.0595352396358708e-12
0.031,0.694,0.022,0.001,0.9625,0.001,0.6543538579452088
0.3735,0.1385,0.1415,0.001,0.001,0.001,0.11106679574032989
0.001,0.001,0.001,0.001,0.001,0.001,0.00013257842547888775
0.075,0.6,0.02,0.001,0.759,0.001,0.5953038222637563
0.106,0.043,0.001,0.001,0.006,0.001,0.037729052423531056
0.001,0.001,0.001,0.001,0.001,0.001,3.9105179878041545e-05
0.001,0.009,0.001,0.001,0.007,0.001,0.005511576236650659
0.001,0.001,0.001,0.001,0.001,0.001,1.4975788543709992e-05
0.006,0.146,0.001,0.001,0.0265,0.001,0.11253981985801499
0.001,0.173,0.001,0.001,0.1935,0.001,0.13899578783944225
0.074,0.7205,0.02,0.001,0.2925,0.001,0.7160599019818195
0.001,0.106,0.001,0.001,0.318,0.001,0.08791668685524275
0.258,0.6235,0.148,0.001,0.1125,0.001,0.5415075440923105
0.011,0.415,0.001,0.001,0.5185,0.001,0.37850480681229737
0.001,0.1195,0.003,0.001,0.136,0.001,0.08822320144225876
0.001,0.033,0.001,0.001,0.026,0.001,0.024190683695245758
0.006,0.224,0.001,0.001,0.111,0.001,0.18814328952399842
0.3935,0.8425,0.373,0.001,0.982,0.001,0.883409065593919
0.001,0.001,0.001,0.001,0.001,0.001,3.610959906466717e-08
0.001,0.2165,0.001,0.001,0.395,0.001,0.19163385956579415
0.02,0.496,0.019,0.001,0.761,0.001,0.4693418136455647
0.001,0.001,0.001,0.001,0.001,0.001,4.813658016765639e-07
0.002,0.4455,0.003,0.001,0.6205,0.001,0.42861792036391055
0.001,0.1965,0.001,0.001,0.2265,0.001,0.15960139065681864
0.193,0.869,0.1435,0.001,0.8815,0.001,0.9690621436889618
0.001,0.037,0.001,0.001,0.004,0.001,0.032755174463321074
0.015,0.4045,0.001,0.001,0.4465,0.001,0.3878814959323017
0.048,0.056,0.002,0.001,0.002,0.001,0.03452682153406314
0.04,0.6825,0.039,0.001,0.996,0.001,0.6555407778215794
0.029,0.0515,0.007,0.001,0.007,0.001,0.04247438837617246
0.001,0.04,0.001,0.001,0.088,0.001,0.029733654253759678
0.001,0.114,0.001,0.001,0.182,0.001,0.10544282803145073
0.464,0.001,0.089,0.001,0.001,0.001,2.233667723235148e-07
0.001,0.001,0.001,0.001,0.001,0.001,8.116983615930627e-06
0.001,0.062,0.001,0.001,0.2735,0.001,0.048883162525165835
0.001,0.001,0.001,0.001,0.001,0.001,9.914542215197599e-05
0.001,0.001,0.001,0.001,0.001,0.001,3.579124721648754e-05
0.893,0.243,0.95,0.001,1.0,0.001,0.21997680318691332
0.001,0.008,0.001,0.001,0.001,0.001,0.002355909759653651
0.001,0.034,0.001,0.001,0.102,0.001,0.02174643138887243
0.001,0.001,0.001,0.001,0.001,0.001,1.2433329476238501e-07
0.001,0.369,0.001,0.001,0.702,0.001,0.32401273162663824
0.001,0.02,0.001,0.001,0.004,0.001,0.011385635373021069
0.435,0.8545,0.4515,0.001,0.999,0.001,0.8914703285899794
0.65,0.4775,0.675,0.001,0.999,0.001,0.48734293396470696
0.008,0.148,0.001,0.001,0.015,0.001,0.1340285027791288
0.01,0.074,0.001,0.001,0.008,0.001,0.04953946946057609
0.001,0.01,0.001,0.001,0.002,0.001,0.0038790009912030333
0.001,0.001,0.001,0.001,0.001,0.001,5.255587331530173e-05
0.001,0.001,0.001,0.001,0.001,0.001,1.074715452973345e-14
0.653,0.5165,0.696,0.001,0.997,0.001,0.49070893349017053
0.1985,0.875,0.132,0.001,0.7255,0.001,0.9710549476515629
0.001,0.001,0.001,0.001,0.001,0.001,8.967917448601824e-06
0.001,0.022,0.001,0.001,0.003,0.001,0.014059260358890666
0.001,0.001,0.001,0.001,0.001,0.001,3.752250394226514e-08
0.001,0.001,0.001,0.001,0.001,0.001,0.00019684774754380807
0.001,0.002,0.001,0.001,0.001,0.001,0.0013197984313230652
0.001,0.001,0.001,0.001,0.001,0.001,2.5064138883064555e-06
0.001,0.151,0.002,0.001,0.044,0.001,0.12275028225586775
0.586,0.531,0.596,0.001,0.994,0.001,0.5092611363013362
0.7525,0.142,0.868,0.001,1.0,0.001,0.12548753167350207
0.428,0.824,0.427,0.001,0.986,0.001,0.8226026889732649
0.001,0.001,0.001,0.001,0.001,0.001,6.834591521604228e-07
0.821,0.0755,0.854,0.001,0.001,0.001,0.06478009895523121
0.461,0.645,0.426,0.001,0.992,0.001,0.6304329515208451
0.017,0.5605,0.014,0.001,0.9925,0.001,0.5650032987750163
0.1765,0.761,0.1,0.001,0.369,0.001,0.8027338221140874
0.001,0.001,0.001,0.001,0.001,0.001,0.00011568571277546994
0.69,0.207,0.702,0.001,0.002,0.001,0.20299583878717703
0.001,0.001,0.001,0.001,0.001,0.001,2.188353145302847e-13
0.002,0.299,0.002,0.001,0.3415,0.001,0.266377570959296
0.053,0.593,0.011,0.001,0.8455,0.001,0.5964729221918137
0.001,0.001,0.001,0.001,0.001,0.001,3.0121606522592587e-06
0.004,0.2805,0.001,0.001,0.076,0.001,0.2778015387080567
0.001,0.001,0.001,0.001,0.003,0.001,0.0006972015885725707
0.004,0.471,0.005,0.001,0.9245,0.001,0.4438963439819379
0.001,0.002,0.001,0.001,0.005,0.001,0.0005750514298882509
0.018,0.5655,0.008,0.001,0.158,0.001,0.5716102162208085
0.001,0.001,0.001,0.001,0.001,0.001,0.00026747427400369215
0.001,0.001,0.001,0.001,0.001,0.001,6.047647972187597e-11
0.005,0.364,0.001,0.001,0.263,0.001,0.3283958164704259
0.234,0.758,0.098,0.001,0.894,0.001,0.7752510280993097
0.393,0.786,0.393,0.001,0.92,0.001,0.8225294641952247
0.001,0.1,0.001,0.001,0.032,0.001,0.07736859938083047
0.776,0.092,0.789,0.001,0.001,0.001,0.06227691697333839
0.001,0.001,0.001,0.001,0.001,0.001,0.0005254182905164762
0.001,0.253,0.001,0.001,0.349,0.001,0.2267358474046699
0.6435,0.137,0.372,0.001,0.0185,0.001,0.10791242889197433
0.001,0.001,0.001,0.001,0.001,0.001,2.4573044528522883e-11
0.002,0.453,0.001,0.001,0.919,0.001,0.4128325449891076
0.6605,0.81,0.683,0.001,1.0,0.001,0.8575624607049591
0.005,0.005,0.001,0.001,0.001,0.001,0.00249328782225132
