OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.059,0.002,0.074,0.016,0.001,0.002,0.0005217251904895552
0.076,0.1475,0.011,0.138,0.091,0.007,0.1381138537497727
0.033,0.0785,0.012,0.004,0.062,0.001,0.07612075417417416
0.102,0.171,0.041,0.1845,0.174,0.021,0.17573906190337132
0.537,0.925,0.8055,0.473,0.973,0.497,0.9218475339342274
0.002,0.2205,0.001,0.001,0.587,0.001,0.2301772517070878
0.4895,0.939,0.4615,0.002,1.0,0.001,0.9950958287990572
0.6065,0.179,0.066,0.17,0.259,0.023,0.17311549796960252
0.3055,0.373,0.017,0.431,0.2045,0.018,0.3623762122172204
0.137,0.0815,0.028,0.022,0.0655,0.01,0.07434278889091257
0.02,0.124,0.004,0.001,0.112,0.001,0.117749450551574
0.0225,0.081,0.004,0.022,0.033,0.006,0.07501711271028631
0.258,0.713,0.1405,0.23,0.508,0.087,0.7036206516946488
0.607,0.8895,0.7585,0.198,0.999,0.038,0.8896095465181746
0.048,0.058,0.004,0.003,0.024,0.001,0.05452625403696518
0.4995,0.8155,0.262,0.084,0.984,0.0585,0.8087248708424082
0.038,0.007,0.005,0.001,0.004,0.001,0.007092135957469551
0.132,0.173,0.014,0.087,0.1335,0.013,0.15459254545999407
0.022,0.006,0.002,0.003,0.007,0.002,0.002454594740029743
0.984,0.018,0.012,0.9345,0.018,0.021,0.01670452451197632
0.8,0.138,0.07,0.423,0.099,0.019,0.15105815706405298
0.021,0.1845,0.005,0.011,0.079,0.005,0.1851114310717816
0.001,0.002,0.001,0.001,0.004,0.001,0.0011518459153191706
0.113,0.191,0.108,0.263,0.139,0.056,0.18482800563786644
0.376,0.908,0.46,0.011,1.0,0.004,0.9338224342338104
0.136,0.035,0.003,0.077,0.015,0.003,0.03965759216321859
0.116,0.695,0.078,0.041,0.974,0.001,0.664428409874463
0.019,0.01,0.001,0.001,0.003,0.001,0.006822864815768542
0.652,0.18,0.217,0.026,0.064,0.02,0.19235879948964668
0.7005,0.842,0.7335,0.033,0.998,0.044,0.865581378970456
0.187,0.14,0.019,0.111,0.107,0.012,0.13443194457123325
0.001,0.014,0.001,0.001,0.008,0.001,0.009088838739358455
0.291,0.107,0.022,0.2075,0.06,0.014,0.10347558954693593
0.6345,0.074,0.023,0.015,0.0975,0.007,0.06348588426460315
0.1,0.069,0.02,0.059,0.058,0.01,0.07235723970990436
0.7225,0.6215,0.759,0.069,0.996,0.031,0.6373796717276352
0.002,0.001,0.001,0.001,0.001,0.001,0.0015634957619907546
0.056,0.248,0.013,0.0315,0.2025,0.009,0.2439811454765471
0.392,0.2675,0.204,0.016,0.1735,0.016,0.24079810883603525
0.863,0.1775,0.1625,0.5015,0.112,0.094,0.17113705242414592
0.09,0.234,0.013,0.005,0.164,0.002,0.24156641239027932
0.784,0.7625,0.748,0.026,0.999,0.009,0.7543553699109498
0.011,0.058,0.003,0.004,0.0855,0.003,0.05946288497657245
0.053,0.069,0.013,0.03,0.068,0.008,0.06456343789564117
0.001,0.001,0.001,0.001,0.001,0.001,0.00029630059803013593
0.424,0.7075,0.7,0.705,0.976,0.231,0.706093566336174
0.4015,0.7445,0.1605,0.021,0.999,0.005,0.710462295712018
0.003,0.002,0.001,0.001,0.002,0.001,0.0009248720357494787
0.065,0.1815,0.013,0.022,0.1255,0.007,0.1688740668889778
0.7,0.672,0.2605,0.4085,0.996,0.04,0.6788576896266353
0.051,0.001,0.002,0.001,0.001,0.001,0.00020803934115539257
0.6275,0.2435,0.377,0.055,0.156,0.041,0.22255372854605168
0.121,0.018,0.001,0.013,0.007,0.001,0.012948851180244256
0.5015,0.4625,0.254,0.359,0.487,0.231,0.4557886755133722
0.131,0.036,0.01,0.057,0.046,0.007,0.03720729461489562
0.2775,0.033,0.016,0.019,0.0255,0.007,0.028605884442007852
0.333,0.4115,0.115,0.139,0.561,0.054,0.41345094025834583
0.007,0.298,0.001,0.003,0.1345,0.001,0.29559632555392235
0.2375,0.163,0.0555,0.1105,0.089,0.02,0.1733878106134695
0.323,0.0255,0.011,0.062,0.019,0.007,0.028176909546900535
0.1745,0.066,0.021,0.035,0.035,0.011,0.06205936523091095
0.89,0.198,0.083,0.3255,0.1635,0.094,0.2063642557981683
0.194,0.118,0.02,0.007,0.055,0.002,0.11362137824628447
0.2,0.5525,0.051,0.014,0.3635,0.005,0.5276772464180798
0.2075,0.505,0.117,0.017,0.9695,0.016,0.4984940274469112
0.185,0.031,0.041,0.09,0.043,0.025,0.033626796117008875
0.023,0.002,0.001,0.019,0.003,0.001,0.0024871687581370723
0.4475,0.1065,0.051,0.03,0.0945,0.003,0.10366664470017921
0.063,0.112,0.035,0.008,0.107,0.003,0.09896438129611651
0.053,0.027,0.002,0.002,0.019,0.001,0.023759923756046217
0.563,0.828,0.2385,0.182,0.969,0.0595,0.8280212527543622
0.6305,0.9135,0.537,0.1645,0.991,0.09,0.9387946852018202
0.013,0.037,0.003,0.019,0.029,0.002,0.030529825582845796
0.7775,0.3535,0.156,0.038,0.319,0.0975,0.3101227050321255
0.1575,0.095,0.011,0.011,0.0795,0.002,0.08935675654093825
0.124,0.237,0.014,0.074,0.222,0.006,0.2453592196783841
0.99,0.3615,0.5965,0.7985,0.3945,0.4135,0.3388633061601589
0.129,0.4035,0.0395,0.1065,0.3435,0.013,0.39444525489370685
0.131,0.674,0.066,0.038,0.991,0.003,0.6823584381353949
0.812,0.138,0.0715,0.016,0.135,0.023,0.11954435927360718
0.319,0.7325,0.199,0.033,1.0,0.018,0.7247258520406505
0.797,0.4945,0.192,0.707,0.4485,0.182,0.49157994670338134
0.11,0.4465,0.042,0.0395,0.4245,0.015,0.4426868720429544
0.0245,0.027,0.004,0.001,0.006,0.002,0.033058286438732376
0.811,0.392,0.2165,0.179,0.351,0.073,0.38525076793048985
0.017,0.01,0.002,0.002,0.004,0.002,0.008748312334716245
0.035,0.084,0.009,0.001,0.057,0.003,0.0802529615489678
0.3335,0.7415,0.102,0.006,0.986,0.008,0.7122153165338507
0.01,0.024,0.002,0.005,0.023,0.003,0.020184753484168042
0.283,0.73,0.171,0.1755,0.836,0.05,0.7276623543205549
0.014,0.029,0.003,0.001,0.012,0.002,0.019475357550228747
0.024,0.028,0.006,0.008,0.02,0.002,0.020126042145092896
0.868,0.446,0.2855,0.223,0.514,0.204,0.4514208559271051
0.132,0.033,0.016,0.077,0.018,0.007,0.03437084075624584
0.124,0.339,0.053,0.053,0.397,0.004,0.3091546685249295
0.143,0.454,0.044,0.036,0.394,0.011,0.45722259973399615
0.028,0.1305,0.008,0.01,0.098,0.009,0.11709114029369698
0.765,0.178,0.8165,0.2935,0.1965,0.4155,0.18493260092058275
0.019,0.006,0.004,0.009,0.005,0.003,0.003886950209698404
0.8565,0.503,0.933,0.031,1.0,0.033,0.4967292500846051
0.127,0.047,0.027,0.184,0.0435,0.056,0.05050900043393361
0.024,0.037,0.005,0.009,0.018,0.003,0.03441763466835127
0.5715,0.5505,0.272,0.237,0.7295,0.116,0.5354876041826467
0.097,0.014,0.007,0.12,0.009,0.007,0.011975057874785647
0.001,0.001,0.001,0.001,0.001,0.001,4.947346636801625e-05
0.006,0.024,0.002,0.001,0.011,0.001,0.015389735988913932
0.004,0.017,0.002,0.001,0.013,0.001,0.012225478610235208
0.153,0.3635,0.026,0.131,0.322,0.018,0.3491290604440449
0.255,0.399,0.1615,0.096,0.506,0.083,0.3837177746979227
0.2545,0.8255,0.149,0.001,1.0,0.001,0.8447750330359187
0.278,0.1795,0.027,0.01,0.215,0.017,0.17177629094083155
0.105,0.213,0.076,0.015,0.296,0.02,0.21171156392314183
0.02,0.064,0.01,0.004,0.038,0.001,0.049161451827786314
0.761,0.087,0.1705,0.009,0.067,0.005,0.09158516541615579
0.6525,0.9245,0.717,0.922,0.998,0.1155,0.9356293742132
0.129,0.6315,0.019,0.006,0.682,0.004,0.5821437133049836
0.094,0.232,0.0705,0.023,0.2255,0.02,0.22438426043103696
0.0955,0.059,0.002,0.006,0.014,0.002,0.04883500880687021
0.04,0.226,0.004,0.015,0.3195,0.001,0.218535853350302
0.001,0.001,0.001,0.001,0.001,0.001,0.0005307141579770587
0.4455,0.77,0.15,0.164,0.936,0.063,0.7513190071693759
0.081,0.078,0.045,0.0195,0.067,0.015,0.0673861904573388
0.715,0.425,0.103,0.115,0.827,0.051,0.42334133045437594
0.001,0.009,0.001,0.001,0.002,0.001,0.005036043901390592
0.4725,0.889,0.325,0.6565,0.8255,0.2625,0.8811385358216408
0.3315,0.3295,0.11,0.014,0.27,0.018,0.3153089125863027
0.012,0.049,0.004,0.002,0.012,0.001,0.05209506160132693
0.023,0.05,0.005,0.004,0.037,0.002,0.044659287711044215
0.297,0.013,0.021,0.019,0.011,0.006,0.008542682379632962
0.117,0.001,0.008,0.001,0.001,0.001,3.264762450888129e-05
0.037,0.0515,0.006,0.017,0.054,0.003,0.045501128906786106
0.7665,0.2995,0.118,0.5085,0.353,0.083,0.28359594592449255
0.003,0.004,0.001,0.002,0.003,0.001,0.0021744109468283973
0.001,0.002,0.001,0.001,0.002,0.001,0.0003021403721246261
0.338,0.9295,0.273,0.004,0.98,0.003,0.9873301311712799
0.3355,0.418,0.1525,0.3755,0.7235,0.0845,0.42578811172427633
0.1535,0.48,0.051,0.048,0.9065,0.012,0.4764219487892313
0.066,0.091,0.024,0.016,0.072,0.013,0.09538854996781755
0.1765,0.2325,0.063,0.0375,0.21,0.018,0.22667334148866503
0.014,0.083,0.008,0.001,0.021,0.001,0.07231726040222503
0.038,0.1965,0.001,0.001,0.0625,0.001,0.18679454590524072
0.02,0.2715,0.0495,0.014,0.7635,0.006,0.2744429157661736
0.215,0.489,0.133,0.018,0.9405,0.005,0.4598705901268233
0.8825,0.433,0.6885,0.876,0.4585,0.5085,0.46934326734419374
0.8205,0.1935,0.0865,0.107,0.2335,0.062,0.1864410261539424
0.016,0.3005,0.009,0.001,0.388,0.001,0.3101147851076076
0.009,0.035,0.006,0.004,0.022,0.003,0.03035492023731087
0.766,0.309,0.199,0.8995,0.239,0.138,0.30284426479720344
0.059,0.0625,0.016,0.014,0.106,0.007,0.054840695305436275
0.002,0.002,0.001,0.001,0.001,0.001,0.0038606081591448503
0.215,0.5325,0.05,0.018,0.826,0.007,0.513491831735581
0.017,0.119,0.016,0.002,0.209,0.002,0.11256680936388228
0.717,0.071,0.058,0.046,0.0425,0.006,0.07594155895589925
0.634,0.21,0.153,0.021,0.172,0.019,0.19050103729570056
0.004,0.02,0.001,0.002,0.017,0.001,0.020108123998295712
0.2455,0.156,0.07,0.17,0.128,0.0505,0.13993306334381064
0.024,0.2375,0.001,0.001,0.1085,0.001,0.24376294546242253
0.009,0.0505,0.009,0.027,0.029,0.002,0.04758639999387124
0.012,0.037,0.001,0.004,0.023,0.001,0.027636386959872375
0.007,0.111,0.002,0.001,0.151,0.001,0.09145307302480471
0.002,0.001,0.001,0.001,0.001,0.001,0.0003821583004893872
0.002,0.007,0.001,0.002,0.003,0.001,0.006398656232971044
0.0435,0.014,0.005,0.013,0.0155,0.006,0.014445904851569774
0.2765,0.1635,0.046,0.023,0.231,0.022,0.15237577979742015
0.06,0.104,0.066,0.028,0.063,0.024,0.11319766817563894
0.051,0.017,0.005,0.01,0.007,0.003,0.018408219542370426
0.049,0.021,0.008,0.005,0.041,0.003,0.015014706666107571
0.448,0.4735,0.106,0.0475,0.692,0.014,0.4574210890876925
0.7135,0.492,0.219,0.082,0.469,0.033,0.46813817451749573
0.002,0.003,0.001,0.001,0.002,0.001,0.0038493496039592907
0.013,0.026,0.001,0.005,0.009,0.001,0.025892981249726044
0.003,0.002,0.001,0.001,0.001,0.001,0.001455724511534907
0.6555,0.815,0.396,0.1465,0.9895,0.0525,0.8279535181990593
0.076,0.118,0.007,0.017,0.1285,0.002,0.11296246278787665
0.002,0.003,0.001,0.001,0.001,0.001,0.007270330350285501
0.002,0.1375,0.004,0.001,0.0845,0.001,0.1399473904391227
0.434,0.9125,0.3905,0.066,1.0,0.036,0.9294303378188481
0.315,0.9505,0.3455,0.599,0.897,0.355,0.9865055225679336
0.852,0.026,0.006,0.144,0.018,0.035,0.023921135744731294
0.001,0.001,0.001,0.001,0.001,0.001,0.00020198639261747868
0.131,0.3645,0.075,0.086,0.561,0.014,0.3522281784651091
0.116,0.3145,0.032,0.018,0.9155,0.004,0.30116021733750387
0.1115,0.117,0.007,0.034,0.077,0.005,0.12624757407470188
0.08,0.4515,0.029,0.004,0.762,0.003,0.47496707408309213
0.219,0.691,0.207,0.081,0.752,0.043,0.7021350420469603
0.854,0.077,0.046,0.027,0.034,0.015,0.06593616516638567
0.006,0.005,0.001,0.001,0.002,0.001,0.002082430954943206
0.3565,0.042,0.042,0.704,0.0365,0.022,0.033251359371196526
0.029,0.003,0.003,0.001,0.004,0.001,0.004553594917673391
0.112,0.4425,0.128,0.016,0.6555,0.024,0.43155223213062655
0.003,0.019,0.002,0.003,0.009,0.001,0.015001096742225828
0.4125,0.8515,0.2685,0.1115,0.989,0.0315,0.8513621453509996
0.016,0.0155,0.002,0.004,0.011,0.001,0.012839457451698198
0.0685,0.1695,0.037,0.018,0.1705,0.023,0.19925367740386918
0.314,0.6825,0.131,0.047,0.994,0.02,0.6592562189527743
0.1005,0.114,0.122,0.016,0.119,0.052,0.12190431102593956
0.618,0.94,0.606,0.001,1.0,0.001,0.964512928350467
0.046,0.002,0.002,0.013,0.001,0.001,0.0023171735640256054
0.001,0.013,0.005,0.001,0.01,0.001,0.00900508347215351
0.001,0.007,0.001,0.001,0.005,0.001,0.009380896414416933
0.1245,0.8345,0.0525,0.004,0.9815,0.001,0.8309930505008647
0.219,0.619,0.0835,0.005,0.995,0.001,0.6373865459208221
0.001,0.001,0.001,0.001,0.001,0.001,1.4957608382277913e-05
0.001,0.002,0.001,0.001,0.001,0.001,0.0012438197838895426
0.2645,0.124,0.065,0.2425,0.1385,0.081,0.12721655876159693
0.048,0.1485,0.015,0.01,0.043,0.003,0.15803695180243535
0.028,0.002,0.001,0.008,0.002,0.002,0.0014199087766326463
0.131,0.066,0.023,0.039,0.078,0.013,0.06818917101872145
0.761,0.553,0.2075,0.49,0.942,0.133,0.5503844449670565
0.807,0.1995,0.174,0.173,0.257,0.083,0.20209130080728757
0.841,0.22,0.789,0.134,0.1185,0.09,0.2094408324302921
0.384,0.215,0.036,0.2065,0.208,0.032,0.21017251112511495
0.001,0.002,0.001,0.001,0.002,0.001,0.0006825790699161667
0.194,0.1995,0.4735,0.065,0.271,0.204,0.19327209801180362
0.001,0.001,0.001,0.001,0.001,0.001,0.000413407768738554
0.348,0.9065,0.1555,0.064,0.9585,0.011,0.9090791232963857
0.183,0.245,0.02,0.3425,0.315,0.004,0.23982706094677847
0.117,0.2225,0.04,0.09,0.187,0.022,0.22464898181064002
0.082,0.705,0.031,0.013,0.8335,0.005,0.7163927661737821
0.5045,0.298,0.137,0.2155,0.191,0.051,0.303909829553671
0.001,0.001,0.001,0.001,0.001,0.001,0.0007704736221918002
0.166,0.207,0.033,0.105,0.219,0.008,0.1673534584148139
0.104,0.365,0.044,0.009,0.2835,0.013,0.38075830186951787
0.1285,0.057,0.012,0.017,0.04,0.003,0.051268062687361136
0.3695,0.4115,0.135,0.091,0.877,0.02,0.3710091669002139
0.201,0.143,0.092,0.251,0.1455,0.058,0.12226165383746286
0.001,0.001,0.001,0.001,0.001,0.001,0.00011886303492995472
0.097,0.0975,0.022,0.016,0.07,0.006,0.10380898432324305
0.658,0.9295,0.625,0.0625,0.998,0.028,0.945754887548919
0.017,0.093,0.007,0.002,0.035,0.003,0.08871255524855454
0.002,0.004,0.002,0.002,0.004,0.002,0.001498391977941491
0.91,0.043,0.067,0.985,0.061,0.102,0.03709268818394149
0.023,0.009,0.001,0.009,0.005,0.001,0.005765970282336718
0.009,0.016,0.004,0.002,0.019,0.001,0.012612228567678081
0.018,0.0615,0.017,0.001,0.072,0.001,0.05607574623287685
0.57,0.9545,0.617,0.026,0.999,0.04,0.9674426206442519
0.2395,0.456,0.028,0.3715,0.369,0.042,0.42042406993179005
0.835,0.41,0.28,0.346,0.692,0.08,0.39841655243794305
0.063,0.003,0.001,0.006,0.003,0.001,0.0014833056268526864
0.141,0.28,0.032,0.015,0.2015,0.007,0.26101647575178333
0.015,0.019,0.008,0.009,0.028,0.004,0.020123826113952775
0.327,0.344,0.01,0.234,0.1905,0.012,0.38001805953690804
0.006,0.023,0.001,0.001,0.008,0.001,0.021077806039243707
0.005,0.064,0.002,0.001,0.0185,0.001,0.059417199486625515
0.45,0.856,0.349,0.1215,0.998,0.025,0.8479496426796154
0.7905,0.6355,0.405,0.3895,0.6275,0.339,0.6243667638041244
0.1215,0.395,0.019,0.025,0.4345,0.005,0.37236584438907605
0.782,0.044,0.011,0.02,0.039,0.003,0.04681373821504
0.3395,0.363,0.067,0.036,0.2745,0.014,0.3519566291633809
0.273,0.4235,0.3485,0.4895,0.315,0.5825,0.411065945094543
0.196,0.544,0.0855,0.136,0.6315,0.02,0.557728299878312
0.119,0.255,0.013,0.029,0.0685,0.008,0.24879783499491484
0.8195,0.6965,0.927,0.145,1.0,0.066,0.681586474323082
0.2535,0.075,0.01,0.01,0.04,0.005,0.09683474923677114
0.3465,0.099,0.148,0.2285,0.067,0.043,0.10050140569379036
0.005,0.007,0.002,0.001,0.003,0.001,0.010439077340730558
0.014,0.021,0.001,0.024,0.011,0.001,0.01756543806836184
