OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.034,0.043,0.001,0.001,0.001,0.001,0.02926345065096974
0.001,0.383,0.001,0.001,0.1225,0.001,0.31139112621809434
0.006,0.192,0.001,0.001,0.014,0.001,0.1452117915677626
0.637,0.776,0.663,0.001,0.999,0.001,0.777917936953143
0.702,0.008,0.652,0.001,0.001,0.001,0.0019766307692101583
0.0155,0.6925,0.009,0.001,0.743,0.001,0.622109280718758
0.111,0.009,0.031,0.001,0.001,0.001,0.011828580854496493
0.092,0.8405,0.088,0.001,0.9635,0.001,0.8721444381553177
0.489,0.001,0.342,0.001,0.001,0.001,0.0015356865441147536
0.0295,0.047,0.001,0.001,0.001,0.001,0.05170918025208314
0.021,0.6695,0.017,0.001,0.7905,0.001,0.6262537004620401
0.003,0.3585,0.003,0.001,0.1865,0.001,0.36609753378347953
0.116,0.8075,0.08,0.001,0.989,0.001,0.8324638141058822
0.011,0.5375,0.003,0.001,0.752,0.001,0.5268813733889216
0.001,0.2415,0.001,0.001,0.015,0.001,0.20488166705795327
0.6975,0.6125,0.726,0.001,1.0,0.001,0.6780087678035631
0.006,0.3355,0.005,0.001,0.059,0.001,0.34851646956477167
0.93,0.327,0.951,0.001,1.0,0.001,0.3146165289923048
0.0815,0.746,0.079,0.001,0.947,0.001,0.815327687691612
0.02,0.129,0.001,0.001,0.003,0.001,0.09634905138632581
0.003,0.3985,0.002,0.001,0.167,0.001,0.3396484573463179
0.0475,0.7395,0.036,0.001,0.8945,0.001,0.7533094827763374
0.005,0.1775,0.001,0.001,0.007,0.001,0.13217173632983792
0.003,0.2635,0.001,0.001,0.022,0.001,0.2535282300655826
0.5325,0.002,0.448,0.001,0.001,0.001,0.0025840872621431844
0.009,0.173,0.001,0.001,0.008,0.001,0.13790732052827331
0.008,0.081,0.001,0.001,0.004,0.001,0.0671186695900799
0.343,0.841,0.34,0.001,0.997,0.001,0.9455572317678969
0.7765,0.5835,0.791,0.001,1.0,0.001,0.5872389444387079
0.003,0.182,0.001,0.001,0.008,0.001,0.15742378977996235
0.006,0.24,0.001,0.001,0.057,0.001,0.21991731218308908
0.31,0.84,0.307,0.001,0.999,0.001,0.9573115611703089
0.015,0.5925,0.007,0.001,0.7485,0.001,0.566218770753939
0.011,0.504,0.004,0.001,0.6295,0.001,0.5416809493362148
0.005,0.084,0.001,0.001,0.005,0.001,0.06849271973452936
0.448,0.026,0.254,0.001,0.001,0.001,0.0067785187516222695
0.263,0.013,0.06,0.001,0.001,0.001,0.012707112459051928
0.278,0.017,0.127,0.001,0.001,0.001,0.00818522345188565
0.245,0.011,0.137,0.001,0.001,0.001,0.009104271664912383
0.139,0.847,0.111,0.001,0.965,0.001,0.881165484832481
0.099,0.037,0.001,0.001,0.001,0.001,0.01848793336171865
0.021,0.682,0.015,0.001,0.7635,0.001,0.6193804817858313
0.006,0.334,0.001,0.001,0.1005,0.001,0.2837533924531472
0.008,0.494,0.004,0.001,0.4435,0.001,0.4263868520084674
0.934,0.3425,0.958,0.001,1.0,0.001,0.30031411827591903
0.079,0.7965,0.067,0.001,0.937,0.001,0.8134828224841775
0.001,0.25,0.001,0.001,0.028,0.001,0.22804050403563794
0.59,0.004,0.389,0.001,0.001,0.001,0.0033598994583696807
0.116,0.017,0.016,0.001,0.001,0.001,0.013280285748229894
0.465,0.022,0.2315,0.001,0.001,0.001,0.0055287807855739215
0.01,0.095,0.001,0.001,0.005,0.001,0.07327636596228089
0.018,0.036,0.001,0.001,0.001,0.001,0.03532247882082321
0.006,0.174,0.001,0.001,0.017,0.001,0.18365143205066023
0.051,0.738,0.041,0.001,0.8865,0.001,0.755585719360472
0.027,0.094,0.001,0.001,0.003,0.001,0.0779344162095796
0.7735,0.548,0.809,0.001,1.0,0.001,0.5305954946655813
0.003,0.2465,0.001,0.001,0.033,0.001,0.20904120111913918
0.009,0.136,0.001,0.001,0.003,0.001,0.11748090977916338
0.008,0.614,0.004,0.001,0.679,0.001,0.5934145107169156
0.001,0.4685,0.001,0.001,0.1875,0.001,0.3969921884835854
0.038,0.043,0.001,0.001,0.001,0.001,0.03698072129468577
0.054,0.754,0.04,0.001,0.9515,0.001,0.7892300201698881
0.011,0.18,0.001,0.001,0.016,0.001,0.1568380260742601
0.002,0.192,0.001,0.001,0.016,0.001,0.1713802916654592
0.653,0.707,0.657,0.001,0.999,0.001,0.7336104113488949
0.106,0.769,0.092,0.001,0.978,0.001,0.8457775583372501
0.009,0.149,0.001,0.001,0.002,0.001,0.12866354672173627
0.421,0.8385,0.397,0.001,0.9945,0.001,0.9020627765943966
0.7715,0.5695,0.79,0.001,1.0,0.001,0.5301579437089001
0.002,0.435,0.001,0.001,0.22,0.001,0.4130569414280971
0.327,0.012,0.149,0.001,0.001,0.001,0.004365396352123271
0.263,0.011,0.004,0.001,0.001,0.001,0.005597440418387578
0.047,0.041,0.001,0.001,0.001,0.001,0.0368967321217288
0.001,0.3875,0.002,0.001,0.167,0.001,0.35870026771709873
0.806,0.6445,0.807,0.001,1.0,0.001,0.5840191604049699
0.006,0.578,0.004,0.001,0.384,0.001,0.4959002844097219
0.605,0.005,0.3815,0.001,0.001,0.001,0.0013053418123325986
0.005,0.145,0.001,0.001,0.003,0.001,0.12373500100499579
0.012,0.087,0.001,0.001,0.002,0.001,0.0722167931972737
0.007,0.287,0.001,0.001,0.062,0.001,0.2453387040096432
0.011,0.102,0.001,0.001,0.004,0.001,0.09143003838494834
0.8485,0.001,0.773,0.001,0.001,0.001,0.00018688021064165492
0.392,0.8465,0.384,0.001,0.996,0.001,0.8995310039962514
0.2365,0.8455,0.238,0.001,0.9915,0.001,0.9864094464847502
0.151,0.8185,0.1275,0.001,0.992,0.001,0.9008889527233681
0.005,0.338,0.001,0.001,0.11,0.001,0.2777895610511278
0.03,0.6065,0.023,0.001,0.825,0.001,0.6450932375104417
0.68,0.6735,0.6785,0.001,1.0,0.001,0.7086138812016776
0.9,0.3885,0.917,0.001,1.0,0.001,0.3659464688125693
0.054,0.042,0.003,0.001,0.001,0.001,0.03031529795742599
0.798,0.005,0.744,0.001,0.001,0.001,0.0005535981310399778
0.009,0.096,0.001,0.001,0.001,0.001,0.09069303404807137
0.003,0.122,0.001,0.001,0.003,0.001,0.11173173452447167
0.034,0.08,0.001,0.001,0.002,0.001,0.06629850273239758
0.012,0.5295,0.007,0.001,0.5885,0.001,0.5413943772671086
0.006,0.119,0.001,0.001,0.006,0.001,0.11403889085942742
0.292,0.864,0.277,0.001,0.991,0.001,0.9696744084180294
0.015,0.3775,0.001,0.001,0.224,0.001,0.32999781892555946
0.002,0.391,0.001,0.001,0.141,0.001,0.364258683866477
0.6175,0.7405,0.634,0.001,1.0,0.001,0.7152486622991379
0.799,0.001,0.742,0.001,0.001,0.001,0.0005563241499116359
0.009,0.48,0.002,0.001,0.357,0.001,0.43173070545607983
0.002,0.237,0.001,0.001,0.0145,0.001,0.20852164616899385
0.597,0.7315,0.601,0.001,1.0,0.001,0.7235322989676336
0.004,0.3385,0.001,0.001,0.131,0.001,0.30054144047370696
0.1375,0.015,0.022,0.001,0.001,0.001,0.011076627380607818
0.009,0.3945,0.001,0.001,0.191,0.001,0.34857391965081286
0.002,0.504,0.001,0.001,0.3255,0.001,0.4360751625862147
0.02,0.1495,0.001,0.001,0.006,0.001,0.10648379065558664
0.001,0.285,0.001,0.001,0.035,0.001,0.23282354037918696
0.864,0.5,0.881,0.001,1.0,0.001,0.4793183581594067
0.017,0.6155,0.014,0.001,0.818,0.001,0.6468697675479121
0.13,0.009,0.006,0.001,0.001,0.001,0.009721292685510485
0.2985,0.8745,0.278,0.001,0.995,0.001,0.9801369635727276
0.003,0.343,0.001,0.001,0.0785,0.001,0.34295210822976085
0.004,0.161,0.001,0.001,0.013,0.001,0.1285427632524161
0.035,0.133,0.001,0.001,0.007,0.001,0.12438272869409149
0.041,0.702,0.0285,0.001,0.905,0.001,0.7034647443062108
0.1845,0.023,0.016,0.001,0.001,0.001,0.008373572799537227
0.765,0.5495,0.786,0.001,1.0,0.001,0.5695474232610862
0.316,0.8645,0.309,0.001,0.995,0.001,0.956825564294983
0.017,0.0495,0.001,0.001,0.001,0.001,0.03667467980569911
0.004,0.339,0.002,0.001,0.08,0.001,0.34032063633542564
0.006,0.122,0.001,0.001,0.005,0.001,0.11838835685993146
0.002,0.3525,0.001,0.001,0.135,0.001,0.3439333152039994
0.188,0.8695,0.1795,0.001,0.988,0.001,0.9412854881305481
0.003,0.325,0.001,0.001,0.11,0.001,0.2875353598114295
0.016,0.086,0.001,0.001,0.001,0.001,0.06382995359787677
0.051,0.722,0.04,0.001,0.8835,0.001,0.7703503906418725
0.049,0.0435,0.001,0.001,0.001,0.001,0.03968724613891516
0.174,0.039,0.003,0.001,0.001,0.001,0.018013105415267117
0.003,0.3625,0.003,0.001,0.179,0.001,0.36470658228898345
0.008,0.4355,0.002,0.001,0.3755,0.001,0.4192420839410056
0.009,0.631,0.003,0.001,0.5965,0.001,0.5634593274346258
0.06,0.058,0.004,0.001,0.003,0.001,0.051501492074202605
0.898,0.4,0.919,0.001,1.0,0.001,0.39842436043477636
0.002,0.3705,0.001,0.001,0.2015,0.001,0.35870629108495145
0.005,0.1705,0.001,0.001,0.008,0.001,0.12898228485673596
0.003,0.1725,0.001,0.001,0.011,0.001,0.14751548138968285
0.003,0.386,0.002,0.001,0.316,0.001,0.4211086528062773
0.008,0.305,0.001,0.001,0.082,0.001,0.2734299243222609
0.058,0.7715,0.044,0.001,0.8935,0.001,0.7480512258199667
0.828,0.527,0.821,0.001,1.0,0.001,0.5021975704097426
0.004,0.463,0.001,0.001,0.36,0.001,0.4621189301143178
0.957,0.3275,0.961,0.001,1.0,0.001,0.27823145814915595
0.002,0.101,0.001,0.001,0.004,0.001,0.08122592301124208
0.014,0.565,0.006,0.001,0.6315,0.001,0.5583866220691035
0.005,0.55,0.004,0.001,0.348,0.001,0.49894757525375333
0.043,0.781,0.05,0.001,0.92,0.001,0.7699892696252703
0.789,0.5545,0.803,0.001,1.0,0.001,0.5720498241034735
0.022,0.627,0.016,0.001,0.6215,0.001,0.5840069213987424
0.0025,0.239,0.001,0.001,0.056,0.001,0.206950391608038
0.002,0.3315,0.001,0.001,0.085,0.001,0.32440676191544016
0.0015,0.384,0.001,0.001,0.286,0.001,0.3815075230828193
0.205,0.027,0.003,0.001,0.001,0.001,0.02003007105622953
0.042,0.064,0.003,0.001,0.001,0.001,0.04467578680897571
0.034,0.7345,0.027,0.001,0.8835,0.001,0.7167650066079008
0.073,0.077,0.001,0.001,0.001,0.001,0.05725734831920166
0.369,0.004,0.228,0.001,0.001,0.001,0.004916407854725478
0.01,0.144,0.001,0.001,0.003,0.001,0.11793839754307271
0.506,0.005,0.444,0.001,0.001,0.001,0.003662255240491802
0.005,0.5625,0.003,0.001,0.3995,0.001,0.49211621872304256
0.002,0.265,0.001,0.001,0.045,0.001,0.2617431095767827
0.012,0.6205,0.012,0.001,0.9065,0.001,0.6316891434359813
0.006,0.1885,0.001,0.001,0.008,0.001,0.1648440721188497
0.011,0.6075,0.004,0.001,0.5725,0.001,0.5735460524636762
0.004,0.108,0.001,0.001,0.004,0.001,0.10241204204241297
0.009,0.087,0.001,0.001,0.002,0.001,0.07386057524481045
0.004,0.204,0.001,0.001,0.011,0.001,0.18160200076717875
0.403,0.858,0.358,0.001,0.998,0.001,0.909660575770552
0.143,0.82,0.133,0.001,0.984,0.001,0.8865246681889367
0.004,0.208,0.001,0.001,0.0225,0.001,0.1749004330764616
0.468,0.848,0.449,0.001,0.9945,0.001,0.8789267451793131
0.003,0.135,0.001,0.001,0.009,0.001,0.12004443983381487
0.004,0.4805,0.002,0.001,0.218,0.001,0.43071447251634964
0.007,0.085,0.001,0.001,0.002,0.001,0.0735032536996431
0.594,0.7795,0.608,0.001,0.997,0.001,0.7603056746892203
0.001,0.2685,0.001,0.001,0.027,0.001,0.21822816939483836
0.011,0.61,0.009,0.001,0.5695,0.001,0.5757313465949279
0.5685,0.7925,0.5435,0.001,1.0,0.001,0.8007112497912862
0.1815,0.009,0.017,0.001,0.001,0.001,0.00906915653412281
0.028,0.082,0.002,0.001,0.001,0.001,0.06392228656141956
0.008,0.116,0.001,0.001,0.002,0.001,0.11271809830483177
0.016,0.105,0.001,0.001,0.002,0.001,0.09312211775244031
0.7445,0.6645,0.764,0.001,1.0,0.001,0.6649747059382347
0.009,0.522,0.006,0.001,0.429,0.001,0.493031940525548
0.469,0.014,0.225,0.001,0.001,0.001,0.0042027724676719225
0.003,0.34,0.001,0.001,0.1145,0.001,0.3209851362517826
0.01,0.116,0.001,0.001,0.001,0.001,0.09386866272473791
0.015,0.684,0.009,0.001,0.7545,0.001,0.6215754708870943
0.88,0.001,0.873,0.001,0.001,0.001,0.00039913942947632133
0.017,0.052,0.001,0.001,0.001,0.001,0.041231936945740906
0.016,0.081,0.001,0.001,0.003,0.001,0.08093393608882062
0.5095,0.7795,0.5125,0.001,0.996,0.001,0.8246646696821667
0.128,0.033,0.042,0.001,0.001,0.001,0.019065050190031373
0.003,0.153,0.001,0.001,0.009,0.001,0.13009249894527028
0.007,0.426,0.001,0.001,0.15,0.001,0.35285555663805634
0.004,0.274,0.001,0.001,0.073,0.001,0.29101416648668865
0.006,0.579,0.004,0.001,0.506,0.001,0.519260960570245
0.007,0.135,0.001,0.001,0.002,0.001,0.1374844806204247
0.525,0.001,0.509,0.001,0.001,0.001,0.002456446002719808
0.031,0.027,0.001,0.001,0.001,0.001,0.033483689968329254
0.031,0.047,0.001,0.001,0.001,0.001,0.040825707690567495
0.009,0.586,0.005,0.001,0.591,0.001,0.5225637782955648
0.009,0.093,0.001,0.001,0.002,0.001,0.07827614168403052
0.006,0.4415,0.001,0.001,0.4265,0.001,0.4575152489711345
0.001,0.233,0.001,0.001,0.0195,0.001,0.24225737787152987
0.003,0.28,0.001,0.001,0.0625,0.001,0.24320285274445383
0.833,0.521,0.866,0.001,1.0,0.001,0.5128648866516574
0.043,0.694,0.035,0.001,0.9035,0.001,0.7528570907898292
0.001,0.365,0.001,0.001,0.1465,0.001,0.3611067109302495
0.004,0.1855,0.001,0.001,0.008,0.001,0.14933696503575203
0.002,0.395,0.002,0.001,0.2065,0.001,0.37276802382946383
0.52,0.001,0.518,0.001,0.001,0.001,0.0023827189618193336
