OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.033,0.016,0.02,0.047,0.016,0.026,0.010106438009628974
0.643,0.214,0.265,0.574,0.206,0.2875,0.189070263434354
0.012,0.005,0.004,0.014,0.005,0.004,0.0017216360959342225
0.016,0.003,0.004,0.016,0.003,0.004,0.0008647128818397436
0.3285,0.231,0.292,0.425,0.196,0.3505,0.20695884392635264
0.001,0.001,0.001,0.001,0.001,0.001,1.2940240376136396e-05
0.014,0.002,0.004,0.014,0.003,0.008,0.0006353850105515496
0.227,0.128,0.148,0.202,0.1295,0.169,0.10205995214987003
0.028,0.002,0.003,0.039,0.002,0.004,0.001338337721012341
0.035,0.018,0.026,0.041,0.017,0.029,0.007783532206123746
0.4385,0.326,0.3345,0.4615,0.3205,0.371,0.2828310247052706
0.122,0.026,0.022,0.062,0.028,0.022,0.012939478047993076
0.008,0.007,0.005,0.014,0.008,0.007,0.003723089336714082
0.5775,0.013,0.027,0.4575,0.014,0.037,0.004874130200387521
0.007,0.007,0.003,0.007,0.005,0.004,0.004025844193471723
0.057,0.02,0.014,0.065,0.022,0.017,0.013063823674630095
0.033,0.018,0.018,0.035,0.016,0.018,0.01599786972591465
0.004,0.002,0.003,0.007,0.002,0.004,0.00045892319932106364
0.756,0.8155,0.7665,0.745,0.7375,0.8245,0.8708504004349731
0.068,0.077,0.074,0.075,0.085,0.063,0.05947178396020919
0.04,0.0255,0.038,0.037,0.023,0.038,0.017148777628745848
0.009,0.004,0.003,0.009,0.004,0.003,0.000885634656651932
0.005,0.011,0.0075,0.005,0.01,0.008,0.00639180849946835
0.175,0.3385,0.204,0.1445,0.4765,0.13,0.32098255180360163
0.042,0.019,0.029,0.058,0.017,0.037,0.013786531476878531
0.001,0.002,0.001,0.001,0.001,0.001,0.00010667411387238924
0.049,0.012,0.013,0.063,0.0125,0.023,0.011067790490508506
0.044,0.043,0.04,0.057,0.043,0.039,0.030494931822323625
0.044,0.006,0.011,0.082,0.005,0.015,0.004557074987129938
0.6895,0.6755,0.6465,0.6945,0.659,0.676,0.6858328229751067
0.178,0.052,0.045,0.1965,0.046,0.059,0.047316881119100054
0.002,0.001,0.001,0.002,0.001,0.001,0.00040397735460369496
0.034,0.0955,0.057,0.038,0.083,0.041,0.06867986897476062
0.11,0.056,0.082,0.155,0.06,0.092,0.04328915832333114
0.001,0.003,0.001,0.001,0.003,0.001,0.0009005997026277244
0.265,0.427,0.362,0.272,0.3935,0.3835,0.3886229902611187
0.045,0.049,0.07,0.0565,0.048,0.072,0.03349287706390601
0.2155,0.371,0.378,0.2285,0.359,0.376,0.31833353974861744
0.066,0.0475,0.039,0.075,0.047,0.036,0.04103196008789987
0.011,0.002,0.002,0.016,0.002,0.002,0.0003932053081006849
0.12,0.03,0.051,0.152,0.029,0.068,0.02100503307281448
0.5105,0.099,0.128,0.49,0.091,0.133,0.06670488969197041
0.062,0.033,0.033,0.072,0.0325,0.037,0.026702960142865207
0.8105,0.749,0.782,0.661,0.7625,0.8405,0.7928247973111622
0.128,0.048,0.078,0.217,0.046,0.109,0.04340857886521751
0.002,0.001,0.001,0.002,0.001,0.001,4.3311753860022305e-05
0.3955,0.2175,0.143,0.445,0.2385,0.136,0.2004135501810662
0.0495,0.015,0.01,0.0535,0.015,0.015,0.010258960648111807
0.098,0.039,0.046,0.14,0.036,0.067,0.025110162864733734
0.244,0.319,0.292,0.279,0.305,0.2885,0.304129716358423
0.024,0.005,0.006,0.027,0.004,0.006,0.0029194432236438043
0.004,0.003,0.003,0.005,0.003,0.003,0.0009754887135797166
0.014,0.001,0.002,0.014,0.001,0.003,0.0005747237276124835
0.324,0.165,0.205,0.273,0.177,0.233,0.15438557882308032
0.001,0.001,0.001,0.001,0.001,0.001,0.00019902684368228846
0.0405,0.009,0.012,0.048,0.008,0.018,0.004902425385587978
0.077,0.03,0.022,0.092,0.032,0.027,0.020085357311835104
0.081,0.085,0.096,0.1025,0.081,0.114,0.06620344130352786
0.205,0.065,0.092,0.259,0.068,0.111,0.05039311510910214
0.006,0.014,0.012,0.006,0.013,0.009,0.007708004361448553
0.076,0.057,0.067,0.103,0.053,0.069,0.0518014370365376
0.001,0.001,0.001,0.001,0.001,0.001,8.673507288358502e-05
0.2765,0.186,0.201,0.3355,0.1805,0.227,0.17356423720232486
0.171,0.184,0.1765,0.191,0.181,0.181,0.1615471472054278
0.5035,0.292,0.3345,0.642,0.2795,0.499,0.25945412413660984
0.001,0.001,0.001,0.001,0.001,0.001,0.00037464438272835724
0.497,0.1435,0.22,0.4255,0.151,0.258,0.1350041802443944
0.162,0.054,0.05,0.202,0.059,0.047,0.04239438834762749
0.4985,0.5085,0.453,0.538,0.5065,0.485,0.48901279272249754
0.02,0.002,0.006,0.024,0.003,0.007,0.001463570604028264
0.087,0.0695,0.106,0.0965,0.0695,0.123,0.06534971266803075
0.576,0.8335,0.8215,0.702,0.7865,0.834,0.8954714484808541
0.102,0.06,0.083,0.113,0.062,0.107,0.043934620559000416
0.005,0.006,0.005,0.008,0.005,0.006,0.000621267462340009
0.001,0.001,0.001,0.001,0.001,0.001,0.0003730912229063268
0.529,0.697,0.606,0.536,0.814,0.5355,0.6948373104808331
0.101,0.032,0.045,0.11,0.034,0.049,0.03161196652510736
0.491,0.206,0.339,0.471,0.2245,0.4065,0.19923167677463985
0.225,0.03,0.0375,0.155,0.031,0.048,0.021783697470645968
0.172,0.047,0.068,0.1415,0.05,0.074,0.04093521621678715
0.377,0.275,0.264,0.339,0.298,0.2555,0.26393838593686114
0.037,0.077,0.062,0.046,0.082,0.0645,0.0530904243169248
0.089,0.045,0.063,0.184,0.048,0.077,0.0409944858935838
0.03,0.006,0.009,0.022,0.006,0.009,0.0027856911139047488
0.075,0.1095,0.073,0.041,0.16,0.052,0.09278797762037025
0.1725,0.045,0.068,0.18,0.04,0.089,0.03580556361522474
0.002,0.001,0.001,0.002,0.001,0.001,0.00025709200359507096
0.2155,0.079,0.17,0.211,0.083,0.215,0.06402891403821671
0.3055,0.101,0.107,0.3365,0.107,0.133,0.08295763301642098
0.078,0.052,0.046,0.079,0.056,0.047,0.048575050185466796
0.7105,0.5915,0.882,0.706,0.724,0.8315,0.5787638710198858
0.099,0.018,0.032,0.123,0.018,0.039,0.007968860904038503
0.004,0.019,0.004,0.003,0.018,0.002,0.011496157100159533
0.003,0.004,0.003,0.004,0.004,0.004,0.0011901313562947737
0.074,0.088,0.085,0.088,0.081,0.086,0.06913311067781976
0.077,0.112,0.138,0.104,0.109,0.1285,0.08920752588748475
0.127,0.1485,0.084,0.1275,0.1405,0.076,0.1365500441307251
0.271,0.005,0.005,0.215,0.004,0.009,0.0054200710734173775
0.051,0.02,0.026,0.079,0.02,0.042,0.013740591357896407
0.001,0.001,0.001,0.001,0.001,0.001,5.849431651581412e-05
0.175,0.1305,0.137,0.2225,0.115,0.153,0.09913724327176505
0.001,0.001,0.001,0.001,0.001,0.001,1.5871197847284149e-06
0.074,0.01,0.017,0.076,0.012,0.021,0.009445013642683395
0.001,0.001,0.001,0.001,0.001,0.001,9.01678424392807e-06
0.007,0.004,0.005,0.0115,0.005,0.004,0.0017862500195600657
0.112,0.04,0.054,0.1115,0.044,0.069,0.026211354660932853
0.105,0.0425,0.028,0.1715,0.042,0.041,0.026135005992073475
0.2735,0.079,0.109,0.276,0.0745,0.142,0.06034213172644103
0.001,0.005,0.003,0.001,0.008,0.002,0.0007642792947178472
0.011,0.001,0.001,0.016,0.002,0.001,0.001638798352541752
0.006,0.017,0.01,0.01,0.019,0.009,0.012738542299129496
0.028,0.017,0.017,0.037,0.016,0.015,0.011022371455688282
0.039,0.017,0.018,0.05,0.018,0.017,0.011259708917373728
0.7165,0.457,0.5145,0.639,0.473,0.6205,0.4331509667411171
0.013,0.017,0.017,0.017,0.016,0.016,0.010453875621918502
0.703,0.825,0.8135,0.7125,0.772,0.84,0.8779406410151623
0.029,0.005,0.005,0.042,0.005,0.005,0.002317972956379275
0.002,0.002,0.002,0.003,0.001,0.002,7.859059496631515e-05
0.412,0.1855,0.3705,0.432,0.195,0.388,0.16911235668780003
0.09,0.001,0.003,0.1365,0.001,0.008,0.00047007697213985846
0.045,0.041,0.049,0.059,0.041,0.051,0.030111766302790215
0.031,0.024,0.027,0.0535,0.021,0.027,0.022011937195783225
0.22,0.0835,0.078,0.1855,0.078,0.087,0.0796881412642467
0.27,0.0985,0.084,0.268,0.1045,0.087,0.07859385407115106
0.049,0.049,0.047,0.055,0.038,0.051,0.03631219207335532
0.039,0.014,0.018,0.046,0.015,0.019,0.0076996296649527
0.034,0.003,0.002,0.026,0.003,0.004,0.0009130185547260889
0.026,0.026,0.023,0.034,0.027,0.025,0.015698611268851508
0.013,0.006,0.003,0.014,0.006,0.003,0.002146447595739434
0.2075,0.3515,0.294,0.215,0.3765,0.252,0.3147044624764827
0.11,0.045,0.043,0.1225,0.044,0.052,0.034638152950767616
0.007,0.005,0.006,0.009,0.005,0.005,0.002263811381145029
