OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.042,0.513,0.031,0.013,0.944,0.004,0.5101654454821154
0.028,0.2245,0.066,0.028,0.229,0.044,0.24347042170483466
0.013,0.007,0.008,0.011,0.007,0.009,0.006679403974218927
0.0955,0.0585,0.052,0.136,0.058,0.054,0.05661928551584628
0.406,0.89,0.607,0.5355,0.9185,0.4485,0.9034669046028614
0.001,0.001,0.001,0.001,0.001,0.001,0.0007930130773036622
0.0615,0.32,0.042,0.0865,0.2125,0.051,0.32900742387376336
0.017,0.04,0.02,0.02,0.04,0.019,0.03597074242520505
0.054,0.006,0.019,0.025,0.007,0.013,0.004138774479309838
0.072,0.16,0.137,0.112,0.134,0.143,0.16286878531998464
0.004,0.074,0.029,0.004,0.066,0.013,0.0599332772693043
0.001,0.001,0.001,0.001,0.001,0.001,0.00030874007654513357
0.004,0.001,0.002,0.003,0.001,0.002,7.572263641017501e-05
0.005,0.014,0.008,0.003,0.012,0.005,0.012705093876471776
0.3305,0.7795,0.4175,0.1785,0.973,0.223,0.8023948134567921
0.3365,0.008,0.034,0.021,0.008,0.017,0.005023335987899647
0.015,0.4495,0.0335,0.04,0.3805,0.039,0.43198997228410285
0.149,0.227,0.171,0.1345,0.22,0.128,0.22234261611140574
0.001,0.001,0.001,0.001,0.001,0.001,3.510174209395463e-06
0.154,0.4535,0.2165,0.077,0.727,0.113,0.4648368089414663
0.139,0.479,0.2105,0.154,0.5225,0.188,0.4896696826739352
0.96,0.558,0.9855,0.313,0.9725,0.6575,0.5862216770306659
0.033,0.053,0.029,0.03,0.046,0.026,0.06533509795908388
0.002,0.018,0.005,0.003,0.014,0.006,0.01617112802463896
0.027,0.008,0.007,0.008,0.008,0.01,0.005072700387502012
0.039,0.024,0.015,0.053,0.024,0.014,0.024865355503975877
0.492,0.8255,0.4635,0.1755,0.895,0.135,0.8261529690613068
0.044,0.013,0.014,0.028,0.013,0.013,0.010402130553799897
0.004,0.011,0.001,0.002,0.009,0.001,0.011651519057403643
0.948,0.227,0.202,0.963,0.2255,0.259,0.20898360838190044
0.028,0.003,0.006,0.019,0.003,0.007,0.008505475642321911
0.088,0.3195,0.105,0.086,0.383,0.068,0.29042483180970374
0.256,0.019,0.03,0.412,0.016,0.038,0.03250306696079963
0.046,0.028,0.041,0.025,0.025,0.0425,0.022566791423322054
0.004,0.054,0.007,0.005,0.041,0.003,0.0499116841962456
0.027,0.085,0.044,0.029,0.084,0.031,0.08638521473558326
0.006,0.094,0.02,0.006,0.091,0.012,0.08999793204501359
0.007,0.006,0.011,0.006,0.007,0.009,0.004873395140461136
0.2475,0.3615,0.223,0.325,0.3605,0.164,0.3634013450183817
0.059,0.242,0.117,0.069,0.223,0.102,0.21207632518740568
0.253,0.64,0.245,0.209,0.7255,0.211,0.6322083227751125
0.1365,0.2975,0.205,0.186,0.243,0.2515,0.29876928999982716
0.031,0.006,0.004,0.01,0.006,0.005,0.006059093586725159
0.089,0.312,0.168,0.109,0.2345,0.1395,0.3030816963856867
0.3385,0.38,0.1475,0.3845,0.3645,0.143,0.3830109559557692
0.003,0.039,0.013,0.004,0.029,0.011,0.03081322730055027
0.053,0.121,0.0865,0.037,0.095,0.079,0.12171651513073427
0.001,0.001,0.001,0.001,0.001,0.001,1.4424008495550545e-05
0.019,0.03,0.095,0.02,0.023,0.058,0.028889170705151734
0.8005,0.8495,0.643,0.889,0.8885,0.5885,0.8524826261139294
0.006,0.1035,0.004,0.011,0.08,0.004,0.11253924076173132
0.581,0.249,0.1745,0.829,0.228,0.2195,0.23318830985779493
0.061,0.093,0.058,0.073,0.084,0.062,0.10180308289943633
0.334,0.588,0.374,0.2895,0.561,0.4125,0.5689392887185643
