OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.887,0.101,0.893,0.7125,0.364,0.752,0.08274371734228524
0.3895,0.2885,0.1675,0.4225,0.1335,0.1985,0.28751490808752417
0.4935,0.6085,0.4775,0.4,0.971,0.4895,0.5869842842134587
0.7795,0.457,0.925,0.4585,0.9355,0.448,0.463527320997292
0.3825,0.7985,0.4845,0.234,0.7125,0.3585,0.9911232314749945
0.3025,0.7525,0.2505,0.668,0.5975,0.687,0.9866898331379764
0.3705,0.7335,0.2965,0.6785,0.568,0.8515,0.7630250456654717
0.478,0.832,0.537,0.42,0.664,0.592,0.9296358155140554
0.508,0.62,0.389,0.283,0.714,0.3125,0.6157726710388589
0.473,0.5595,0.457,0.6525,0.6145,0.8415,0.56327514166077
0.2655,0.8165,0.3365,0.7625,0.534,0.7815,0.9098139378630141
0.95,0.0785,0.934,0.449,0.798,0.7335,0.0871404441521906
0.901,0.073,0.943,0.601,0.7305,0.7805,0.04255090010238659
0.398,0.535,0.398,0.6975,0.396,0.606,0.5407890406959505
0.025,0.043,0.008,0.044,0.011,0.003,0.056443994500225234
0.359,0.4745,0.587,0.5935,0.333,0.623,0.49562061838367777
0.888,0.12,0.9645,0.6695,0.605,0.851,0.09741589557214292
0.864,0.415,0.917,0.0995,0.994,0.1215,0.38183072611377333
0.6545,0.3725,0.849,0.6315,0.4355,0.7725,0.3630775550144436
0.3325,0.8305,0.4245,0.3405,0.609,0.6355,0.8493023521159491
0.392,0.7925,0.3975,0.408,0.543,0.726,0.8431936243905882
0.191,0.796,0.216,0.245,0.4635,0.3215,0.8370427014671108
0.4695,0.5555,0.532,0.596,0.734,0.696,0.5087855832907136
0.4425,0.5175,0.637,0.6185,0.7565,0.7425,0.4927187103026959
0.816,0.1455,0.867,0.739,0.785,0.7165,0.1951725607579702
0.486,0.6695,0.701,0.589,0.913,0.422,0.7169834415046434
0.398,0.838,0.4435,0.661,0.59,0.8235,0.9958370275792625
0.672,0.451,0.647,0.255,0.929,0.196,0.5226768818683196
