OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.275,0.453,0.1125,0.028,0.784,0.0465,0.4501615760873693
0.03,0.046,0.0105,0.013,0.033,0.002,0.03136656578270085
0.159,0.165,0.129,0.072,0.19,0.06,0.16341291007262532
0.002,0.02,0.001,0.001,0.041,0.001,0.015590939741493087
0.559,0.5965,0.2935,0.276,0.914,0.158,0.5842071909036783
0.118,0.33,0.11,0.026,0.109,0.0165,0.31700010206969736
0.429,0.396,0.2865,0.151,0.62,0.156,0.36600369711213276
0.027,0.2785,0.016,0.003,0.4555,0.002,0.2513117832063961
0.927,0.394,0.954,0.009,1.0,0.009,0.40415154885491256
0.732,0.2905,0.687,0.071,0.4075,0.094,0.3206329498271872
0.007,0.001,0.001,0.001,0.007,0.001,0.0010472854920725912
0.17,0.269,0.047,0.022,0.2095,0.022,0.292266693953209
0.007,0.004,0.002,0.002,0.003,0.002,0.0003037501784975113
0.008,0.096,0.004,0.003,0.066,0.001,0.09490899391517224
0.106,0.1895,0.035,0.016,0.4445,0.006,0.1605689131457175
0.005,0.0395,0.005,0.002,0.029,0.002,0.03443235005990075
0.2485,0.355,0.029,0.029,0.2935,0.012,0.33571346603409724
0.008,0.007,0.001,0.004,0.004,0.002,0.0035514897976401155
0.147,0.388,0.068,0.03,0.457,0.029,0.3788370432912924
0.106,0.012,0.005,0.038,0.017,0.006,0.0084655472417815
0.39,0.02,0.1755,0.018,0.006,0.002,0.004525206704001414
0.02,0.035,0.004,0.004,0.03,0.003,0.027697840225646662
0.132,0.526,0.1115,0.0775,0.44,0.023,0.5028996148729896
0.001,0.002,0.001,0.001,0.002,0.001,6.463659217947501e-05
0.382,0.4835,0.252,0.091,0.4895,0.117,0.5401319287805282
0.03,0.063,0.004,0.005,0.042,0.004,0.04418554900164901
0.019,0.018,0.006,0.012,0.033,0.004,0.012505167676702157
0.066,0.144,0.045,0.1115,0.11,0.045,0.1914015030691049
0.283,0.6445,0.274,0.245,0.5355,0.219,0.7864435443744631
0.126,0.19,0.042,0.021,0.135,0.002,0.1897970626150874
0.012,0.016,0.004,0.009,0.016,0.001,0.015452311314811793
0.028,0.087,0.003,0.011,0.048,0.002,0.05948213157556471
0.3565,0.7135,0.2385,0.038,0.969,0.032,0.7505446415550663
0.013,0.008,0.001,0.002,0.005,0.001,0.0022639274185896367
0.038,0.365,0.013,0.002,0.3835,0.003,0.32828530116290644
0.3065,0.2565,0.1565,0.222,0.592,0.046,0.2455231411058054
