OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.001,0.011,0.001,0.001,0.002,0.001,0.016441319471111843
0.001,0.019,0.001,0.001,0.004,0.001,0.02911064327058099
0.001,0.043,0.001,0.001,0.002,0.001,0.029546093094255675
0.001,0.051,0.001,0.001,0.004,0.001,0.03738683353046973
0.001,0.026,0.001,0.001,0.001,0.001,0.003838009619593084
0.001,0.022,0.001,0.001,0.001,0.001,0.0029531308873285826
0.001,0.008,0.001,0.001,0.001,0.001,0.0071706461709772785
0.001,0.009,0.001,0.001,0.001,0.001,0.0007572277936995107
0.001,0.085,0.001,0.001,0.009,0.001,0.067764624805288
0.001,0.039,0.001,0.001,0.001,0.001,0.0073152052451390575
0.001,0.025,0.001,0.001,0.001,0.001,0.008009925392723938
0.001,0.072,0.001,0.001,0.001,0.001,0.07347616913399571
0.001,0.067,0.001,0.001,0.046,0.001,0.13220497333547168
0.001,0.009,0.001,0.001,0.001,0.001,0.0015925456534289881
0.001,0.036,0.001,0.001,0.003,0.001,0.02640090599106825
0.001,0.014,0.001,0.001,0.001,0.001,0.0022821558672190337
0.001,0.245,0.001,0.001,1.0,0.001,0.36263725701703986
0.001,0.047,0.001,0.001,0.001,0.001,0.008031139821825089
0.001,0.035,0.001,0.001,0.002,0.001,0.009155182877558215
0.001,0.039,0.001,0.001,0.001,0.001,0.024853555136039797
0.001,0.016,0.001,0.001,0.001,0.001,0.0008748127346292078
0.001,0.005,0.001,0.001,0.001,0.001,0.0003467430390340914
0.001,0.03,0.001,0.001,0.001,0.001,0.011485724660766533
0.001,0.006,0.001,0.001,0.001,0.001,8.02350918187848e-06
0.001,0.2635,0.001,0.001,0.992,0.001,0.31626734324047556
0.001,0.048,0.001,0.001,0.005,0.001,0.05663490064000201
0.001,0.007,0.001,0.001,0.001,0.001,0.003117086964293973
0.002,0.5895,0.001,0.001,1.0,0.001,0.6191731450286355
0.001,0.056,0.001,0.001,0.004,0.001,0.03335101196590982
0.001,0.027,0.001,0.001,0.001,0.001,0.003407212389937916
0.001,0.058,0.001,0.001,0.005,0.001,0.0476802981267884
0.013,0.013,0.013,0.001,0.013,0.001,0.002486309528593504
0.001,0.304,0.001,0.001,0.993,0.001,0.33402043990769925
0.001,0.034,0.001,0.001,0.002,0.001,0.025206402736757966
0.972,0.185,0.972,0.001,1.0,0.001,0.2802073625280688
0.001,0.017,0.001,0.001,0.001,0.001,0.0027837489378862265
0.001,0.04,0.001,0.001,0.002,0.001,0.012641759963338694
0.001,0.001,0.001,0.001,0.001,0.001,1.0232055854712514e-05
0.001,0.034,0.001,0.001,0.001,0.001,0.012235522800589023
0.001,0.029,0.001,0.001,0.007,0.001,0.035069975839001725
0.001,0.048,0.001,0.001,0.001,0.001,0.008047950879520104
0.009,0.013,0.002,0.001,0.007,0.001,0.003448256677272273
0.001,0.031,0.001,0.001,0.002,0.001,0.014354529981026622
0.001,0.01,0.001,0.001,0.001,0.001,0.00044821924570105404
0.001,0.366,0.001,0.001,0.997,0.001,0.41057916807130357
0.001,0.021,0.001,0.001,0.006,0.001,0.02473935114381089
0.001,0.07,0.001,0.001,0.004,0.001,0.030877779967113255
0.001,0.01,0.001,0.001,0.001,0.001,0.0006892483172051454
0.001,0.014,0.001,0.001,0.001,0.001,0.0032885978906718764
0.001,0.058,0.001,0.001,0.01,0.001,0.09495408508701933
0.001,0.015,0.001,0.001,0.001,0.001,0.005265874691906693
0.001,0.083,0.001,0.001,0.013,0.001,0.09715127840066588
0.001,0.009,0.001,0.001,0.002,0.001,0.004131133809040503
0.001,0.024,0.001,0.001,0.001,0.001,0.0033930442540744407
0.001,0.042,0.001,0.001,0.004,0.001,0.023290418288381454
0.001,0.001,0.001,0.001,0.001,0.001,4.500346099695404e-05
0.001,0.0355,0.001,0.001,0.001,0.001,0.00727820873099609
0.004,0.009,0.001,0.001,0.001,0.001,1.1295456700578867e-05
0.001,0.062,0.001,0.001,0.004,0.001,0.051895107156739964
0.001,0.5235,0.001,0.001,1.0,0.001,0.6113143576273248
0.001,0.013,0.001,0.001,0.003,0.001,0.011802603662726925
0.001,0.019,0.001,0.001,0.001,0.001,0.0030583727516681597
0.001,0.017,0.001,0.001,0.001,0.001,0.006830365697871922
0.001,0.034,0.001,0.001,0.001,0.001,0.011539803570327188
0.001,0.011,0.001,0.001,0.002,0.001,0.0013911603088712172
0.001,0.049,0.001,0.001,0.001,0.001,0.02667058819358897
0.001,0.037,0.001,0.001,0.001,0.001,0.007734300333253942
0.001,0.118,0.001,0.001,0.006,0.001,0.07302010143622482
0.001,0.002,0.001,0.001,0.001,0.001,0.0007091557964430666
0.001,0.001,0.001,0.001,0.001,0.001,5.986893214083609e-05
0.001,0.02,0.001,0.001,0.003,0.001,0.024740020669984222
0.001,0.009,0.001,0.001,0.001,0.001,0.0022391469652641087
