OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.016,0.003,0.002,0.016,0.003,0.003,0.0030033684500146898
0.6085,0.5205,0.508,0.606,0.486,0.4965,0.5135473465855842
0.014,0.003,0.007,0.016,0.003,0.008,0.0002808605645810013
0.004,0.004,0.006,0.006,0.003,0.005,0.0018868251863656098
0.004,0.002,0.003,0.004,0.002,0.003,0.0004001132020367817
0.1085,0.116,0.0815,0.086,0.124,0.065,0.10196511629380987
0.073,0.03,0.029,0.072,0.029,0.035,0.023944119467616973
0.296,0.1805,0.179,0.3085,0.187,0.2045,0.14719891267678947
0.038,0.018,0.024,0.046,0.021,0.03,0.010978192303821178
0.1855,0.295,0.27,0.249,0.2705,0.25,0.2741327936778631
0.008,0.002,0.002,0.006,0.004,0.002,0.0009583158418537479
0.066,0.068,0.057,0.066,0.072,0.06,0.054670347953387724
0.7645,0.153,0.2585,0.67,0.163,0.297,0.13666168877855694
0.012,0.015,0.016,0.012,0.019,0.016,0.008296484629655931
0.024,0.012,0.013,0.026,0.012,0.012,0.00779689595981687
0.0605,0.054,0.058,0.066,0.051,0.063,0.031785937372037144
0.4435,0.2255,0.257,0.408,0.2185,0.2695,0.1970988857840319
0.357,0.2555,0.281,0.376,0.25,0.2815,0.22070806474343374
0.01,0.012,0.011,0.009,0.013,0.01,0.006327066629151077
0.044,0.004,0.005,0.065,0.004,0.007,0.0007767630469293921
0.027,0.0705,0.044,0.033,0.08,0.044,0.05681585008683799
0.097,0.041,0.036,0.127,0.039,0.044,0.028342026596617432
0.6475,0.4715,0.489,0.6765,0.439,0.538,0.41689183970787735
0.001,0.001,0.001,0.001,0.001,0.001,1.524396640698895e-05
0.008,0.001,0.001,0.012,0.001,0.002,7.403666947990582e-05
0.084,0.021,0.032,0.107,0.02,0.037,0.015294927245382752
0.006,0.001,0.002,0.013,0.001,0.003,1.0670257247489392e-06
0.002,0.002,0.002,0.002,0.002,0.002,0.0002330038288526817
0.01,0.041,0.025,0.009,0.048,0.0165,0.03355422191942
0.049,0.0205,0.021,0.0605,0.019,0.02,0.012160826184819649
0.086,0.052,0.039,0.117,0.049,0.037,0.03765443854550412
0.5685,0.333,0.288,0.61,0.296,0.3075,0.27857888560476357
0.025,0.089,0.044,0.018,0.11,0.03,0.06937600699159464
0.321,0.1515,0.16,0.283,0.126,0.197,0.1328935212879081
0.059,0.032,0.029,0.057,0.034,0.025,0.024589689831726273
0.046,0.005,0.013,0.039,0.005,0.017,0.001786478917107708
0.6105,0.8455,0.766,0.504,0.8785,0.657,0.899191907034833
0.017,0.005,0.006,0.019,0.003,0.008,0.0025622342878015435
0.097,0.063,0.071,0.102,0.057,0.067,0.046305041777221986
0.018,0.003,0.002,0.023,0.003,0.002,0.0015313087612188068
0.177,0.05,0.101,0.2315,0.049,0.119,0.03727234552194991
0.099,0.018,0.018,0.233,0.015,0.023,0.0117077230656882
0.5285,0.569,0.533,0.538,0.6075,0.506,0.5256263179634794
0.011,0.005,0.006,0.011,0.005,0.008,0.0013845591612491462
0.011,0.008,0.003,0.009,0.012,0.005,0.007400679196275413
0.728,0.576,0.5205,0.7855,0.5235,0.5605,0.5639363392005566
0.002,0.001,0.001,0.002,0.001,0.001,0.00010460193785510389
0.2965,0.021,0.042,0.2995,0.029,0.058,0.02019753115108828
0.2765,0.084,0.094,0.2805,0.082,0.092,0.06877350314875952
0.265,0.3395,0.322,0.2215,0.336,0.3185,0.3024554316231472
0.3855,0.527,0.5615,0.521,0.4755,0.5895,0.5341591158535681
0.119,0.215,0.217,0.1305,0.2025,0.204,0.18559156746871994
0.089,0.049,0.044,0.093,0.052,0.067,0.030398610202748907
0.591,0.491,0.4455,0.5465,0.499,0.412,0.49435375861049846
0.054,0.024,0.026,0.069,0.022,0.032,0.024999721125298708
0.109,0.044,0.076,0.18,0.04,0.104,0.03802058814302303
0.02,0.005,0.0095,0.032,0.005,0.013,0.0032592458358957394
0.047,0.013,0.012,0.082,0.012,0.013,0.007121869386281933
0.027,0.025,0.013,0.038,0.029,0.014,0.013881559692683612
0.001,0.001,0.001,0.001,0.001,0.001,0.00024822528845121536
0.299,0.081,0.1195,0.296,0.081,0.146,0.06795944093763173
0.013,0.006,0.007,0.02,0.006,0.006,0.004728431922090391
0.287,0.022,0.058,0.2805,0.026,0.092,0.015832084814079012
0.007,0.028,0.014,0.007,0.025,0.008,0.01972143911179745
0.033,0.024,0.016,0.029,0.024,0.02,0.0195051640470437
0.0885,0.029,0.039,0.102,0.026,0.044,0.020383591609111754
0.28,0.053,0.12,0.258,0.067,0.161,0.043502184085108545
0.423,0.169,0.171,0.373,0.164,0.205,0.13764000788887282
0.2505,0.08,0.089,0.194,0.081,0.0985,0.05726376023370481
0.037,0.031,0.039,0.038,0.032,0.04,0.019039437821834034
0.334,0.04,0.1045,0.247,0.047,0.13,0.031051827144631176
0.002,0.002,0.002,0.002,0.002,0.002,0.00017253113041376984
0.004,0.006,0.002,0.003,0.006,0.001,0.0029344263463506035
0.001,0.005,0.004,0.002,0.006,0.004,0.0012542116979993533
0.011,0.003,0.003,0.011,0.003,0.003,0.00012263007620494194
0.012,0.018,0.018,0.014,0.015,0.016,0.008819423175191327
0.3695,0.126,0.162,0.3715,0.146,0.161,0.11834803868989903
0.5455,0.511,0.4215,0.611,0.45,0.462,0.4768667026212182
0.883,0.349,0.656,0.7825,0.446,0.7125,0.2882675698618944
0.043,0.118,0.063,0.0375,0.176,0.052,0.11423653985701
0.001,0.001,0.001,0.001,0.001,0.001,0.0002887483586911902
0.09,0.1265,0.099,0.11,0.119,0.096,0.10471498025942866
0.2955,0.423,0.2395,0.436,0.537,0.202,0.3591941647021766
0.165,0.278,0.243,0.164,0.257,0.2565,0.24977844467939964
0.056,0.012,0.016,0.072,0.013,0.02,0.005262521403468918
0.01,0.002,0.003,0.018,0.002,0.003,0.0008723041795210446
0.011,0.006,0.007,0.009,0.015,0.005,0.006133562869352497
0.03,0.015,0.012,0.053,0.014,0.015,0.01648651334000509
0.232,0.131,0.115,0.227,0.142,0.1145,0.11282548305666354
0.012,0.002,0.003,0.013,0.002,0.004,0.0011026971242891306
0.302,0.322,0.288,0.3055,0.322,0.279,0.3310102330967696
0.124,0.086,0.086,0.123,0.094,0.0895,0.06761042593201431
0.03,0.001,0.001,0.049,0.001,0.007,0.000777791157119757
0.022,0.01,0.01,0.022,0.011,0.01,0.006920483281353596
0.014,0.01,0.007,0.017,0.01,0.009,0.005088023821943708
0.06,0.063,0.074,0.073,0.061,0.074,0.048096682715575254
0.133,0.054,0.058,0.109,0.066,0.059,0.04176264970719127
