OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.011,0.006,0.002,0.012,0.005,0.004,0.0024511980632991497
0.003,0.019,0.011,0.003,0.0145,0.008,0.01202019915087731
0.005,0.001,0.001,0.006,0.001,0.003,4.2024785969199476e-05
0.045,0.041,0.036,0.046,0.043,0.039,0.03170071587467957
0.029,0.008,0.006,0.016,0.008,0.009,0.0047546488116746565
0.003,0.218,0.002,0.002,0.137,0.002,0.29623174007976283
0.01,0.061,0.006,0.008,0.052,0.006,0.04535756405798821
0.001,0.0235,0.004,0.002,0.02,0.002,0.022688494518960173
0.001,0.001,0.001,0.001,0.001,0.001,1.629395531447737e-05
0.019,0.0405,0.031,0.012,0.045,0.021,0.043229088054289634
0.98,0.62,0.995,0.059,1.0,0.041,0.6503639726054086
0.014,0.01,0.008,0.015,0.009,0.006,0.007410093350032679
0.001,0.001,0.001,0.001,0.001,0.001,0.0002531097663104679
0.002,0.001,0.001,0.002,0.001,0.001,0.00013317339963378057
0.001,0.002,0.001,0.001,0.002,0.001,0.0010338614674357555
0.246,0.27,0.162,0.3365,0.22,0.176,0.28569714984563166
0.005,0.128,0.0185,0.006,0.091,0.01,0.19948917431405433
0.056,0.148,0.097,0.037,0.188,0.075,0.1381267891596506
0.001,0.001,0.001,0.001,0.001,0.001,7.140611746807662e-06
0.034,0.011,0.013,0.031,0.0105,0.014,0.009774430458087876
0.59,0.9275,0.7175,0.029,0.99,0.088,0.9706191010781116
0.001,0.001,0.001,0.001,0.001,0.001,5.554050101470545e-06
0.002,0.097,0.005,0.001,0.109,0.002,0.1016370436858662
0.001,0.005,0.001,0.001,0.002,0.001,0.0033746702707536736
0.1295,0.3535,0.211,0.1495,0.3455,0.1965,0.35259765132541065
0.001,0.001,0.001,0.001,0.001,0.001,1.0182935341025037e-05
0.003,0.006,0.005,0.003,0.006,0.004,0.0024838577653398465
0.004,0.004,0.002,0.004,0.004,0.002,0.0015510216625459145
0.001,0.001,0.001,0.001,0.001,0.001,5.92226121335517e-06
0.044,0.189,0.091,0.0935,0.1205,0.079,0.2500395611119719
0.002,0.009,0.002,0.002,0.009,0.001,0.006896579259837609
0.001,0.001,0.001,0.001,0.001,0.001,5.104040040355608e-06
0.008,0.011,0.012,0.009,0.011,0.008,0.005874278376173112
0.005,0.2185,0.009,0.002,0.7435,0.005,0.2333104855709412
0.001,0.001,0.001,0.001,0.001,0.001,3.478100723228049e-05
0.026,0.034,0.037,0.019,0.036,0.034,0.027536970270070515
0.003,0.006,0.001,0.003,0.006,0.002,3.4166699416002346e-05
0.001,0.024,0.001,0.002,0.007,0.003,0.014411746051996278
0.008,0.248,0.012,0.004,0.193,0.006,0.2543084234700236
0.001,0.001,0.001,0.001,0.001,0.001,8.980878453282943e-06
0.001,0.001,0.001,0.001,0.001,0.001,5.991936840070771e-05
0.002,0.3175,0.009,0.001,0.1685,0.004,0.31464163367172004
0.112,0.002,0.003,0.111,0.002,0.003,0.0007302190986166997
0.975,0.2165,0.988,0.039,1.0,0.073,0.25420096160259104
0.001,0.002,0.001,0.001,0.002,0.001,5.669067064891981e-05
0.001,0.001,0.001,0.002,0.001,0.001,4.9124460431954945e-05
0.002,0.001,0.001,0.001,0.001,0.001,0.0004441772261550207
0.002,0.003,0.001,0.001,0.004,0.001,0.0013854577395588212
0.385,0.7825,0.3355,0.8355,0.6755,0.399,0.7792879327521074
0.041,0.135,0.074,0.044,0.0885,0.077,0.12764596225370545
0.001,0.028,0.006,0.001,0.023,0.003,0.02145590627942026
0.003,0.019,0.01,0.003,0.016,0.007,0.009641916872193118
0.027,0.049,0.01,0.0435,0.029,0.008,0.041059726352767764
0.001,0.011,0.001,0.001,0.006,0.001,0.0008750280041264617
0.001,0.023,0.002,0.001,0.016,0.001,0.029401401050803695
0.002,0.001,0.001,0.001,0.001,0.001,0.0002088740616989611
0.004,0.043,0.002,0.002,0.031,0.002,0.04301187503609874
0.005,0.002,0.002,0.005,0.002,0.002,0.0002117948015890607
0.001,0.029,0.001,0.001,0.012,0.001,0.02088086746957311
0.002,0.099,0.003,0.003,0.069,0.001,0.13876868620113358
0.001,0.018,0.001,0.001,0.01,0.001,0.011200521835711276
0.086,0.412,0.118,0.005,0.999,0.021,0.41974983895114626
0.002,0.092,0.002,0.001,0.032,0.002,0.10099058388482653
0.001,0.001,0.001,0.001,0.001,0.001,0.00023096704287270983
0.001,0.002,0.001,0.001,0.002,0.001,0.0002970866574710896
0.001,0.009,0.002,0.001,0.007,0.002,0.00747050695253108
0.001,0.001,0.001,0.003,0.001,0.001,0.00013755350656051958
0.187,0.032,0.082,0.05,0.037,0.036,0.014725787011783167
0.025,0.021,0.003,0.015,0.015,0.004,0.011789470841220317
0.018,0.031,0.001,0.001,0.003,0.001,0.023733352987130526
0.003,0.015,0.005,0.004,0.009,0.003,0.01986096464845718
0.285,0.631,0.2865,0.184,0.8815,0.222,0.6615382952589758
0.001,0.001,0.001,0.001,0.001,0.001,6.041080135845286e-05
0.001,0.006,0.002,0.001,0.005,0.001,6.0741796550186786e-06
0.054,0.049,0.104,0.072,0.047,0.066,0.04828088286142241
0.002,0.019,0.004,0.001,0.025,0.002,0.013438833530204218
0.015,0.007,0.008,0.021,0.007,0.01,0.005815828018984589
0.004,0.001,0.001,0.004,0.001,0.001,0.0001506912085161306
0.023,0.091,0.012,0.017,0.053,0.011,0.08199116743067725
0.001,0.009,0.001,0.001,0.009,0.001,0.0034583157839889727
0.001,0.001,0.001,0.001,0.001,0.001,4.013213183524024e-06
0.001,0.006,0.001,0.001,0.005,0.001,0.0027277092238808657
0.032,0.02,0.014,0.032,0.02,0.013,0.014160808450754712
0.01,0.003,0.012,0.009,0.003,0.013,0.0018766977584283198
0.001,0.004,0.001,0.001,0.003,0.001,0.0006050125477566216
0.003,0.009,0.003,0.002,0.008,0.003,0.002326133925227841
0.001,0.001,0.001,0.002,0.001,0.001,0.0001440598421831784
0.001,0.007,0.001,0.001,0.002,0.001,0.0013014633118426224
0.004,0.003,0.001,0.003,0.003,0.001,0.0016666812943878506
0.001,0.001,0.001,0.001,0.001,0.001,4.087661298497707e-06
0.002,0.012,0.003,0.002,0.011,0.002,0.00789895008225002
0.763,0.683,0.8445,0.3735,0.855,0.59,0.7713488546496384
0.001,0.001,0.001,0.001,0.001,0.001,0.00014454710684927985
0.001,0.001,0.001,0.001,0.001,0.001,0.000497957760267336
0.111,0.089,0.083,0.132,0.08,0.08,0.0982175391690929
0.012,0.006,0.004,0.019,0.005,0.004,0.0018506810944138427
0.001,0.002,0.002,0.002,0.002,0.002,0.0009800589238903974
0.004,0.058,0.014,0.003,0.059,0.007,0.05584710633281264
0.001,0.017,0.008,0.001,0.018,0.002,0.012714760974235018
0.058,0.065,0.035,0.062,0.062,0.026,0.05657617875246396
0.02,0.028,0.021,0.029,0.022,0.021,0.01790678933801765
0.001,0.001,0.001,0.001,0.002,0.001,0.0006715288986891542
0.005,0.022,0.014,0.006,0.016,0.014,0.01704808129930329
0.001,0.001,0.001,0.001,0.001,0.001,7.365877780386077e-06
0.013,0.018,0.012,0.014,0.017,0.012,0.012792938710808886
0.001,0.001,0.001,0.001,0.001,0.001,6.988484328666695e-05
0.014,0.004,0.005,0.019,0.005,0.005,0.0023557874953963644
0.001,0.012,0.001,0.002,0.004,0.001,0.0007773676824038006
0.057,0.2615,0.151,0.029,0.317,0.093,0.23817540077374466
0.114,0.007,0.007,0.1715,0.007,0.007,0.0038892102124805203
0.012,0.076,0.009,0.011,0.09,0.006,0.08473305313366887
0.005,0.001,0.001,0.005,0.001,0.001,7.588152567253656e-05
0.005,0.002,0.001,0.005,0.002,0.001,0.0012900287906276744
0.003,0.033,0.014,0.003,0.032,0.008,0.01997239775489174
0.001,0.042,0.003,0.002,0.023,0.002,0.02704111511884224
0.001,0.001,0.001,0.001,0.001,0.001,9.173095899241991e-06
0.016,0.013,0.011,0.019,0.013,0.01,0.006981200249503681
0.002,0.014,0.003,0.002,0.016,0.001,0.010942626758105804
0.075,0.059,0.009,0.097,0.0355,0.0135,0.05705649099668918
0.001,0.03,0.001,0.001,0.006,0.001,0.02062453971469724
0.001,0.0335,0.001,0.001,0.015,0.001,0.02009128708922636
0.002,0.055,0.006,0.001,0.025,0.001,0.05440567039363229
0.0025,0.008,0.003,0.0035,0.006,0.003,0.007030740430800725
0.003,0.039,0.004,0.001,0.032,0.003,0.029565095853326145
0.087,0.021,0.008,0.117,0.019,0.009,0.024184593437578505
0.004,0.005,0.001,0.003,0.003,0.002,0.00533514829797247
0.001,0.001,0.001,0.002,0.001,0.001,8.467138112285618e-05
0.001,0.007,0.001,0.001,0.004,0.001,0.00028763874196350555
0.002,0.005,0.002,0.002,0.005,0.002,0.0026377372709343078
0.001,0.001,0.001,0.001,0.001,0.001,8.056145861832678e-08
0.111,0.005,0.009,0.029,0.007,0.008,0.004079244902332109
0.002,0.021,0.004,0.003,0.014,0.002,0.022374377749886584
0.001,0.001,0.001,0.001,0.001,0.001,0.0006863183631141602
0.034,0.024,0.017,0.041,0.025,0.013,0.021612716224576032
0.001,0.001,0.001,0.001,0.001,0.001,2.398965671215542e-05
0.001,0.011,0.002,0.001,0.009,0.001,0.008598328424492332
0.004,0.026,0.001,0.001,0.02,0.001,0.022858094148744502
0.001,0.002,0.001,0.001,0.002,0.001,0.00014068203806658148
0.002,0.001,0.001,0.001,0.001,0.001,2.761781577138958e-05
0.0535,0.04,0.032,0.0565,0.036,0.034,0.0340522083135091
0.148,0.172,0.119,0.186,0.162,0.128,0.16744624792081442
0.001,0.001,0.001,0.001,0.001,0.001,2.5893985582336153e-05
0.001,0.001,0.001,0.001,0.001,0.001,0.0003797592894621652
0.021,0.0795,0.007,0.034,0.051,0.017,0.06667017842165117
0.004,0.06,0.005,0.003,0.061,0.004,0.05374170562120092
0.001,0.002,0.001,0.001,0.001,0.001,0.0030525461499491297
0.001,0.002,0.001,0.001,0.002,0.001,0.0022028650914352275
0.001,0.002,0.001,0.001,0.002,0.001,0.00011725784338101344
0.002,0.019,0.004,0.005,0.013,0.004,0.012742856622131439
0.001,0.0345,0.001,0.001,0.008,0.001,0.02255458236259404
0.001,0.006,0.001,0.001,0.002,0.001,0.0006442973822125556
0.01,0.181,0.007,0.008,0.238,0.006,0.17449641216324946
0.001,0.001,0.001,0.001,0.001,0.001,0.00023049816449957557
0.031,0.0955,0.043,0.01,0.17,0.025,0.07612528122813154
0.002,0.005,0.001,0.002,0.004,0.001,0.00376385286349262
0.003,0.004,0.001,0.001,0.003,0.001,0.003322032475262455
0.008,0.078,0.03,0.008,0.067,0.024,0.07618336868524285
0.001,0.001,0.001,0.002,0.001,0.002,0.00031721492046194437
0.001,0.001,0.001,0.001,0.001,0.001,0.00028936415048311345
0.062,0.032,0.042,0.0645,0.032,0.043,0.021643277806832898
0.005,0.005,0.001,0.009,0.004,0.002,0.003283402492914594
0.001,0.001,0.001,0.001,0.001,0.001,5.213940986214613e-06
0.001,0.009,0.001,0.001,0.005,0.001,0.0011580506876176593
0.006,0.001,0.001,0.001,0.001,0.001,8.530832093278246e-05
0.001,0.001,0.001,0.001,0.001,0.001,1.2182861161133716e-06
0.017,0.002,0.001,0.007,0.002,0.003,0.0013725214075045362
0.035,0.032,0.017,0.045,0.0265,0.017,0.00983491341956848
0.004,0.002,0.002,0.008,0.003,0.002,0.0008263651410574561
0.001,0.007,0.001,0.001,0.004,0.001,0.002751831781140864
0.001,0.002,0.001,0.001,0.002,0.001,0.000961223032047229
0.001,0.001,0.001,0.001,0.001,0.001,1.4611717049443647e-05
0.42,0.917,0.565,0.258,0.986,0.219,0.9265039928038702
0.001,0.013,0.002,0.001,0.013,0.001,0.008322990363178911
0.0965,0.7155,0.124,0.062,0.925,0.056,0.7589692140031098
0.001,0.002,0.001,0.001,0.002,0.001,0.0010043925419292888
0.002,0.004,0.001,0.002,0.004,0.001,0.0020630293589795905
0.012,0.025,0.009,0.009,0.027,0.006,0.008104048658797271
0.001,0.001,0.001,0.001,0.001,0.001,0.0003795853190751234
0.001,0.002,0.001,0.001,0.001,0.001,0.004868979829200591
0.005,0.028,0.002,0.005,0.018,0.003,0.0063629822491387085
0.001,0.001,0.001,0.001,0.001,0.001,0.0005244795438538348
0.001,0.02,0.002,0.001,0.014,0.002,0.010549767637594633
