OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.445,0.1835,0.038,0.192,0.162,0.035,0.1663624946142191
0.011,0.006,0.004,0.003,0.011,0.003,0.007262128608652856
0.304,0.153,0.043,0.1785,0.141,0.043,0.11850949701175022
0.817,0.027,0.042,0.116,0.036,0.021,0.023199558480761624
0.1935,0.3225,0.093,0.102,0.3005,0.056,0.30091176879522397
0.0875,0.038,0.011,0.024,0.039,0.016,0.03388038528830359
0.191,0.1775,0.011,0.107,0.117,0.007,0.17673994676350774
0.043,0.008,0.001,0.001,0.009,0.001,0.005663430503730218
0.02,0.068,0.004,0.009,0.091,0.003,0.059616173498941126
0.5145,0.862,0.4995,0.003,1.0,0.003,0.9544360437162128
0.047,0.1495,0.01,0.002,0.072,0.002,0.12232934592437145
0.004,0.008,0.003,0.002,0.006,0.002,0.007492381472750891
0.2005,0.4345,0.1735,0.129,0.458,0.085,0.44047023190355583
0.1155,0.037,0.015,0.009,0.031,0.009,0.033177056969702697
0.018,0.024,0.004,0.003,0.025,0.001,0.020254175127645185
0.278,0.53,0.098,0.058,0.817,0.016,0.5463625021981748
0.001,0.001,0.001,0.001,0.001,0.001,7.254315308748587e-05
0.7695,0.1635,0.976,0.032,1.0,0.01,0.14334185831776258
0.001,0.001,0.001,0.001,0.001,0.001,8.158203728735312e-06
0.043,0.002,0.001,0.015,0.001,0.001,0.000853471062713368
0.068,0.3255,0.02,0.009,0.2905,0.004,0.34355170636617793
0.042,0.227,0.02,0.009,0.242,0.003,0.22238472962533812
0.117,0.211,0.016,0.059,0.1355,0.009,0.212195383530189
0.005,0.002,0.001,0.001,0.002,0.001,0.0016402338105904947
0.001,0.001,0.001,0.001,0.001,0.001,7.226249758343101e-05
0.6785,0.191,0.0605,0.1,0.2415,0.022,0.16470793579936616
0.012,0.005,0.002,0.101,0.005,0.002,0.0023502467380554816
0.161,0.0895,0.009,0.021,0.254,0.001,0.07232534663030678
0.5755,0.017,0.1085,0.053,0.023,0.009,0.019239939720860463
0.344,0.086,0.0735,0.012,0.08,0.005,0.06990341268475403
0.006,0.082,0.002,0.006,0.0805,0.001,0.07445789335386231
0.055,0.124,0.002,0.038,0.0545,0.003,0.10618779209671503
0.3475,0.4005,0.069,0.052,0.709,0.019,0.3927013238250311
0.269,0.2995,0.101,0.198,0.274,0.0575,0.2782383982184886
0.2975,0.563,0.125,0.4315,0.4705,0.124,0.5908360798469356
0.179,0.4885,0.047,0.041,0.56,0.009,0.4681724117294346
0.002,0.001,0.001,0.001,0.001,0.001,5.080493072040885e-06
0.025,0.019,0.003,0.002,0.01,0.002,0.014793747199071493
0.664,0.3615,0.1915,0.279,0.882,0.09,0.33623879238570786
0.6485,0.8475,0.757,0.026,0.997,0.064,0.9237365330725051
0.031,0.1645,0.009,0.006,0.0855,0.004,0.14150553047278078
0.117,0.435,0.07,0.006,0.8485,0.002,0.43258058435540025
0.253,0.237,0.046,0.02,0.262,0.016,0.25198646306402167
0.01,0.041,0.006,0.002,0.078,0.002,0.030879208102842386
0.3355,0.1435,0.06,0.053,0.1315,0.032,0.13388266273704033
0.003,0.004,0.001,0.002,0.003,0.001,0.0010972753454622677
0.102,0.075,0.017,0.026,0.064,0.012,0.06607426831227987
0.6505,0.7605,0.3125,0.5875,0.974,0.193,0.7680494483955572
0.002,0.001,0.001,0.001,0.001,0.001,0.0003136495967154254
0.002,0.276,0.003,0.001,0.118,0.001,0.2529494275323863
0.2525,0.0805,0.097,0.015,0.071,0.0265,0.07954065205746089
0.201,0.3335,0.035,0.035,0.3235,0.015,0.3338671605639367
0.965,0.221,0.982,0.2505,1.0,0.025,0.2160899518248279
0.1935,0.677,0.1835,0.015,0.8395,0.037,0.6866684746105223
0.0965,0.4745,0.022,0.002,0.829,0.002,0.4591833464448798
0.021,0.0515,0.019,0.01,0.0565,0.007,0.03724063078968148
0.039,0.0335,0.003,0.007,0.026,0.001,0.02862007830020167
0.2735,0.212,0.048,0.1535,0.2095,0.029,0.20044736051892148
0.097,0.0605,0.003,0.028,0.041,0.004,0.037670110876003145
0.22,0.3725,0.099,0.14,0.4635,0.022,0.3415831642850373
0.015,0.006,0.002,0.001,0.005,0.001,0.004975500366576962
0.06,0.2615,0.014,0.026,0.248,0.004,0.23129091003175203
0.191,0.666,0.125,0.038,0.8595,0.011,0.6622579753426534
0.5165,0.798,0.363,0.788,0.739,0.4825,0.8348200601331649
0.074,0.162,0.016,0.027,0.193,0.007,0.13944945288715224
0.6935,0.7965,0.4875,0.627,0.9375,0.343,0.8206192504641635
0.031,0.071,0.007,0.006,0.042,0.003,0.060479795310102266
0.439,0.7995,0.4495,0.1815,0.945,0.105,0.826615165125354
0.069,0.0975,0.025,0.028,0.097,0.016,0.08959700779578765
0.127,0.242,0.026,0.04,0.301,0.01,0.23284554870769242
0.017,0.012,0.001,0.007,0.011,0.001,0.006246946196050756
0.068,0.016,0.006,0.008,0.032,0.004,0.018221503008487606
0.121,0.026,0.006,0.079,0.031,0.006,0.01864574293276827
0.222,0.4305,0.105,0.086,0.847,0.031,0.42548838922476384
0.1065,0.6005,0.095,0.003,0.9605,0.003,0.558165750797707
0.122,0.026,0.021,0.1855,0.022,0.011,0.02487607503742706
0.1615,0.035,0.017,0.026,0.058,0.006,0.043159740865569125
0.015,0.156,0.008,0.003,0.1155,0.001,0.1329739981643176
0.077,0.1015,0.022,0.034,0.077,0.012,0.08820532155205199
0.6115,0.5645,0.2325,0.7045,0.529,0.196,0.5566839536714014
0.003,0.001,0.001,0.001,0.001,0.001,6.301914291064538e-05
0.5985,0.4345,0.144,0.743,0.4755,0.163,0.42799461903004643
0.004,0.009,0.002,0.003,0.009,0.002,0.007209212545817052
0.001,0.016,0.001,0.001,0.0175,0.001,0.011475440401917539
0.097,0.028,0.03,0.0745,0.037,0.014,0.018984835865122354
0.035,0.004,0.005,0.013,0.005,0.005,0.0012722135269824188
0.143,0.014,0.002,0.01,0.009,0.002,0.010580755713446872
0.174,0.092,0.015,0.067,0.039,0.008,0.07262238387376299
