OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.01,0.049,0.025,0.004,0.036,0.006,0.17399009784806946
0.008,0.2495,0.009,0.001,0.0845,0.001,0.6005298501761587
0.5295,0.145,0.048,0.002,0.05,0.005,0.8370204460368812
0.003,0.2325,0.003,0.001,0.0735,0.001,0.6104202281417938
0.006,0.033,0.003,0.001,0.013,0.001,0.08012141478237511
0.015,0.008,0.031,0.001,0.004,0.001,0.0002575904541952094
0.001,0.164,0.001,0.001,0.031,0.001,0.49806322016028515
0.008,0.1625,0.012,0.001,0.025,0.001,0.48310373616998614
0.015,0.0495,0.005,0.001,0.037,0.002,0.23956634312558522
0.005,0.099,0.011,0.001,0.018,0.002,0.5132507267590203
0.003,0.016,0.009,0.001,0.014,0.002,1.3182962300347622e-05
0.011,0.0345,0.024,0.003,0.028,0.004,0.07722113935366383
0.002,0.2095,0.002,0.001,0.03,0.001,0.4099312422407395
0.0355,0.021,0.025,0.019,0.02,0.021,0.0075250282793989836
0.003,0.0605,0.005,0.001,0.007,0.001,0.30799963291069704
0.001,0.038,0.001,0.001,0.007,0.001,0.07345326237395401
0.003,0.0485,0.005,0.005,0.0305,0.004,0.2921974622042956
0.3345,0.107,0.013,0.001,0.019,0.001,0.6583369297215693
0.038,0.1145,0.032,0.001,0.0505,0.001,0.808988634302024
0.022,0.0315,0.024,0.023,0.025,0.023,0.15932959763533072
0.0725,0.594,0.071,0.04,0.215,0.04,0.9424553672943817
0.001,0.023,0.001,0.001,0.004,0.001,0.0074406153473264855
0.063,0.0565,0.053,0.044,0.047,0.044,0.5772931388395675
0.841,0.4565,0.866,0.001,0.997,0.001,0.8610153827020545
0.3065,0.665,0.0845,0.001,0.5075,0.001,0.9627031754304838
0.001,0.051,0.001,0.001,0.009,0.001,0.03476539509924046
0.989,0.001,0.99,0.001,0.001,0.001,1.9819372008992112e-19
0.001,0.004,0.001,0.001,0.002,0.001,0.0002879465862186453
0.001,0.048,0.002,0.001,0.013,0.001,0.05740655803154207
0.0855,0.1625,0.036,0.001,0.0655,0.004,0.6122645078586146
0.0685,0.7285,0.069,0.001,0.9235,0.001,0.9658995280648542
0.026,0.0825,0.048,0.035,0.0655,0.0355,0.6063504231944186
0.001,0.0775,0.001,0.001,0.012,0.001,0.4311782474780168
0.022,0.035,0.015,0.001,0.0185,0.001,0.09095027932218963
0.925,0.026,0.087,0.045,0.9785,0.051,0.27833385351262113
0.5165,0.815,0.629,0.001,0.995,0.001,0.959999574869143
0.026,0.1505,0.038,0.001,0.0455,0.001,0.6723842739661856
0.005,0.1045,0.004,0.001,0.032,0.001,0.43064585313295556
0.021,0.094,0.004,0.001,0.019,0.001,0.41454031936010427
0.003,0.0555,0.002,0.001,0.026,0.001,0.07826897780114166
0.001,0.126,0.003,0.001,0.025,0.001,0.21875364029910685
