OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.004,0.027,0.005,0.002,0.023,0.002,0.012340031879960455
0.026,0.011,0.015,0.014,0.012,0.011,0.0005067505361026118
0.07,0.089,0.018,0.022,0.065,0.015,0.08709009370890182
0.003,0.023,0.003,0.001,0.008,0.001,0.0021682519463196164
0.0605,0.0855,0.019,0.009,0.1365,0.008,0.08892802192623549
0.014,0.118,0.017,0.006,0.103,0.007,0.09879058047671647
0.002,0.027,0.007,0.001,0.031,0.002,0.0012008845494202028
0.176,0.2465,0.078,0.1305,0.6905,0.033,0.3249026470587978
0.057,0.012,0.018,0.02,0.015,0.017,6.415821909079063e-05
0.064,0.178,0.088,0.008,0.191,0.023,0.4694272020862381
0.007,0.023,0.006,0.002,0.02,0.002,0.003995135349182935
0.076,0.0655,0.055,0.0615,0.0675,0.054,0.2259223096785313
0.07,0.008,0.007,0.011,0.01,0.006,0.0011981619577276538
0.044,0.282,0.071,0.012,0.595,0.015,0.40068704364717567
0.1035,0.1055,0.0965,0.095,0.1085,0.094,0.26820557921391835
0.005,0.008,0.001,0.002,0.008,0.001,0.0005033285989939915
0.031,0.027,0.001,0.001,0.032,0.001,0.025448067751599482
0.1465,0.046,0.05,0.901,0.033,0.2045,0.0395265250596642
0.004,0.01,0.004,0.003,0.014,0.003,0.0009204108573128423
0.141,0.2015,0.065,0.033,0.8255,0.016,0.3017801754970379
0.004,0.066,0.005,0.002,0.047,0.002,0.0470003578556247
0.001,0.023,0.001,0.001,0.008,0.001,0.008096731441517287
0.01,0.068,0.005,0.001,0.072,0.001,0.05628388062251334
0.029,0.0485,0.001,0.002,0.0505,0.001,0.03995745120057728
0.005,0.005,0.003,0.001,0.005,0.002,7.007226212072146e-07
0.003,0.023,0.002,0.001,0.01,0.001,0.002861006262935763
0.034,0.081,0.037,0.0165,0.07,0.022,0.11130459254236799
0.008,0.041,0.001,0.001,0.03,0.001,0.04704691370839617
0.0505,0.047,0.021,0.004,0.055,0.009,0.14022279170463675
0.013,0.0815,0.002,0.003,0.045,0.002,0.07799839357881626
0.056,0.043,0.037,0.036,0.054,0.028,0.11626494280392713
0.03,0.0265,0.03,0.034,0.03,0.028,0.00024997514045376775
0.001,0.012,0.002,0.001,0.014,0.001,1.7182759256384346e-05
0.003,0.036,0.001,0.001,0.022,0.001,0.021439465526224465
0.082,0.087,0.003,0.023,0.074,0.002,0.07520536943694216
0.035,0.039,0.039,0.033,0.039,0.037,0.05314621511160756
0.037,0.045,0.042,0.025,0.045,0.029,0.029605664078817418
0.005,0.054,0.003,0.001,0.03,0.001,0.041707712360871285
0.003,0.017,0.001,0.001,0.008,0.001,0.003906255248796593
0.003,0.009,0.003,0.002,0.009,0.003,0.0015903541804878983
0.076,0.1175,0.088,0.037,0.111,0.0585,0.1555849962374458
0.6245,0.065,0.959,0.083,0.984,0.053,0.10894760757448795
0.015,0.077,0.014,0.002,0.036,0.002,0.09221396551846904
0.118,0.049,0.054,0.114,0.054,0.05,0.055070530326861926
0.026,0.052,0.036,0.006,0.052,0.019,0.018263088717386453
0.04,0.024,0.024,0.014,0.027,0.014,0.013079878327309096
0.1,0.048,0.057,0.077,0.062,0.053,0.03847916408746213
0.001,0.032,0.001,0.001,0.01,0.001,0.022337981900701465
0.003,0.023,0.003,0.001,0.015,0.001,0.0025637719629961818
0.004,0.025,0.008,0.001,0.025,0.001,0.004521624901403307
0.082,0.0525,0.035,0.012,0.0545,0.0155,0.03501193640026875
0.006,0.032,0.005,0.006,0.017,0.004,0.021773195032430234
0.8865,0.331,0.4975,0.1385,0.834,0.349,0.35213978182191885
0.004,0.03,0.003,0.001,0.02,0.002,0.005571744808797029
0.117,0.016,0.03,0.031,0.018,0.021,0.0004422977351312822
0.014,0.0545,0.004,0.017,0.044,0.004,0.09177221562953292
0.015,0.135,0.011,0.002,0.1025,0.002,0.28793597321849956
0.065,0.032,0.01,0.01,0.024,0.005,0.011430664536875284
0.033,0.05,0.015,0.033,0.036,0.009,0.053569669669330154
0.008,0.045,0.012,0.002,0.036,0.005,0.04476272510606702
0.2645,0.177,0.104,0.106,0.3635,0.051,0.20140447984604737
0.3245,0.4065,0.074,0.022,0.974,0.014,0.47779597851519506
0.0735,0.005,0.007,0.008,0.002,0.002,0.00019008075906628348
0.018,0.036,0.008,0.004,0.028,0.003,0.016368846929379583
0.016,0.115,0.025,0.007,0.1145,0.011,0.2650087262792754
0.001,0.018,0.001,0.001,0.007,0.001,0.0026088067369394665
0.032,0.0245,0.024,0.0255,0.03,0.024,0.015022651172743071
