OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.001,0.038,0.001,0.001,0.007,0.001,0.052080606718726184
0.001,0.026,0.001,0.001,0.007,0.001,0.0056846536813255286
0.095,0.015,0.871,0.001,0.006,0.001,8.324301922354697e-08
0.01,0.027,0.002,0.001,0.007,0.001,0.0052507722859492165
0.914,0.025,0.049,0.001,0.004,0.001,0.00041074398796091564
0.006,0.0085,0.005,0.001,0.008,0.001,0.061620919989915764
0.002,0.0275,0.002,0.001,0.006,0.001,0.03240758190978741
0.001,0.001,0.001,0.001,0.999,0.001,1.4005993640592629e-09
0.012,0.008,0.01,0.006,0.008,0.006,0.0529982279102736
0.011,0.018,0.004,0.001,0.001,0.001,0.03458267264130344
0.003,0.032,0.002,0.001,0.002,0.001,0.07097610201507389
0.002,0.021,0.004,0.001,0.005,0.001,0.06857003635083511
0.002,0.02,0.002,0.001,0.003,0.001,0.050615497153007824
0.003,0.038,0.002,0.001,0.003,0.001,0.04146498016700077
0.009,0.012,0.012,0.007,0.011,0.007,0.04759757893276233
0.006,0.012,0.005,0.001,0.007,0.001,0.042981903832744875
0.045,0.007,0.008,0.005,0.006,0.005,0.03823461732268098
0.002,0.031,0.002,0.001,0.009,0.001,0.02599111499698844
0.003,0.016,0.003,0.001,0.002,0.001,0.05713020443069668
0.001,0.029,0.001,0.001,0.005,0.001,0.015390299144492534
0.004,0.022,0.003,0.001,0.013,0.001,0.03253426490605217
0.008,0.0215,0.008,0.005,0.014,0.005,0.16031898020349358
0.002,0.027,0.003,0.001,0.001,0.001,0.04663607557980056
0.001,0.082,0.001,0.001,0.01,0.001,0.12861536481640104
0.014,0.011,0.014,0.009,0.014,0.009,0.05235128480868767
0.001,0.023,0.001,0.001,0.002,0.001,0.030460246353250307
0.965,0.008,0.97,0.001,1.0,0.001,3.978154057487184e-46
0.003,0.003,0.003,0.003,0.003,0.003,0.05050007909323235
0.001,0.045,0.001,0.001,0.006,0.001,0.020428138957748674
0.942,0.001,0.96,0.001,0.001,0.001,9.150683247648516e-16
0.002,0.021,0.002,0.001,0.001,0.001,0.04671378024761864
0.003,0.028,0.002,0.001,0.002,0.001,0.04075768212169012
0.002,0.021,0.002,0.001,0.003,0.001,0.026300411274063618
0.001,0.0245,0.001,0.001,0.005,0.001,0.04210443732546495
0.001,0.001,0.001,0.001,0.001,0.001,5.24869635559863e-06
0.003,0.015,0.003,0.001,0.005,0.001,0.06030857148145111
0.008,0.012,0.008,0.001,0.008,0.001,0.05458134633638505
0.001,0.046,0.001,0.001,0.013,0.001,0.05265448712409677
0.011,0.058,0.011,0.001,0.011,0.001,0.2932653151201515
0.003,0.036,0.002,0.001,0.003,0.001,0.03242408308367887
0.005,0.005,0.004,0.003,0.0045,0.003,0.0402694570777624
0.003,0.033,0.003,0.001,0.004,0.001,0.02052822300879963
0.002,0.012,0.002,0.001,0.004,0.001,0.027176285235128324
0.017,0.018,0.007,0.005,0.005,0.005,0.04097612069593943
0.001,0.023,0.001,0.001,0.018,0.001,0.03937950754404606
0.001,0.017,0.001,0.001,0.005,0.001,0.012498553130716166
0.005,0.03,0.003,0.001,0.003,0.001,0.0015429060110458501
0.061,0.004,0.006,0.001,0.003,0.001,0.035186338604209895
0.002,0.037,0.002,0.001,0.005,0.001,0.05219962450788856
0.002,0.011,0.002,0.001,0.006,0.001,0.047474318645183824
0.001,0.018,0.001,0.001,0.003,0.001,0.011605169092435436
0.003,0.012,0.003,0.001,0.012,0.001,0.0457183796073041
0.001,0.028,0.001,0.001,0.001,0.001,0.07689526339620427
0.008,0.0195,0.008,0.001,0.005,0.001,0.05217478808088848
0.001,0.032,0.001,0.001,0.01,0.001,0.06619467563258748
0.002,0.023,0.002,0.001,0.001,0.001,0.04781581519889678
0.001,0.031,0.001,0.001,0.009,0.001,0.05564263543805352
0.002,0.0195,0.002,0.001,0.003,0.001,0.12511331218462182
0.001,0.037,0.001,0.001,0.004,0.001,0.08257682343807066
0.003,0.024,0.001,0.001,0.01,0.001,0.03670745012463171
0.005,0.027,0.005,0.001,0.028,0.001,0.185168553280167
0.007,0.009,0.007,0.007,0.009,0.007,0.05362132294568428
0.001,0.044,0.001,0.001,0.006,0.001,0.033602635722872747
0.013,0.009,0.008,0.001,0.008,0.001,0.03352987812500421
0.002,0.02,0.002,0.001,0.002,0.001,0.01346256307450677
0.083,0.02,0.002,0.001,0.003,0.001,0.018076167037816743
0.027,0.011,0.008,0.001,0.005,0.001,0.033967233294339816
0.003,0.009,0.003,0.001,0.003,0.001,0.016072717107736608
0.069,0.016,0.01,0.001,0.011,0.001,0.036108551020114725
0.023,0.013,0.009,0.001,0.01,0.001,0.03835931774587346
0.009,0.01,0.008,0.007,0.007,0.007,0.039679530825840116
0.001,0.049,0.001,0.001,0.007,0.001,0.08153228386978417
0.001,0.019,0.001,0.001,0.001,0.001,0.028456447280319864
0.03,0.009,0.013,0.008,0.009,0.008,0.03905823501431215
0.001,0.024,0.001,0.001,0.003,0.001,0.04531991362383338
0.007,0.0305,0.006,0.001,0.007,0.001,0.068076856061594
0.001,0.023,0.001,0.001,0.006,0.001,0.04850979607990621
0.001,0.064,0.001,0.001,0.002,0.001,0.030196359993601003
0.01,0.033,0.01,0.001,0.007,0.001,0.04873123321661341
0.002,0.006,0.002,0.001,0.002,0.001,0.047557869133414366
0.001,0.025,0.001,0.001,0.001,0.001,0.04445559115272691
0.004,0.0155,0.004,0.001,0.009,0.001,0.05165597526273644
0.007,0.043,0.007,0.001,0.002,0.001,0.10244672729652438
0.001,0.022,0.001,0.001,0.008,0.001,0.01745297697512709
0.001,0.057,0.001,0.001,0.006,0.001,0.09762284878411506
0.014,0.083,0.014,0.001,0.993,0.001,0.36755398910371706
0.003,0.011,0.003,0.001,0.006,0.001,0.051276753995175686
0.027,0.1795,0.027,0.001,1.0,0.001,0.7095890490954504
0.009,0.0145,0.006,0.001,0.006,0.001,0.04224304314742362
0.014,0.012,0.014,0.01,0.014,0.01,0.05348558204621088
0.005,0.0705,0.005,0.001,0.001,0.001,0.24941621043790238
0.015,0.01,0.0075,0.006,0.007,0.006,0.041231193870150395
0.001,0.013,0.001,0.001,0.002,0.001,0.048747979636504325
0.001,0.033,0.001,0.001,0.005,0.001,0.08514345092941578
0.003,0.013,0.003,0.001,0.002,0.001,0.04556437625679128
0.007,0.035,0.002,0.001,0.005,0.001,0.006631571051876303
0.004,0.01,0.004,0.001,0.006,0.001,0.05389531552035413
0.002,0.062,0.002,0.001,0.006,0.001,0.025873583058853875
0.002,0.062,0.002,0.001,0.0235,0.001,0.2306670065147666
0.002,0.064,0.001,0.001,0.005,0.001,0.03995292854774295
0.002,0.022,0.004,0.001,0.014,0.001,0.058557663935736824
0.005,0.011,0.005,0.004,0.008,0.004,0.05099382775038592
0.009,0.048,0.009,0.006,0.009,0.006,0.15633455026691176
0.002,0.018,0.002,0.001,0.002,0.001,0.015305820071404774
0.002,0.026,0.002,0.001,0.011,0.001,0.06763935664737228
0.557,0.009,0.016,0.007,0.008,0.007,0.02050396392885025
0.011,0.009,0.008,0.005,0.007,0.005,0.05367732970151601
0.006,0.013,0.005,0.004,0.01,0.004,0.037803421079512504
0.001,0.0305,0.001,0.001,0.003,0.001,0.1073606197228046
0.004,0.027,0.002,0.001,0.002,0.001,0.03979564086267727
0.001,0.001,0.001,0.001,0.001,0.001,1.2217979078345851e-36
0.001,0.036,0.001,0.001,0.006,0.001,0.025515238899821054
0.007,0.013,0.006,0.001,0.007,0.001,0.04997940225755964
0.002,0.022,0.001,0.001,0.002,0.001,0.047613995880192383
0.0055,0.006,0.003,0.002,0.006,0.002,0.05281144021021945
0.001,0.056,0.001,0.001,0.005,0.001,0.05425205802928002
0.001,0.036,0.001,0.001,0.007,0.001,0.04689401427282661
0.002,0.0195,0.002,0.001,0.005,0.001,0.044574846642934395
0.001,0.018,0.001,0.001,0.003,0.001,0.035092939272721925
0.002,0.019,0.003,0.001,0.002,0.001,0.004710269767186439
0.005,0.009,0.001,0.001,0.006,0.001,0.04904423224234081
