OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.5785,0.5915,0.589,0.576,0.593,0.594,0.5531086110741117
0.2235,0.4215,0.4155,0.2455,0.4275,0.425,0.40761824279190706
0.967,0.845,0.8445,0.9535,0.853,0.8655,0.8518145088297621
0.3215,0.3155,0.3415,0.351,0.3125,0.342,0.30619132241520924
0.6985,0.641,0.5915,0.716,0.6345,0.5885,0.6196303430264455
0.158,0.1175,0.138,0.162,0.114,0.1515,0.10348933534854764
0.82,0.8935,0.8595,0.8525,0.8575,0.885,0.9064786358407175
0.4945,0.7885,0.771,0.4745,0.7185,0.7535,0.8055064973903501
0.467,0.805,0.7255,0.4385,0.762,0.681,0.8052292889361101
0.535,0.405,0.3675,0.51,0.422,0.3775,0.37361902919082757
0.463,0.614,0.5515,0.453,0.592,0.528,0.6214824475934564
0.904,0.728,0.912,0.827,0.806,0.9395,0.7135431223308448
0.971,0.5865,0.653,0.964,0.568,0.6755,0.5637951031905593
0.66,0.5775,0.4875,0.6625,0.6225,0.4355,0.5736104324038813
0.2325,0.1905,0.1685,0.238,0.1925,0.176,0.19848415859863863
0.085,0.0555,0.069,0.0875,0.056,0.083,0.052256351841110694
0.334,0.377,0.4195,0.338,0.379,0.4195,0.39354981878996864
0.017,0.09,0.084,0.018,0.088,0.059,0.07533632099048086
0.5065,0.4475,0.45,0.5105,0.44,0.448,0.4256338340097252
0.143,0.2845,0.273,0.133,0.283,0.262,0.2615512640982657
0.4295,0.1375,0.1895,0.4685,0.1385,0.207,0.14000492516908608
0.312,0.081,0.089,0.3405,0.078,0.097,0.07258394581892147
0.3425,0.521,0.5145,0.358,0.511,0.5335,0.4929020902039887
0.745,0.6135,0.476,0.699,0.688,0.4395,0.5912531295658178
0.6985,0.603,0.6045,0.665,0.6005,0.6095,0.5903869782767186
0.18,0.0745,0.075,0.208,0.07,0.082,0.0557121088983156
0.422,0.5055,0.4905,0.448,0.494,0.474,0.5048895418468147
0.949,0.7475,0.8595,0.8545,0.7845,0.907,0.7438358957646525
0.7175,0.7475,0.7335,0.7435,0.757,0.7215,0.7687061546009447
0.119,0.0905,0.0995,0.1295,0.087,0.1015,0.07128910621102988
0.258,0.5455,0.47,0.264,0.5315,0.481,0.5433002386509007
0.086,0.17,0.139,0.114,0.165,0.128,0.17256914229865564
0.535,0.451,0.452,0.435,0.5025,0.422,0.45851325608040194
0.6445,0.565,0.5255,0.712,0.5465,0.5285,0.5681477511458244
0.796,0.9315,0.9095,0.8515,0.8805,0.938,0.9664063040894092
0.898,0.8365,0.815,0.9405,0.787,0.8455,0.8468324691205777
0.7915,0.909,0.9235,0.5005,0.953,0.7475,0.974911242500685
0.142,0.17,0.1375,0.168,0.167,0.132,0.1424349078341493
0.669,0.897,0.837,0.723,0.8425,0.8665,0.9912306950159042
0.6725,0.9225,0.8745,0.619,0.879,0.8645,0.9620144917056497
0.3985,0.4985,0.5805,0.45,0.487,0.612,0.49693251848317155
0.485,0.617,0.658,0.499,0.6095,0.6725,0.6433909632173849
0.8135,0.894,0.813,0.868,0.8285,0.921,0.936551346999662
0.007,0.022,0.008,0.005,0.023,0.006,0.007058864738227841
0.8755,0.318,0.422,0.8115,0.327,0.4555,0.31471117873015575
0.6005,0.268,0.282,0.655,0.261,0.3075,0.2677422662996286
0.075,0.038,0.039,0.079,0.035,0.039,0.026261593071246467
0.271,0.4015,0.3575,0.29,0.381,0.3475,0.3830515288531082
0.2955,0.1745,0.24,0.2845,0.187,0.259,0.1387495266557274
0.975,0.664,0.792,0.946,0.7095,0.8185,0.6697832761577194
0.7205,0.5195,0.555,0.762,0.51,0.556,0.5053545721589326
0.9285,0.726,0.8235,0.916,0.738,0.823,0.722740090815833
0.534,0.6095,0.5935,0.537,0.6085,0.5845,0.6791738288015781
0.113,0.1195,0.113,0.1175,0.12,0.1025,0.09991876188642901
0.445,0.163,0.159,0.4295,0.1565,0.1705,0.1506588201126257
0.7165,0.7975,0.749,0.7205,0.7925,0.7235,0.8158208188452399
0.9325,0.812,0.788,0.911,0.7905,0.8655,0.820913893794943
0.437,0.2415,0.4035,0.305,0.261,0.3845,0.24759102042801734
0.4275,0.336,0.3195,0.4055,0.3235,0.3235,0.32154502499635734
0.395,0.736,0.646,0.3705,0.718,0.6385,0.7488170192487462
0.4645,0.6475,0.4485,0.3565,0.799,0.3455,0.6273507185572786
0.6515,0.8825,0.78,0.6845,0.9155,0.7015,0.88180081134077
0.2075,0.235,0.376,0.2725,0.2335,0.3885,0.2371736572688467
0.467,0.619,0.6055,0.486,0.62,0.5935,0.6263300732307011
0.5145,0.667,0.6395,0.532,0.638,0.6465,0.6564212440133372
0.1715,0.143,0.14,0.161,0.145,0.138,0.1124690044279055
0.6165,0.7965,0.845,0.677,0.783,0.8315,0.8141349820960109
0.4045,0.643,0.5925,0.4265,0.5875,0.5455,0.6171962025948649
0.2675,0.03,0.063,0.301,0.029,0.092,0.010610184388987736
0.662,0.1995,0.3935,0.6715,0.228,0.403,0.17738171954679532
0.7615,0.908,0.92,0.5825,0.9315,0.811,0.9468120989497131
0.269,0.0765,0.086,0.277,0.071,0.115,0.07039697515033044
0.198,0.23,0.229,0.215,0.225,0.2335,0.23300112171327525
0.23,0.214,0.188,0.211,0.1995,0.183,0.1979162938992159
0.191,0.2365,0.1675,0.2235,0.244,0.173,0.21047738634619859
0.378,0.714,0.576,0.2865,0.861,0.445,0.701206699196325
0.507,0.752,0.7815,0.5795,0.718,0.8135,0.7431373264397414
0.4565,0.4535,0.4525,0.4765,0.444,0.46,0.4275375119097594
0.502,0.133,0.1725,0.442,0.129,0.235,0.11972631345751475
0.147,0.133,0.11,0.137,0.1295,0.115,0.11553410822703228
0.6145,0.734,0.757,0.6715,0.718,0.7705,0.7646324390961582
0.562,0.618,0.588,0.654,0.594,0.6015,0.6417122219665212
0.963,0.5235,0.5795,0.9445,0.514,0.619,0.5107229101147813
0.4395,0.589,0.5885,0.4545,0.583,0.588,0.5599956407867699
0.6665,0.907,0.8735,0.7065,0.8535,0.909,0.9452795826209981
0.519,0.503,0.3365,0.4825,0.5895,0.2975,0.5070272695331536
0.3615,0.4565,0.396,0.349,0.443,0.408,0.4520732511003054
0.56,0.54,0.527,0.6095,0.534,0.5205,0.5497867626497761
0.6695,0.915,0.8315,0.6905,0.8385,0.8675,0.9748141004175572
