OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.1285,0.112,0.114,0.1175,0.11,0.113,0.14410031545684543
0.012,0.045,0.017,0.012,0.043,0.011,0.036871220284458286
0.096,0.1255,0.107,0.092,0.118,0.091,0.1858260254474527
0.599,0.2585,0.5855,0.7345,0.333,0.7745,0.2906606452279641
0.003,0.033,0.007,0.004,0.02,0.006,0.025248681719793793
0.001,0.005,0.001,0.001,0.001,0.001,0.0006101127973633756
0.002,0.04,0.003,0.002,0.027,0.004,0.021223394102284434
0.007,0.01,0.009,0.006,0.009,0.006,0.00048319060986763647
0.0815,0.116,0.101,0.084,0.1145,0.091,0.1111570183281219
0.005,0.012,0.008,0.005,0.012,0.007,0.0036203222119535823
0.02,0.155,0.057,0.017,0.1365,0.036,0.165774824432576
0.051,0.049,0.0215,0.042,0.043,0.024,0.03403127556860639
0.012,0.025,0.006,0.01,0.02,0.005,0.01903466643627643
0.008,0.045,0.005,0.014,0.032,0.006,0.03482617569647879
0.009,0.108,0.036,0.012,0.086,0.025,0.15009861360261156
0.001,0.006,0.001,0.001,0.002,0.001,0.00040086530873572815
0.003,0.001,0.003,0.003,0.001,0.002,0.00037649216715726104
0.043,0.0695,0.037,0.038,0.065,0.0325,0.05865101401572025
0.001,0.013,0.001,0.001,0.006,0.001,0.0019871008549364687
0.024,0.0555,0.042,0.0245,0.051,0.0405,0.11307227565112124
0.018,0.024,0.033,0.02,0.025,0.0265,0.008286303256078398
0.0065,0.077,0.001,0.004,0.093,0.001,0.07336703059322834
0.024,0.029,0.028,0.019,0.029,0.0205,0.022901740757632336
0.149,0.0735,0.031,0.157,0.074,0.025,0.06257774753392814
0.5035,0.324,0.276,0.4775,0.3195,0.3445,0.32443553451166285
0.7535,0.0865,0.2565,0.4095,0.0695,0.1565,0.10004310200232613
0.024,0.012,0.014,0.022,0.012,0.015,5.057115519881688e-05
0.001,0.003,0.001,0.001,0.001,0.001,0.00015880985854013543
0.003,0.011,0.005,0.003,0.01,0.002,0.004328512603279068
0.026,0.03,0.02,0.024,0.03,0.018,0.00792869806921038
0.001,0.011,0.002,0.002,0.009,0.001,0.002899997641615753
0.042,0.013,0.015,0.054,0.015,0.0225,0.0023345896436266457
0.001,0.008,0.002,0.001,0.004,0.002,0.0008166227921442134
0.048,0.075,0.0575,0.057,0.0655,0.0595,0.059294269944544974
0.001,0.002,0.001,0.001,0.001,0.001,0.0002447174364956078
0.01,0.052,0.033,0.011,0.045,0.027,0.051796922058518005
0.0075,0.041,0.015,0.006,0.037,0.008,0.03401507769489437
0.001,0.003,0.001,0.001,0.002,0.001,0.00014038407170234322
0.026,0.018,0.025,0.025,0.019,0.024,0.0010435481948764761
0.001,0.004,0.001,0.001,0.003,0.001,0.00048502927135371445
0.001,0.002,0.001,0.001,0.001,0.001,0.00017917250985508687
0.016,0.034,0.021,0.017,0.032,0.02,0.009720820056281759
0.371,0.121,0.252,0.427,0.182,0.2845,0.18296167993272067
0.008,0.013,0.006,0.008,0.012,0.006,0.005987184143435879
0.003,0.008,0.001,0.003,0.003,0.001,0.00015515508544772
0.001,0.021,0.005,0.001,0.014,0.004,0.01073522351764191
0.023,0.022,0.023,0.024,0.022,0.021,0.011890936643870153
0.011,0.01,0.005,0.009,0.009,0.004,0.0017153644560595229
0.062,0.017,0.019,0.074,0.018,0.028,0.015735394049752237
0.023,0.021,0.016,0.0265,0.022,0.012,0.0019653934778740907
0.002,0.012,0.001,0.002,0.007,0.001,0.009817071895817066
0.002,0.0065,0.003,0.002,0.004,0.004,0.0015674775103521426
0.002,0.008,0.004,0.002,0.008,0.004,0.0005454789771342361
0.001,0.011,0.001,0.001,0.007,0.001,0.0036182699990716222
0.037,0.07,0.044,0.039,0.061,0.04,0.07779771455381092
0.011,0.036,0.018,0.013,0.031,0.016,0.031060305340512625
0.015,0.023,0.012,0.017,0.023,0.012,0.003393547005190421
0.001,0.019,0.004,0.001,0.011,0.002,0.00602100664351789
0.092,0.361,0.0585,0.004,0.991,0.002,0.3935609192174586
0.003,0.01,0.007,0.003,0.011,0.007,4.696999326619127e-05
0.004,0.021,0.006,0.004,0.016,0.006,0.011676276948568503
0.004,0.048,0.005,0.005,0.0285,0.005,0.03762670222363189
0.019,0.0365,0.012,0.019,0.023,0.0115,0.028347793827479095
0.001,0.007,0.003,0.001,0.005,0.003,0.00029294231864972914
0.0915,0.1585,0.0515,0.0895,0.1535,0.0355,0.15031036764424932
0.2015,0.233,0.2185,0.2235,0.232,0.217,0.4078570198024133
0.017,0.0165,0.016,0.0165,0.017,0.016,0.0033838444769694366
0.01,0.034,0.013,0.01,0.0315,0.013,0.022279354991158122
0.002,0.049,0.015,0.003,0.0475,0.011,0.037163809533973524
0.003,0.0615,0.004,0.0035,0.0855,0.002,0.06538142416759675
0.002,0.063,0.003,0.001,0.027,0.001,0.20037954239189623
0.007,0.017,0.005,0.008,0.0085,0.005,0.02414847515971934
0.026,0.0105,0.0095,0.03,0.01,0.013,0.0038605313426223467
0.009,0.019,0.012,0.008,0.0205,0.011,0.0020753047071726052
0.1185,0.044,0.045,0.1055,0.0445,0.049,0.028533931984462347
0.004,0.02,0.005,0.004,0.019,0.004,0.001492868983119171
0.002,0.023,0.006,0.001,0.021,0.004,0.0084663979612363
0.015,0.055,0.02,0.012,0.05,0.01,0.04090478339509209
0.065,0.038,0.041,0.075,0.036,0.045,0.042236453923928725
0.001,0.015,0.002,0.002,0.013,0.001,0.0017976354855929722
0.001,0.001,0.001,0.001,0.001,0.001,1.929884820799085e-05
0.012,0.0755,0.034,0.011,0.065,0.024,0.128072132604052
0.636,0.9035,0.79,0.65,0.888,0.7215,0.9282107133040622
0.015,0.0205,0.018,0.013,0.021,0.016,0.0015141883794374165
0.1965,0.448,0.1745,0.169,0.4545,0.134,0.5100653404396047
0.004,0.015,0.002,0.005,0.006,0.002,0.0024463827379581243
0.5535,0.5125,0.4655,0.2485,0.9845,0.2645,0.6478902816988693
0.002,0.012,0.004,0.002,0.011,0.002,0.004465102818651375
0.005,0.048,0.014,0.008,0.038,0.012,0.04266320139415411
0.003,0.011,0.001,0.003,0.01,0.002,6.0349164901593175e-05
0.001,0.029,0.001,0.001,0.011,0.001,0.022000825258328114
0.027,0.057,0.036,0.038,0.051,0.03,0.06400927310975117
0.151,0.2095,0.1725,0.1415,0.201,0.176,0.30432529678550074
0.003,0.021,0.004,0.004,0.013,0.004,0.005891510390153403
0.002,0.013,0.004,0.002,0.014,0.004,0.0019268601948896095
0.017,0.029,0.024,0.018,0.03,0.021,0.020311302930504097
0.0465,0.0705,0.077,0.048,0.0785,0.076,0.06788985960500858
0.052,0.091,0.034,0.055,0.068,0.05,0.2722423655386305
0.022,0.01,0.013,0.024,0.011,0.013,0.00035139229253384574
0.003,0.024,0.01,0.002,0.019,0.006,0.03661431857517059
0.01,0.0155,0.01,0.011,0.016,0.009,0.006495179450190076
0.004,0.025,0.009,0.004,0.02,0.005,0.01816840154323012
0.004,0.016,0.003,0.003,0.01,0.003,0.013660845805980697
0.0635,0.072,0.038,0.074,0.063,0.0435,0.07742507754671424
0.019,0.034,0.009,0.019,0.027,0.008,0.02613360206642838
0.001,0.019,0.003,0.001,0.014,0.003,0.0007727729360955901
