OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.671,0.288,0.676,0.83,0.8315,0.63,0.23783518461420522
0.832,0.1395,0.868,0.165,0.1855,0.49,0.12813391869786095
0.2545,0.431,0.1035,0.274,0.125,0.069,0.40103969438026255
0.484,0.3315,0.3815,0.309,0.1195,0.0895,0.3414663862102679
0.931,0.077,0.953,0.6795,0.4425,0.8685,0.06589456548920766
0.1655,0.5815,0.0765,0.4,0.28,0.1705,0.5823632968079266
0.721,0.2785,0.714,0.386,0.7995,0.6845,0.23577412220549399
0.1435,0.8875,0.1265,0.72,0.57,0.6575,0.9900559515021219
0.158,0.9095,0.109,0.109,0.5995,0.058,0.9632360092669656
0.24,0.807,0.3285,0.7785,0.5465,0.788,0.8100275787820753
0.914,0.061,0.8755,0.4005,0.105,0.3665,0.05453989531145934
0.789,0.27,0.782,0.7545,0.9085,0.6205,0.265158837965385
0.7115,0.114,0.709,0.683,0.0745,0.1825,0.09486374220261817
0.868,0.062,0.881,0.597,0.0535,0.248,0.06423129068351781
0.6245,0.27,0.604,0.1415,0.0495,0.062,0.24837441661454018
0.2445,0.8475,0.217,0.3945,0.7455,0.158,0.8617594912995559
0.2405,0.9095,0.2595,0.2705,0.7355,0.229,0.9417612327540809
0.629,0.482,0.737,0.4445,0.379,0.6655,0.4914786411835598
0.2275,0.806,0.158,0.381,0.676,0.7215,0.8006787752899247
0.3935,0.554,0.426,0.375,0.432,0.6305,0.5607581939347573
0.221,0.8705,0.204,0.583,0.537,0.561,0.8771689311846504
0.131,0.6205,0.1095,0.424,0.318,0.469,0.5983170746856408
0.2545,0.9005,0.2665,0.329,0.7275,0.343,0.9414563188181132
0.092,0.5105,0.022,0.3255,0.1825,0.145,0.5262521721890739
0.4645,0.494,0.547,0.5725,0.8615,0.562,0.4899036926688394
0.43,0.5555,0.3895,0.706,0.3975,0.679,0.5661157464930993
0.8395,0.0525,0.777,0.07,0.008,0.022,0.0340226399451427
0.934,0.0285,0.93,0.95,0.062,0.3015,0.03670550595780808
0.961,0.057,0.965,0.267,0.031,0.1045,0.057015037694812795
0.556,0.3915,0.626,0.477,0.3845,0.779,0.38768048669147115
0.792,0.1905,0.786,0.511,0.6865,0.8055,0.1918219250846808
0.4465,0.6915,0.4895,0.466,0.7435,0.444,0.7036228788576111
0.696,0.383,0.8295,0.083,0.9715,0.1935,0.36380363804997085
0.78,0.1965,0.839,0.576,0.3695,0.812,0.19901331618309198
0.3575,0.744,0.3385,0.3955,0.7205,0.4635,0.7326219268097094
0.2815,0.891,0.345,0.365,0.81,0.0855,0.9190119824337485
0.826,0.222,0.804,0.6105,0.2855,0.6745,0.21467182188095657
0.276,0.7145,0.2985,0.4765,0.7695,0.548,0.6964752130174194
0.792,0.205,0.796,0.687,0.687,0.851,0.169385280586698
0.318,0.7145,0.2165,0.1375,0.339,0.3045,0.7027828164245153
0.523,0.545,0.477,0.465,0.4665,0.7615,0.5461540370166234
0.141,0.908,0.0905,0.5095,0.5215,0.6805,0.9944483812584828
0.327,0.7325,0.3385,0.578,0.493,0.776,0.7295235554795023
0.1585,0.8735,0.133,0.605,0.4655,0.451,0.882596048276286
0.702,0.0505,0.82,0.3365,0.033,0.1325,0.04994372236379576
0.6105,0.596,0.744,0.2415,0.944,0.3285,0.5841396180102916
0.3065,0.79,0.39,0.206,0.466,0.428,0.7867056234376482
0.907,0.049,0.914,0.542,0.017,0.099,0.03408556940563608
0.239,0.573,0.422,0.886,0.381,0.726,0.5800499056470657
0.104,0.6855,0.023,0.427,0.237,0.125,0.6877588307560059
0.2735,0.7265,0.301,0.519,0.4175,0.582,0.7397512027867448
0.557,0.2805,0.48,0.8825,0.1615,0.2665,0.25866860769673267
0.313,0.5375,0.3755,0.543,0.2725,0.4655,0.4978237990193841
0.51,0.504,0.525,0.76,0.3045,0.562,0.4775990739730436
0.6985,0.3225,0.724,0.479,0.9285,0.23,0.2877261233986901
0.522,0.4655,0.564,0.6455,0.3635,0.5845,0.4502626586556653
0.845,0.3335,0.871,0.2215,0.982,0.109,0.33971292186132274
0.3165,0.627,0.19,0.3195,0.171,0.085,0.5858237197629537
0.214,0.8585,0.2265,0.392,0.706,0.304,0.9037749826827527
0.661,0.4005,0.7235,0.5965,0.6985,0.8705,0.3831275633275799
0.551,0.418,0.551,0.6695,0.4335,0.817,0.4093286245761323
0.117,0.804,0.244,0.443,0.4655,0.3205,0.8099873260757945
0.875,0.1105,0.855,0.4585,0.1805,0.506,0.1072752516860019
0.241,0.8885,0.1955,0.3925,0.5815,0.3965,0.9332863954903211
0.964,0.042,0.961,0.482,0.915,0.7055,0.03806115373085003
0.425,0.513,0.463,0.2565,0.23,0.3485,0.5118440581760144
0.181,0.8565,0.1865,0.6495,0.578,0.8765,0.8816873917903496
0.143,0.889,0.116,0.2165,0.5815,0.3345,0.9470267793435345
0.2175,0.7765,0.282,0.4375,0.555,0.2395,0.7693972758640224
0.807,0.2035,0.788,0.3655,0.225,0.65,0.15362178194815182
0.638,0.503,0.671,0.861,0.9295,0.2065,0.4673333226856434
0.381,0.9005,0.4455,0.5825,0.644,0.712,0.9223492949285165
0.948,0.041,0.948,0.807,0.173,0.6485,0.032312090774808296
0.476,0.568,0.5095,0.5755,0.809,0.603,0.5264620592938163
0.3705,0.7715,0.4205,0.6555,0.625,0.8975,0.7385265604733668
