OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.8345,0.718,0.8085,0.288,0.987,0.3995,0.7148761793561733
0.4225,0.882,0.3795,0.891,0.6135,0.744,0.9268624546186935
0.6495,0.893,0.6255,0.749,0.7025,0.901,0.945993852852886
0.875,0.2835,0.758,0.6945,0.7085,0.9045,0.2837723196869473
0.454,0.6465,0.6,0.5955,0.496,0.602,0.6156320235069591
0.2985,0.058,0.071,0.4865,0.045,0.125,0.05321143039163895
0.323,0.526,0.2545,0.35,0.3265,0.2555,0.4983073808599663
0.641,0.8245,0.6225,0.484,0.717,0.8325,0.8412287513548269
0.116,0.2015,0.129,0.298,0.1405,0.147,0.18583973254816652
0.455,0.631,0.199,0.2405,0.474,0.22,0.6094472611235622
0.302,0.7925,0.216,0.4485,0.4685,0.3015,0.7869654153170627
0.042,0.0755,0.029,0.066,0.035,0.0525,0.060012162266151164
0.5865,0.8885,0.6245,0.388,0.793,0.6815,0.980385100215346
0.9325,0.575,0.727,0.1355,0.996,0.28,0.6300452453534398
0.2735,0.171,0.904,0.271,0.1945,0.281,0.17059444451086017
0.8495,0.5025,0.8405,0.637,0.8345,0.842,0.5243413716454453
0.6525,0.6825,0.8175,0.688,0.7695,0.872,0.6794732013078753
0.4,0.42,0.31,0.561,0.279,0.4295,0.4011987086254398
0.8385,0.4555,0.646,0.499,0.4545,0.51,0.44645415315236814
0.547,0.9145,0.539,0.76,0.726,0.5995,0.9882829348646835
0.619,0.9045,0.6315,0.6905,0.6965,0.888,0.9950483683108773
0.678,0.6595,0.595,0.5405,0.609,0.804,0.6396531523708355
0.68,0.835,0.49,0.8495,0.701,0.627,0.8582227427257274
0.6,0.738,0.6295,0.738,0.6745,0.8905,0.7373714539564578
0.5815,0.9185,0.615,0.752,0.859,0.658,0.9912157628173115
0.65,0.91,0.645,0.746,0.7145,0.895,0.9581163152993348
0.4525,0.8165,0.521,0.7,0.7625,0.8215,0.8216436052890747
0.2955,0.064,0.0505,0.291,0.04,0.1355,0.05808867019223658
0.067,0.1685,0.0815,0.083,0.1035,0.101,0.1488785873597544
0.7185,0.835,0.7005,0.5965,0.8055,0.787,0.8483356845098589
0.924,0.077,0.8685,0.706,0.1525,0.322,0.08045853178383602
0.334,0.017,0.422,0.081,0.009,0.02,0.014916720138550497
0.4445,0.048,0.464,0.5215,0.0805,0.27,0.04106456188331367
0.766,0.016,0.478,0.681,0.046,0.2135,0.012043578822387341
0.613,0.867,0.6125,0.685,0.6925,0.8225,0.8773922037486899
0.172,0.3785,0.119,0.593,0.235,0.159,0.37224213615823165
0.684,0.094,0.2935,0.405,0.102,0.2415,0.07802634186945047
0.447,0.1205,0.792,0.273,0.1305,0.189,0.11061232998863277
0.334,0.738,0.4575,0.559,0.5895,0.653,0.7385453314110217
0.6105,0.548,0.321,0.475,0.4635,0.6455,0.5508893363479417
0.5185,0.644,0.219,0.611,0.4335,0.422,0.6558265716547182
0.226,0.567,0.202,0.2905,0.426,0.115,0.5530610237961118
0.6445,0.7125,0.8395,0.5835,0.9475,0.405,0.6978053883809348
0.3025,0.7135,0.255,0.134,0.806,0.1235,0.6979826788693912
0.6615,0.2465,0.7765,0.865,0.423,0.819,0.2525199870105447
0.1455,0.239,0.6055,0.3235,0.3035,0.5805,0.2161955438148389
0.5265,0.9035,0.489,0.5575,0.684,0.592,0.9496387370278339
0.282,0.8055,0.2815,0.3095,0.7425,0.178,0.7911276652659147
0.272,0.3345,0.6385,0.309,0.317,0.5385,0.3338407262166274
0.115,0.248,0.102,0.2245,0.075,0.1465,0.2577606057234367
0.178,0.257,0.422,0.7755,0.172,0.351,0.23539343413270455
0.665,0.12,0.1355,0.3395,0.127,0.201,0.1122568658610948
0.61,0.868,0.523,0.689,0.679,0.707,0.8763191742255498
0.461,0.696,0.4645,0.704,0.575,0.8215,0.7095348339596026
0.032,0.03,0.065,0.2135,0.036,0.08,0.030696821363379017
0.8045,0.558,0.891,0.745,0.711,0.913,0.5602787601001037
0.9325,0.497,0.941,0.555,0.9145,0.697,0.48160751552209
0.881,0.2615,0.939,0.729,0.937,0.623,0.2683524558772438
0.064,0.1295,0.0215,0.085,0.062,0.038,0.113308370084065
0.7135,0.8675,0.702,0.51,0.917,0.4445,0.8798850706007254
0.9755,0.1505,0.943,0.7155,0.4415,0.8105,0.1317311917061107
0.313,0.2215,0.392,0.266,0.2055,0.372,0.22059471710455136
0.5705,0.8975,0.5895,0.452,0.8035,0.483,0.9384867930376511
0.7885,0.3785,0.8545,0.6055,0.451,0.729,0.38981994690559907
0.5745,0.72,0.5635,0.589,0.8165,0.7575,0.7262205554636558
0.6515,0.417,0.751,0.5495,0.4125,0.6265,0.38271248352765364
0.835,0.5545,0.7835,0.4625,0.93,0.5865,0.5443416505483802
0.513,0.4385,0.5965,0.629,0.4155,0.6635,0.4358908273114538
0.4305,0.3295,0.7055,0.757,0.614,0.8925,0.305771907830937
0.932,0.2575,0.973,0.6105,0.9475,0.6455,0.2676046964696776
0.932,0.133,0.914,0.82,0.306,0.6485,0.12861384014822713
0.6195,0.784,0.657,0.5545,0.841,0.7165,0.7722473741634728
0.3325,0.8065,0.232,0.1185,0.656,0.162,0.8023232286717713
0.393,0.21,0.315,0.3655,0.129,0.158,0.19018949468424415
0.4835,0.4755,0.3085,0.728,0.391,0.577,0.47556390942555415
0.3595,0.84,0.42,0.7175,0.703,0.8815,0.8382416222820563
0.2825,0.268,0.107,0.6735,0.201,0.232,0.2670276069203205
0.182,0.048,0.652,0.3315,0.085,0.288,0.0350793871340516
0.7515,0.792,0.7645,0.596,0.8685,0.733,0.7828816312708515
0.904,0.1795,0.981,0.728,0.509,0.8565,0.1661194801927109
0.222,0.3875,0.245,0.1315,0.257,0.2805,0.3952196188604704
0.572,0.8005,0.506,0.774,0.618,0.803,0.8061488572583019
0.042,0.226,0.184,0.057,0.1145,0.184,0.20531728311673136
0.275,0.6095,0.3075,0.112,0.65,0.1795,0.5814686379022809
0.403,0.3285,0.6355,0.2485,0.2605,0.261,0.3189957094661565
0.314,0.6125,0.33,0.1535,0.4395,0.2415,0.6075986792944086
0.8575,0.5165,0.7645,0.6755,0.614,0.8705,0.49700760990256876
0.7805,0.319,0.575,0.8365,0.478,0.818,0.3015710418543072
0.423,0.889,0.343,0.7205,0.601,0.7525,0.9297349301982185
0.6615,0.4745,0.492,0.806,0.465,0.7025,0.4698609081614815
0.374,0.5185,0.608,0.4125,0.3235,0.508,0.5101137278328567
0.4815,0.3055,0.7305,0.168,0.324,0.3195,0.27999451806718517
0.589,0.579,0.8005,0.691,0.5945,0.846,0.5391262165369117
0.8795,0.406,0.816,0.7095,0.6815,0.902,0.40601920314856654
0.1685,0.478,0.2785,0.17,0.272,0.269,0.48431461410988896
0.73,0.6285,0.7425,0.206,0.965,0.3425,0.6228226803777286
0.3585,0.545,0.453,0.6045,0.453,0.594,0.5331778911172557
0.5695,0.827,0.4935,0.773,0.652,0.8815,0.8423929892479696
0.441,0.716,0.6055,0.2825,0.5645,0.5375,0.7002289076792955
0.559,0.82,0.7395,0.678,0.8975,0.518,0.8159322311937462
0.669,0.4715,0.54,0.134,0.467,0.329,0.4548027432623495
0.0665,0.298,0.086,0.2145,0.126,0.101,0.2813639234220138
0.3505,0.3495,0.232,0.2645,0.3025,0.328,0.3194561096729515
0.5385,0.906,0.465,0.1755,0.8015,0.284,0.9637648352415065
0.4475,0.9085,0.333,0.146,0.912,0.13,0.9316738408909566
0.756,0.7485,0.6515,0.781,0.6455,0.8295,0.7477283857371833
0.6055,0.903,0.538,0.8145,0.813,0.772,0.9329487907925287
0.5975,0.868,0.7685,0.819,0.8,0.6675,0.8819824918714535
0.494,0.253,0.6085,0.2145,0.186,0.243,0.2535069920708394
0.462,0.806,0.4895,0.5925,0.6055,0.719,0.8174717627279333
0.647,0.9055,0.617,0.522,0.8415,0.6865,0.9145696498789977
0.6425,0.5575,0.5255,0.7165,0.5185,0.5075,0.5239314782773729
0.8015,0.28,0.791,0.8365,0.421,0.7245,0.25318198793122737
0.944,0.0765,0.9205,0.502,0.2575,0.651,0.06710706573085203
0.7555,0.521,0.822,0.645,0.5935,0.8635,0.5381734645853022
0.532,0.915,0.5155,0.5615,0.7205,0.7865,0.9782858353837558
0.571,0.8785,0.5015,0.7485,0.678,0.892,0.8739784376510155
0.741,0.4335,0.6465,0.813,0.453,0.679,0.442389648241273
0.7325,0.473,0.8635,0.5685,0.8675,0.751,0.46196003399990815
0.2005,0.231,0.2755,0.755,0.329,0.6455,0.22486049302337474
0.164,0.246,0.0685,0.4135,0.1525,0.129,0.22295838181690963
0.3535,0.6865,0.3,0.542,0.56,0.2985,0.6803443580076742
0.5145,0.8395,0.438,0.6685,0.635,0.754,0.859669948067973
0.275,0.7615,0.384,0.6085,0.5055,0.374,0.7460053467484083
0.5735,0.867,0.573,0.311,0.8475,0.599,0.8969385606817502
0.1815,0.313,0.145,0.0935,0.2795,0.0935,0.32642370349780303
0.267,0.7865,0.244,0.7795,0.451,0.589,0.7505898962550095
0.61,0.7495,0.6595,0.5765,0.6365,0.8205,0.7360183948471528
0.754,0.891,0.777,0.321,0.9315,0.5225,0.9261866708116808
0.257,0.0745,0.223,0.2715,0.0685,0.0875,0.05442115594595549
0.3965,0.438,0.248,0.4045,0.363,0.3105,0.4030906144880195
0.638,0.8165,0.6905,0.7965,0.671,0.8685,0.8318539911380813
0.3465,0.257,0.499,0.853,0.229,0.417,0.25790465603302215
0.7725,0.6985,0.7295,0.6335,0.8,0.677,0.6951401852521966
0.592,0.5095,0.81,0.7275,0.718,0.8915,0.517297030096362
0.1835,0.526,0.039,0.3165,0.207,0.081,0.5135530446172403
0.522,0.8845,0.449,0.3405,0.8335,0.39,0.9014994847339131
0.5175,0.859,0.5115,0.653,0.6505,0.5815,0.8699469843176456
0.596,0.044,0.8125,0.374,0.049,0.108,0.030550626051555438
0.6415,0.255,0.8545,0.7435,0.455,0.8145,0.23017857411661638
0.063,0.1355,0.026,0.1375,0.1045,0.036,0.13267470907019963
0.792,0.2475,0.224,0.8025,0.265,0.4735,0.24515482361444424
0.075,0.3405,0.127,0.144,0.232,0.146,0.31920574997863704
0.3545,0.3865,0.622,0.5055,0.36,0.4985,0.3710167988951275
0.974,0.182,0.993,0.4575,0.981,0.6355,0.17358405297683885
0.4885,0.901,0.4275,0.266,0.8625,0.198,0.9820835781833444
0.8505,0.577,0.831,0.6225,0.8575,0.7275,0.5560249352853883
