OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.115,0.166,0.084,0.001,0.224,0.001,0.07046230737873055
0.061,0.129,0.06,0.001,0.356,0.001,0.05564636646080857
0.067,0.244,0.072,0.001,0.402,0.001,0.11666486628233261
0.2705,0.471,0.283,0.001,0.924,0.002,0.3600890010975085
0.007,0.026,0.01,0.001,0.038,0.001,0.0021894601647564796
0.054,0.199,0.058,0.001,0.305,0.002,0.07814108821748258
0.113,0.337,0.128,0.001,0.5645,0.003,0.23238670277697943
0.032,0.134,0.04,0.001,0.202,0.002,0.051517283107811875
0.008,0.012,0.009,0.001,0.164,0.001,0.0015108667132301401
0.209,0.417,0.262,0.001,0.893,0.003,0.3257728530486148
0.023,0.034,0.014,0.001,0.069,0.001,0.0053530184194471335
0.26,0.475,0.32,0.003,0.978,0.014,0.35621432539962505
0.223,0.371,0.248,0.001,0.944,0.004,0.27862430565541
0.127,0.3615,0.157,0.001,0.534,0.001,0.2671405600523398
0.261,0.409,0.279,0.002,0.981,0.01,0.28886187746294717
0.023,0.033,0.016,0.001,0.197,0.001,0.00565181253895066
0.82,0.5825,0.874,0.002,0.998,0.008,0.5716304601241005
0.063,0.196,0.07,0.001,0.247,0.004,0.09860877033187761
0.053,0.213,0.067,0.002,0.4885,0.002,0.1163821288047701
0.198,0.3795,0.258,0.003,0.947,0.008,0.27158897280376665
0.049,0.211,0.048,0.001,0.38,0.001,0.09311976691502731
0.087,0.2065,0.109,0.001,0.609,0.001,0.10975623934318049
0.048,0.1735,0.05,0.001,0.287,0.001,0.06565384025301876
0.274,0.559,0.286,0.001,0.886,0.003,0.4956449383926833
0.1815,0.488,0.177,0.001,0.722,0.001,0.37196170968471254
0.003,0.007,0.003,0.001,0.017,0.001,0.0009654545653217511
0.042,0.133,0.052,0.001,0.271,0.003,0.03639416932796659
0.02,0.054,0.027,0.001,0.119,0.001,0.01210808710358771
0.059,0.07,0.045,0.001,0.3715,0.002,0.021675056159942876
0.51,0.6765,0.589,0.001,0.994,0.012,0.7954277125335805
0.062,0.1575,0.064,0.001,0.413,0.002,0.0708080785797256
0.095,0.348,0.1265,0.001,0.5715,0.002,0.22344121604972733
0.082,0.33,0.085,0.001,0.538,0.001,0.17918755107264953
0.372,0.676,0.432,0.001,0.975,0.001,0.7750059472698339
0.029,0.039,0.031,0.001,0.235,0.002,0.00903187366329172
0.058,0.2355,0.062,0.001,0.486,0.002,0.1168872967993393
0.068,0.2585,0.08,0.001,0.513,0.001,0.13323510712783823
0.09,0.2665,0.087,0.001,0.588,0.001,0.13497420394867918
0.021,0.113,0.024,0.001,0.199,0.001,0.046256676994519845
0.234,0.5705,0.2795,0.001,0.906,0.002,0.4580458502898871
0.024,0.043,0.023,0.001,0.113,0.001,0.010211229066671521
0.271,0.475,0.297,0.001,0.894,0.005,0.37415780604811244
0.204,0.345,0.187,0.001,0.792,0.001,0.22645388676874714
0.27,0.5465,0.33,0.001,0.899,0.004,0.45595013144974095
0.025,0.094,0.024,0.001,0.261,0.001,0.028908838548575934
0.033,0.161,0.03,0.001,0.228,0.001,0.061782253484647894
0.005,0.009,0.004,0.001,0.016,0.001,0.0008990171693554957
0.021,0.09,0.032,0.001,0.126,0.002,0.01819845119079384
0.3395,0.634,0.384,0.002,0.918,0.002,0.7003965058281791
0.168,0.446,0.2055,0.001,0.734,0.001,0.32988106804003436
0.0465,0.121,0.054,0.001,0.224,0.001,0.035085130983464885
0.126,0.167,0.115,0.002,0.682,0.003,0.07592047388028318
0.112,0.359,0.127,0.001,0.565,0.002,0.2622756736875615
0.118,0.363,0.127,0.001,0.701,0.004,0.26565605784908797
0.213,0.532,0.246,0.001,0.856,0.004,0.4099325054320625
0.027,0.0745,0.033,0.001,0.146,0.001,0.018263949582748698
0.017,0.01,0.009,0.001,0.189,0.001,0.001823562178554535
0.01,0.057,0.016,0.001,0.123,0.001,0.010976942256594563
0.107,0.267,0.123,0.001,0.3745,0.002,0.13913301060048747
0.029,0.116,0.038,0.001,0.221,0.001,0.029831547041991927
0.133,0.315,0.139,0.001,0.68,0.003,0.20092980393434473
0.032,0.076,0.036,0.001,0.196,0.001,0.01677980286585869
0.05,0.067,0.052,0.001,0.428,0.004,0.012573997750209513
0.004,0.018,0.006,0.001,0.035,0.001,0.0031253530031594176
0.078,0.174,0.072,0.001,0.406,0.001,0.06976016685388754
0.004,0.006,0.003,0.001,0.03,0.001,0.00043650104911792316
0.149,0.3435,0.169,0.002,0.809,0.004,0.22391463415987245
0.129,0.396,0.152,0.002,0.707,0.003,0.27603532634833805
0.097,0.233,0.095,0.001,0.389,0.002,0.11162285503451226
0.075,0.215,0.105,0.001,0.594,0.002,0.09913729793999941
0.1105,0.227,0.121,0.002,0.65,0.004,0.11274379295086065
0.114,0.214,0.115,0.001,0.523,0.001,0.09400530122011733
0.394,0.602,0.461,0.002,0.979,0.005,0.6647203541620179
0.102,0.283,0.104,0.002,0.5875,0.002,0.16999284977809473
0.072,0.2215,0.083,0.001,0.438,0.001,0.12336867774798378
0.007,0.016,0.01,0.001,0.02,0.001,0.0010654209456267788
0.251,0.478,0.319,0.002,0.973,0.007,0.3977685473075043
0.112,0.268,0.107,0.001,0.557,0.003,0.1567470368442884
0.637,0.704,0.742,0.003,0.994,0.012,0.9703164417017427
0.014,0.0635,0.015,0.001,0.118,0.001,0.02337837119171892
0.074,0.11,0.074,0.001,0.3925,0.001,0.029986631340134965
0.281,0.496,0.305,0.001,0.972,0.002,0.45256735503339895
0.328,0.583,0.372,0.002,0.945,0.005,0.5266013576113249
0.35,0.6485,0.378,0.001,0.951,0.004,0.681562877600824
0.228,0.379,0.223,0.002,0.864,0.006,0.24326932447506738
0.004,0.004,0.004,0.001,0.009,0.001,2.9411759062614037e-05
0.021,0.037,0.02,0.001,0.117,0.001,0.005501537482377194
0.045,0.169,0.043,0.001,0.18,0.001,0.07714827465564661
0.11,0.19,0.136,0.003,0.841,0.016,0.10216953662730169
0.078,0.257,0.088,0.001,0.237,0.001,0.12069674719867662
0.098,0.174,0.087,0.001,0.623,0.003,0.07882835804721397
0.004,0.009,0.004,0.001,0.012,0.001,0.001232204571057765
0.084,0.2055,0.086,0.001,0.569,0.002,0.09638518124198767
0.031,0.149,0.037,0.001,0.269,0.001,0.0634875699322769
0.147,0.382,0.138,0.001,0.5715,0.003,0.23580569028756646
0.468,0.6865,0.541,0.001,0.978,0.007,0.7935912230566577
0.006,0.009,0.003,0.001,0.014,0.001,0.0009753440471547145
0.054,0.2245,0.062,0.001,0.419,0.001,0.10602578751406846
0.042,0.137,0.039,0.001,0.186,0.001,0.05611005594628977
0.062,0.136,0.057,0.001,0.272,0.001,0.04171893911684926
0.057,0.13,0.054,0.001,0.276,0.002,0.04964720084877217
0.009,0.045,0.004,0.001,0.06,0.002,0.0108735003763545
0.002,0.005,0.003,0.001,0.008,0.001,8.643928153079857e-05
0.0265,0.036,0.021,0.001,0.126,0.001,0.007685162970190032
0.039,0.112,0.045,0.001,0.158,0.001,0.026765541318329533
0.13,0.336,0.137,0.001,0.569,0.001,0.20089144813832893
0.452,0.6425,0.507,0.003,0.984,0.006,0.7327199705207761
0.041,0.112,0.045,0.001,0.289,0.002,0.04056363426142282
0.029,0.11,0.037,0.001,0.139,0.001,0.03330940436491923
0.068,0.283,0.074,0.001,0.456,0.001,0.1597455542951503
0.227,0.465,0.252,0.001,0.863,0.003,0.4332714290244689
0.032,0.078,0.019,0.001,0.096,0.001,0.02755804681940805
0.035,0.113,0.035,0.001,0.203,0.001,0.027297033326223984
0.065,0.209,0.054,0.001,0.358,0.001,0.10370026773880311
0.13,0.296,0.143,0.001,0.61,0.001,0.17863759785880534
0.1,0.268,0.112,0.001,0.704,0.001,0.1398028984391173
0.141,0.253,0.16,0.001,0.853,0.001,0.13299113250491867
0.255,0.4075,0.249,0.001,0.8525,0.001,0.27026343852574225
0.025,0.0345,0.025,0.002,0.115,0.003,0.003773551732905198
0.01,0.017,0.005,0.001,0.031,0.001,0.0021371875443218454
0.016,0.037,0.013,0.001,0.104,0.001,0.0045532002413451915
0.018,0.06,0.019,0.001,0.1,0.001,0.011368469648506779
0.2595,0.431,0.247,0.001,0.928,0.003,0.3459618419702756
0.24,0.566,0.281,0.001,0.909,0.002,0.5267057074374084
0.571,0.6955,0.639,0.001,0.989,0.004,0.9818244221880416
0.269,0.481,0.289,0.003,0.957,0.003,0.38628379480398956
0.028,0.094,0.034,0.001,0.16,0.002,0.02864279104386297
0.055,0.191,0.064,0.001,0.3335,0.002,0.0835534508115141
0.068,0.204,0.069,0.001,0.421,0.003,0.09227765263578423
0.114,0.322,0.121,0.001,0.506,0.002,0.19842647709620256
0.797,0.605,0.861,0.008,1.0,0.027,0.6396881890798987
0.108,0.372,0.128,0.001,0.72,0.001,0.28445191184190305
0.263,0.5505,0.287,0.001,0.847,0.003,0.4752366225144521
0.04,0.103,0.043,0.001,0.244,0.001,0.02892835042724104
0.01,0.029,0.011,0.001,0.047,0.001,0.002190201305296256
0.104,0.314,0.113,0.003,0.515,0.003,0.1971388129134681
0.01,0.021,0.013,0.001,0.05,0.001,0.001464804953855769
0.098,0.383,0.125,0.001,0.629,0.002,0.2840524760555098
0.211,0.5315,0.26,0.001,0.855,0.001,0.5308074077413046
0.089,0.355,0.087,0.001,0.569,0.001,0.21026438134866093
0.044,0.146,0.045,0.001,0.25,0.001,0.058815518078921006
0.03,0.131,0.027,0.001,0.259,0.001,0.049356796506023724
0.111,0.2185,0.115,0.002,0.504,0.002,0.10848325278825002
0.217,0.543,0.267,0.001,0.846,0.002,0.4634199516177109
0.011,0.019,0.007,0.001,0.069,0.001,0.0029161280227872183
0.137,0.343,0.154,0.001,0.687,0.001,0.2274446464019285
0.691,0.7135,0.797,0.001,0.999,0.01,0.8807494016691804
0.006,0.006,0.003,0.001,0.024,0.001,0.0007629516385595801
0.009,0.045,0.013,0.001,0.06,0.001,0.00854772014303605
0.045,0.153,0.05,0.001,0.247,0.001,0.05003409451651961
0.013,0.03,0.015,0.001,0.047,0.001,0.004037489479642642
0.133,0.3435,0.147,0.001,0.671,0.001,0.22793223122909678
0.015,0.046,0.007,0.001,0.05,0.001,0.00666438585669829
0.033,0.118,0.031,0.001,0.159,0.001,0.03788514091495908
0.064,0.135,0.057,0.001,0.323,0.002,0.05013100896191671
0.244,0.595,0.272,0.001,0.841,0.002,0.5367403995184936
0.207,0.473,0.24,0.001,0.759,0.006,0.43568265037434906
0.05,0.216,0.06,0.001,0.425,0.001,0.10898468372476726
0.046,0.142,0.05,0.001,0.213,0.001,0.04284007887558834
0.65,0.6815,0.71,0.002,0.992,0.003,0.9830945460278526
