OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.001,0.001,0.001,0.002,0.001,0.001,1.2020528885645067e-05
0.026,0.005,0.006,0.037,0.005,0.012,0.0018386644510110179
0.002,0.001,0.001,0.003,0.001,0.001,1.3785847377092576e-06
0.001,0.001,0.001,0.001,0.001,0.001,6.016827155369522e-07
0.036,0.014,0.017,0.057,0.011,0.026,0.01058696607169603
0.002,0.001,0.001,0.002,0.001,0.001,4.583043300372474e-05
0.088,0.007,0.008,0.24,0.007,0.016,0.0026583380173802844
0.021,0.004,0.004,0.014,0.003,0.006,0.0008681361342311438
0.001,0.001,0.001,0.001,0.001,0.001,2.5878813205421477e-05
0.002,0.001,0.001,0.003,0.001,0.001,8.21632085034806e-06
0.003,0.001,0.002,0.005,0.001,0.002,0.000252363956585598
0.097,0.122,0.124,0.1115,0.132,0.132,0.09543246255142603
0.003,0.002,0.002,0.006,0.002,0.003,0.00014431484196473707
0.001,0.001,0.001,0.001,0.001,0.001,8.719763568695987e-06
0.001,0.002,0.001,0.001,0.001,0.001,0.0004541055136892326
0.074,0.022,0.028,0.079,0.021,0.039,0.014031226073156555
0.001,0.001,0.001,0.001,0.001,0.001,8.768275513698562e-07
0.003,0.001,0.002,0.002,0.001,0.002,0.000240956022301253
0.002,0.001,0.001,0.002,0.001,0.001,3.1678140805169286e-05
0.001,0.001,0.002,0.003,0.001,0.002,1.5146047318832497e-05
0.001,0.001,0.001,0.001,0.001,0.001,3.1108086371178386e-06
0.013,0.009,0.012,0.013,0.009,0.014,0.005577988366675502
0.045,0.021,0.019,0.0345,0.021,0.019,0.009107667702332114
0.095,0.011,0.02,0.081,0.0115,0.025,0.006560613483641783
0.003,0.001,0.001,0.005,0.001,0.001,0.00018680921714066072
0.001,0.001,0.001,0.002,0.001,0.001,6.37869061373286e-05
0.001,0.002,0.002,0.002,0.003,0.001,0.00019007216543615062
0.295,0.2915,0.279,0.3005,0.3035,0.281,0.2634565809060574
0.009,0.004,0.003,0.012,0.004,0.004,0.0014550334817082138
0.129,0.076,0.089,0.15,0.081,0.103,0.044774604860605326
0.001,0.001,0.001,0.001,0.001,0.001,9.374827582967919e-07
0.002,0.001,0.002,0.003,0.001,0.002,0.00018783246769665734
0.011,0.011,0.01,0.012,0.012,0.009,0.005489258410863929
0.001,0.001,0.001,0.001,0.001,0.001,7.882422710764988e-05
0.001,0.001,0.001,0.001,0.001,0.001,9.927599717646894e-06
0.075,0.029,0.038,0.0855,0.028,0.04,0.016000271265486393
0.009,0.001,0.001,0.009,0.001,0.002,0.0002194757254804751
0.001,0.001,0.001,0.001,0.001,0.001,7.846410864957093e-06
0.001,0.001,0.001,0.001,0.001,0.001,8.66352246154111e-08
0.001,0.001,0.001,0.002,0.001,0.001,0.0004120800691410767
0.007,0.006,0.005,0.005,0.006,0.005,0.0028778279887752816
0.018,0.003,0.005,0.021,0.003,0.006,0.0010102293072617753
0.002,0.002,0.002,0.001,0.002,0.001,9.786625144904766e-05
0.047,0.008,0.018,0.043,0.0105,0.025,0.005075107389769235
0.001,0.001,0.001,0.001,0.001,0.001,1.0147243128721048e-05
0.008,0.01,0.007,0.01,0.012,0.003,0.005008499500448836
0.002,0.001,0.001,0.002,0.002,0.001,6.562639089024506e-05
0.016,0.005,0.007,0.023,0.005,0.008,0.00302421821141989
0.001,0.001,0.001,0.001,0.001,0.001,1.3046578401302523e-05
0.001,0.001,0.001,0.001,0.001,0.001,4.488615592966963e-06
0.023,0.035,0.032,0.023,0.034,0.029,0.023061380420914594
0.001,0.001,0.001,0.001,0.001,0.001,1.307557287888954e-05
0.001,0.001,0.001,0.001,0.001,0.001,7.178277120660072e-05
0.001,0.001,0.001,0.001,0.001,0.001,4.5366312129030656e-05
0.006,0.004,0.003,0.003,0.005,0.003,0.0009969795917641135
0.001,0.001,0.001,0.001,0.001,0.001,5.497332310880237e-07
0.011,0.001,0.001,0.013,0.001,0.001,0.00013708430705124244
0.012,0.007,0.006,0.014,0.007,0.007,0.00245142166966116
0.056,0.007,0.012,0.07,0.009,0.017,0.004006857816261596
0.047,0.003,0.005,0.068,0.003,0.011,0.0014351944837736738
0.001,0.001,0.001,0.001,0.001,0.001,6.075011085359191e-06
0.001,0.001,0.001,0.002,0.001,0.001,0.00018861306320452974
0.008,0.001,0.001,0.007,0.001,0.003,0.00026319863620669927
0.001,0.001,0.001,0.001,0.001,0.001,8.16681700228488e-09
0.028,0.002,0.004,0.03,0.003,0.004,0.0009499107328501957
0.363,0.018,0.038,0.2115,0.018,0.063,0.00864740831660165
0.001,0.002,0.004,0.001,0.002,0.004,0.0009817549339881059
0.057,0.04,0.055,0.106,0.038,0.066,0.025783532280564875
0.013,0.007,0.006,0.013,0.006,0.005,0.003129505954461549
0.002,0.001,0.001,0.01,0.001,0.001,0.00013652908677512824
0.002,0.001,0.001,0.002,0.001,0.001,6.684017896444669e-05
0.001,0.001,0.001,0.001,0.001,0.001,5.822754255614678e-07
0.007,0.001,0.001,0.008,0.001,0.001,2.473826265022019e-05
0.001,0.001,0.001,0.002,0.001,0.001,1.9617189831509614e-05
0.001,0.001,0.001,0.001,0.001,0.001,8.7602822358424e-06
0.028,0.007,0.013,0.048,0.006,0.015,0.008706702584726427
0.001,0.001,0.001,0.001,0.001,0.001,1.8091050256702717e-07
0.001,0.001,0.001,0.001,0.001,0.001,9.606298082194533e-05
0.004,0.002,0.001,0.004,0.003,0.001,0.0008442391372513548
