OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.311,0.406,0.211,0.5545,0.3245,0.3675,0.4063258835547954
0.062,0.08,0.013,0.0545,0.0735,0.011,0.069445722391089
0.011,0.067,0.007,0.011,0.088,0.004,0.06775541088895452
0.022,0.032,0.027,0.026,0.035,0.024,0.040532757628571704
0.039,0.052,0.014,0.046,0.051,0.0115,0.03975250637556854
0.002,0.004,0.005,0.002,0.004,0.002,0.0016719610006566325
0.005,0.019,0.001,0.002,0.009,0.001,0.013983436956381406
0.029,0.422,0.06,0.022,0.877,0.009,0.41254618412764454
0.002,0.002,0.001,0.002,0.002,0.001,0.001152660467749326
0.1145,0.0955,0.021,0.1125,0.045,0.02,0.08310948448285413
0.005,0.095,0.01,0.008,0.056,0.007,0.08551133886784205
0.001,0.002,0.001,0.001,0.002,0.001,0.0017170581997168826
0.109,0.002,0.006,0.01,0.001,0.0025,0.0003815866325145131
0.015,0.025,0.009,0.008,0.022,0.009,0.014702755639987755
0.001,0.001,0.001,0.001,0.001,0.001,0.00022702203291230175
0.005,0.0815,0.001,0.001,0.068,0.001,0.083488802886608
0.016,0.003,0.002,0.0125,0.001,0.003,0.0019899980886466146
0.01,0.111,0.012,0.0065,0.077,0.008,0.0963034346836024
0.001,0.002,0.001,0.001,0.002,0.001,0.00016706531022500352
0.067,0.4305,0.076,0.0845,0.331,0.07,0.40439287856173567
0.001,0.001,0.002,0.001,0.001,0.002,0.0004641656453154634
0.004,0.017,0.001,0.004,0.011,0.003,0.017032626248897762
0.001,0.001,0.001,0.001,0.001,0.001,6.0314586236595596e-05
0.2935,0.559,0.2105,0.3815,0.55,0.22,0.5377700829055021
0.002,0.001,0.001,0.002,0.001,0.001,0.0001337498138869876
0.015,0.028,0.006,0.011,0.022,0.004,0.019583299202205796
0.307,0.484,0.2005,0.81,0.367,0.2725,0.45790537859991187
0.2165,0.118,0.055,0.3125,0.089,0.072,0.132886906185997
0.1195,0.5615,0.226,0.06,0.7055,0.158,0.5421498288718757
0.011,0.058,0.008,0.004,0.054,0.005,0.04046428220082805
0.481,0.009,0.011,0.367,0.007,0.017,0.008633119416909312
0.005,0.006,0.003,0.004,0.006,0.003,0.0026455079247724883
0.071,0.039,0.045,0.06,0.028,0.055,0.03306854269662681
0.001,0.003,0.001,0.001,0.002,0.001,0.0023494723652312225
0.017,0.2305,0.0695,0.011,0.2035,0.0355,0.19923933400315127
0.002,0.001,0.001,0.001,0.001,0.001,0.0003401176062979619
0.006,0.019,0.004,0.015,0.015,0.003,0.010870626720763322
0.001,0.001,0.001,0.001,0.001,0.001,1.952083509203174e-05
0.009,0.023,0.006,0.008,0.026,0.005,0.022474402449420533
0.003,0.001,0.001,0.001,0.001,0.001,0.00022108199356701879
0.045,0.1675,0.061,0.063,0.157,0.053,0.13991127356913396
0.006,0.0395,0.001,0.005,0.024,0.001,0.025946624292112964
0.001,0.008,0.001,0.001,0.0055,0.001,0.007331698679417986
0.059,0.066,0.024,0.077,0.061,0.025,0.057386789497009094
0.0755,0.1215,0.047,0.073,0.079,0.046,0.11162026792083068
0.001,0.001,0.001,0.001,0.001,0.001,0.0010503905944329714
0.003,0.114,0.01,0.001,0.202,0.001,0.10721019609035842
0.171,0.141,0.0925,0.189,0.1145,0.117,0.11796974618350814
0.057,0.3565,0.076,0.074,0.3945,0.045,0.3267468113780686
0.122,0.6985,0.091,0.0265,0.9395,0.033,0.6963919550089637
0.048,0.2575,0.028,0.061,0.2635,0.023,0.24515316667612327
0.2765,0.221,0.4895,0.209,0.149,0.316,0.19738480031757652
0.001,0.001,0.001,0.001,0.001,0.001,3.325234510715266e-06
0.0555,0.003,0.001,0.002,0.002,0.001,0.0022354417161025474
0.012,0.332,0.006,0.001,0.748,0.001,0.32336546150272405
0.013,0.145,0.002,0.0045,0.0315,0.002,0.13087802784527838
0.386,0.865,0.531,0.125,0.99,0.1665,0.8842821649349105
0.033,0.044,0.008,0.009,0.062,0.005,0.0399464730369766
0.015,0.3775,0.008,0.003,0.607,0.003,0.34121212546423274
0.075,0.033,0.015,0.094,0.031,0.016,0.030018507732532205
0.001,0.001,0.001,0.001,0.001,0.001,0.00014063139121780216
0.001,0.016,0.002,0.004,0.006,0.001,0.012180129866480581
0.4705,0.864,0.687,0.3995,0.783,0.626,0.8853814825099403
0.016,0.1535,0.032,0.006,0.229,0.011,0.1435234332982703
0.001,0.003,0.001,0.001,0.003,0.001,0.0004039084247346492
0.016,0.0845,0.013,0.014,0.068,0.008,0.06458840407636181
0.025,0.386,0.053,0.005,0.584,0.018,0.3649803946670398
0.001,0.001,0.001,0.001,0.001,0.001,6.784895996110843e-06
0.002,0.001,0.001,0.001,0.001,0.001,0.00010844260044183014
0.3345,0.5775,0.276,0.317,0.65,0.2425,0.5517299099025778
0.001,0.001,0.001,0.001,0.001,0.001,0.0006499964055603685
0.4325,0.057,0.154,0.262,0.062,0.1715,0.06315056145379654
0.002,0.034,0.007,0.001,0.023,0.005,0.023251050375813816
0.007,0.006,0.003,0.005,0.005,0.004,0.002764668362050224
0.004,0.007,0.003,0.003,0.007,0.003,0.007089638419423428
0.003,0.017,0.006,0.002,0.021,0.004,0.011157558483677997
0.024,0.008,0.001,0.001,0.003,0.001,0.007235682958539114
0.004,0.039,0.005,0.004,0.039,0.003,0.03544419678900258
0.009,0.035,0.023,0.006,0.033,0.017,0.025448550143650845
0.069,0.1035,0.077,0.1065,0.0765,0.087,0.10063699276884912
0.001,0.001,0.001,0.001,0.002,0.001,0.0003557870361780829
0.003,0.002,0.001,0.003,0.001,0.001,0.0018447065111123118
0.019,0.002,0.001,0.01,0.002,0.002,0.0014562465148785357
0.201,0.521,0.2475,0.213,0.6,0.186,0.5171532135182059
0.006,0.002,0.001,0.002,0.002,0.001,0.0007140886934580861
0.121,0.3055,0.1055,0.1055,0.3435,0.0635,0.31975337521943686
0.372,0.7755,0.384,0.351,0.793,0.276,0.7733280733377644
0.003,0.006,0.005,0.004,0.006,0.005,0.0019315899211281384
0.1005,0.052,0.01,0.046,0.0395,0.01,0.04426708015976431
0.002,0.055,0.002,0.003,0.052,0.002,0.04827582211735908
0.015,0.081,0.0165,0.01,0.0905,0.008,0.0685613284406664
0.008,0.021,0.005,0.008,0.015,0.005,0.017808673067398098
0.103,0.41,0.193,0.0945,0.5425,0.1245,0.3907819235337525
0.167,0.224,0.218,0.178,0.215,0.2315,0.20944807193010948
0.01,0.027,0.005,0.01,0.016,0.003,0.021549114388721903
0.004,0.044,0.007,0.003,0.07,0.003,0.03530891367518379
0.001,0.015,0.003,0.003,0.012,0.002,0.01218327720131847
0.017,0.29,0.025,0.009,0.36,0.011,0.2755873731982997
0.222,0.007,0.011,0.093,0.008,0.013,0.00514524325843209
0.038,0.002,0.001,0.013,0.001,0.001,0.0027510012595380303
0.0235,0.084,0.007,0.03,0.067,0.005,0.06956433556443742
0.011,0.059,0.01,0.018,0.048,0.008,0.04417875263714596
0.262,0.016,0.051,0.002,0.007,0.003,0.016334197148660117
0.327,0.7485,0.394,0.418,0.747,0.3345,0.7067453102672565
0.004,0.008,0.001,0.001,0.0095,0.001,0.007921967243633452
