OLS__L1,OLS__L2,OLS__Huber,Huber__L1,Huber__L2,Huber__Huber,t-test
0.024,0.038,0.009,0.012,0.03,0.006,0.035829520556067716
0.115,0.207,0.021,0.0345,0.128,0.008,0.19112936805901024
0.01,0.119,0.01,0.001,0.0995,0.001,0.10629096724245662
0.025,0.0685,0.007,0.002,0.037,0.002,0.05866198507124332
0.084,0.094,0.003,0.046,0.026,0.008,0.09512297400409389
0.229,0.3815,0.1375,0.126,0.4805,0.041,0.4005457424517732
0.115,0.009,0.009,0.022,0.005,0.006,0.0020072497078868355
0.021,0.168,0.013,0.003,0.1265,0.002,0.14596012870756062
0.3405,0.33,0.1445,0.0885,0.3645,0.09,0.43294244906495416
0.5775,0.42,0.24,0.3905,0.415,0.198,0.4317888417920933
0.14,0.25,0.072,0.062,0.1465,0.057,0.2656345516579049
0.0985,0.3895,0.0465,0.015,0.795,0.007,0.3871595166335031
0.161,0.005,0.002,0.121,0.004,0.006,0.001734014003087663
0.014,0.038,0.015,0.002,0.0415,0.006,0.03211902155697671
0.242,0.2175,0.062,0.053,0.347,0.024,0.2633077317711564
0.2125,0.719,0.2535,0.009,0.992,0.013,0.7316974073542852
0.446,0.818,0.4195,0.6655,0.726,0.407,0.8379340061075391
0.116,0.15,0.067,0.136,0.1105,0.054,0.13518148716102715
0.509,0.681,0.532,0.372,0.8925,0.473,0.6798975962652272
0.7315,0.8195,0.654,0.7105,0.752,0.656,0.8393277946714088
0.9435,0.563,0.96,0.007,1.0,0.003,0.5507410835546438
0.232,0.6375,0.242,0.089,0.715,0.065,0.6424966541872628
0.534,0.898,0.4945,0.0745,0.9565,0.137,0.9766304067033168
0.159,0.0235,0.011,0.03,0.011,0.006,0.012000900781519342
0.489,0.141,0.11,0.263,0.0995,0.082,0.13548842956210466
0.073,0.181,0.0495,0.028,0.1315,0.034,0.2142372737157625
0.046,0.183,0.018,0.004,0.2895,0.004,0.20724769050481542
0.027,0.1485,0.039,0.021,0.136,0.021,0.15007198709045824
0.6585,0.347,0.508,0.4165,0.326,0.176,0.4097704355179673
0.823,0.5585,0.685,0.512,0.563,0.5815,0.5377904285172885
0.032,0.039,0.011,0.011,0.025,0.006,0.021549703509409122
0.066,0.078,0.078,0.02,0.078,0.015,0.051435523175737304
0.343,0.585,0.226,0.378,0.418,0.1725,0.585035239930758
0.763,0.7585,0.831,0.09,0.995,0.042,0.7756854343248876
0.14,0.266,0.054,0.008,0.265,0.011,0.23565753229432407
0.4725,0.2815,0.53,0.2575,0.2825,0.28,0.2903826733363719
0.155,0.0785,0.009,0.2085,0.0385,0.011,0.07107748338068282
0.0035,0.007,0.001,0.002,0.006,0.001,0.0023888853334702773
0.153,0.087,0.0645,0.137,0.081,0.052,0.0866960963467597
0.0505,0.07,0.0255,0.014,0.057,0.009,0.054655157016362955
0.752,0.5335,0.795,0.5945,0.8605,0.571,0.5373627132675853
0.5815,0.7175,0.626,0.7865,0.599,0.749,0.7406931299903451
0.012,0.025,0.004,0.008,0.017,0.002,0.018681241928254082
0.114,0.1335,0.039,0.072,0.067,0.028,0.1435858569947458
0.075,0.1435,0.015,0.042,0.0845,0.017,0.13111199624300637
0.1695,0.301,0.06,0.043,0.2985,0.025,0.31553172475343727
0.038,0.038,0.009,0.011,0.035,0.005,0.029786915916019646
0.2825,0.072,0.055,0.268,0.061,0.045,0.06896258756413796
0.33,0.4135,0.1625,0.246,0.4555,0.111,0.41790950310208796
0.077,0.1525,0.036,0.102,0.108,0.0275,0.1551507820878298
0.6025,0.615,0.2945,0.203,0.6815,0.2655,0.7168206810595426
0.2885,0.5665,0.3595,0.216,0.527,0.2145,0.5561275165005235
0.5365,0.1295,0.1255,0.2505,0.132,0.164,0.12889248414065038
0.009,0.0415,0.002,0.001,0.016,0.002,0.030082336721725125
0.044,0.0555,0.028,0.013,0.038,0.031,0.052941749597372016
0.102,0.07,0.037,0.006,0.026,0.005,0.0842085224418481
0.5235,0.209,0.695,0.1935,0.236,0.312,0.22887351753975865
0.424,0.529,0.2515,0.744,0.4395,0.217,0.5106853963427571
0.3015,0.713,0.251,0.0125,0.985,0.014,0.6990590692795295
0.349,0.1835,0.184,0.6765,0.1505,0.157,0.1993220099045287
0.404,0.831,0.409,0.286,0.941,0.2185,0.8325544554464215
0.0515,0.4585,0.028,0.003,0.8475,0.001,0.43541869212859974
0.267,0.401,0.187,0.3255,0.3535,0.108,0.3699992178670861
0.291,0.496,0.237,0.078,0.684,0.103,0.5281307340405961
0.481,0.769,0.209,0.437,0.67,0.176,0.7750111721580724
0.517,0.3635,0.122,0.155,0.435,0.025,0.32363272585888314
0.312,0.6625,0.344,0.086,0.8935,0.161,0.6557146909197287
0.161,0.012,0.018,0.125,0.013,0.026,0.013754339695197994
0.0645,0.265,0.019,0.002,0.2455,0.002,0.2562281491858009
0.74,0.177,0.124,0.3995,0.17,0.147,0.17656093926966693
0.062,0.065,0.2575,0.021,0.016,0.002,0.05718279677236793
0.347,0.444,0.227,0.5335,0.421,0.1605,0.4318415386269038
0.0885,0.004,0.017,0.014,0.002,0.002,0.00019448340174343582
0.746,0.7945,0.757,0.013,0.9915,0.006,0.8569134603336045
0.303,0.017,0.034,0.055,0.018,0.035,0.0050253502978427145
0.023,0.0755,0.012,0.006,0.052,0.006,0.04672892235586326
0.6525,0.09,0.4085,0.163,0.104,0.222,0.07900373317091865
0.339,0.205,0.089,0.1925,0.203,0.071,0.1889562579102949
0.0645,0.192,0.017,0.014,0.1945,0.005,0.15966153068510303
