,Huber-Huber-RobustPALMRT-pval,OLS-L2-PALMRT-pval,F-test-pval
0,0.6755,0.7775,0.7938332469922618
1,0.385,0.5025,0.4802220564474903
2,0.002,0.049,0.034470921936375465
3,0.065,0.053,0.037332298029672535
4,0.001,0.006,0.005521370199979832
5,0.032,0.15,0.12369415483210733
6,0.399,0.774,0.8014911765970274
7,0.6985,0.2895,0.2638154707225621
8,0.04,0.043,0.03497693527464523
9,0.37,0.5755,0.5359766882021151
10,0.102,0.163,0.1351637008716502
11,0.146,0.7735,0.7770570757484281
12,0.05,0.163,0.13594053211588977
13,0.036,0.157,0.15619996552875945
14,0.07,0.118,0.08937408357786916
15,0.011,0.052,0.04925655173935183
16,0.4025,0.4595,0.4192333631504016
17,0.042,0.1395,0.13314043992408317
18,0.2605,0.306,0.2735735238473872
19,0.111,0.5355,0.5214549130116344
20,0.6665,0.7305,0.7417108920561822
21,0.6655,0.749,0.7455017483280205
22,0.065,0.305,0.28754943303976793
23,0.044,0.256,0.22825330933904237
24,0.8295,0.279,0.2366329439047583
25,0.4885,0.331,0.2985032522986114
26,0.175,0.371,0.36988891139809066
27,0.845,0.803,0.8188531898084188
28,0.0715,0.5935,0.5784065247776438
29,0.001,0.012,0.008200903833578743
30,0.015,0.022,0.012494809314484961
31,0.001,0.001,0.00012496762473210047
32,0.142,0.4805,0.43779715946858067
33,0.3585,0.521,0.5143854147099913
34,0.064,0.142,0.12569678091596723
35,0.793,0.819,0.8500169093766208
36,0.015,0.356,0.341500625402562
37,0.504,0.3855,0.35969427318586533
38,0.164,0.426,0.3885441264978551
39,0.022,0.388,0.33888515052260315
40,0.2095,0.527,0.5098425715175507
41,0.006,0.012,0.006766039944245804
42,0.3075,0.333,0.2994258384351904
43,0.209,0.7205,0.6804923466994819
44,0.163,0.1595,0.1488370918122643
45,0.4675,0.529,0.5303627829225717
46,0.017,0.072,0.06419935193990581
47,0.015,0.07,0.04959602351917049
48,0.091,0.161,0.12850984475372457
49,0.064,0.058,0.04954840695164615
50,0.1975,0.278,0.24491345903249306
51,0.459,0.4555,0.4310651968912682
52,0.104,0.267,0.24249820584197734
53,0.174,0.174,0.14141219327520055
54,0.111,0.377,0.32856687400394213
55,0.1395,0.4825,0.4676629320518958
56,0.022,0.4615,0.43977410536819295
57,0.1055,0.184,0.15515776995500968
58,0.047,0.039,0.024434557030537086
59,0.7935,0.8675,0.975094536580956
60,0.066,0.1755,0.15003922587080532
61,0.272,0.8265,0.851525001968072
62,0.215,0.2905,0.2504629852980141
63,0.02,0.014,0.015177393461361183
64,0.107,0.453,0.4443059433455189
65,0.038,0.098,0.07527144774435883
66,0.123,0.342,0.3255232566864288
67,0.2665,0.169,0.13977731661627116
68,0.026,0.205,0.17970796277462595
69,0.028,0.02,0.011418404743151483
70,0.2055,0.049,0.03887046461550047
71,0.086,0.2495,0.2103713029325027
72,0.046,0.095,0.06906956035736549
73,0.47,0.836,0.8947425358751442
74,0.617,0.225,0.21237713638739322
75,0.1495,0.2205,0.1932383006023499
76,0.107,0.5625,0.5495220928543194
77,0.826,0.8125,0.8540739564038775
78,0.04,0.199,0.16631581373153717
79,0.7325,0.6265,0.5783235556815816
80,0.6025,0.794,0.8329827450041869
81,0.078,0.102,0.09332944232564601
82,0.01,0.049,0.047606589870805356
83,0.027,0.074,0.06302975240753712
84,0.2945,0.7835,0.8088995461566977
85,0.074,0.2045,0.17932932754411732
86,0.1,0.067,0.039127041776421144
87,0.004,0.113,0.08974748497636223
88,0.001,0.795,0.8057828704817163
89,0.189,0.3445,0.31824613561517395
90,0.123,0.3065,0.30113167986201117
91,0.012,0.078,0.06042269279558713
92,0.088,0.0745,0.06588133292766424
93,0.186,0.2855,0.2622364017964998
94,0.69,0.4705,0.419306247219687
95,0.5655,0.56,0.5212239344385803
96,0.066,0.193,0.1865632240387567
97,0.008,0.011,0.005678412868679488
98,0.004,0.012,0.006280899179047204
99,0.097,0.107,0.078270722581306
100,0.4895,0.39,0.3726773914775474
101,0.581,0.768,0.7741202261095776
102,0.267,0.164,0.1371135698726898
103,0.002,0.039,0.02862952851933234
104,0.3955,0.7695,0.7952100548505466
105,0.42,0.7475,0.7373438391950224
106,0.5835,0.8435,0.9024507967926879
107,0.748,0.367,0.3305363498388949
108,0.013,0.082,0.05735674017596402
109,0.001,0.001,0.00012955939180605712
110,0.596,0.6685,0.652255414086931
111,0.3415,0.8685,0.9855299568951882
112,0.06,0.1455,0.1236658630566172
113,0.5025,0.265,0.22633102500403462
114,0.276,0.834,0.9398774450240599
115,0.4045,0.084,0.06148717925018092
116,0.455,0.6805,0.6550766266997494
117,0.191,0.772,0.8017562497375003
118,0.074,0.1145,0.09964673408789287
119,0.2505,0.3085,0.2719845616706728
120,0.4185,0.553,0.5507669327856165
121,0.3435,0.754,0.7672466181614502
122,0.6575,0.683,0.6582499998599123
123,0.005,0.037,0.025179094483806824
124,0.001,0.026,0.02315968223370323
125,0.002,0.5435,0.5152049829930394
126,0.055,0.191,0.1601600674964097
127,0.104,0.3195,0.2920433648123781
128,0.002,0.033,0.021561153530180042
129,0.4545,0.861,0.9811453914789587
130,0.064,0.7285,0.7257580450439673
131,0.001,0.027,0.01648520730574079
132,0.044,0.162,0.1323358045508466
133,0.2775,0.499,0.45454735637909083
134,0.255,0.161,0.155261877745103
135,0.013,0.01,0.0038570726364470166
136,0.419,0.544,0.4917139886033459
137,0.858,0.8545,0.9519155602974698
138,0.85,0.353,0.33754038374217676
139,0.6395,0.8565,0.9945665098178775
140,0.261,0.5385,0.5149683966865222
141,0.201,0.408,0.3631854601484441
142,0.038,0.184,0.15071015099613097
143,0.446,0.544,0.5126750911732336
144,0.7385,0.5685,0.5612809855616337
145,0.703,0.5175,0.5202213629922137
146,0.024,0.04,0.025876676926295212
147,0.457,0.342,0.34862888101949396
148,0.095,0.126,0.10979785310869623
149,0.2845,0.3825,0.32859761681664557
150,0.006,0.012,0.009735599553025697
151,0.169,0.037,0.025426365347636284
152,0.019,0.015,0.012384271300364928
153,0.142,0.664,0.668295880487014
154,0.007,0.032,0.02038884617674507
155,0.0285,0.234,0.2281517541886601
156,0.025,0.039,0.02727487830917441
157,0.126,0.314,0.2855274675141387
158,0.004,0.022,0.013275351219408617
159,0.4875,0.8535,0.9563291960525255
160,0.048,0.06,0.04274503250484359
161,0.137,0.3805,0.3703512919467109
162,0.03,0.298,0.26411567987593243
163,0.085,0.836,0.8870483878206015
164,0.003,0.003,0.0007214742785055131
165,0.037,0.2625,0.2284644813740528
166,0.042,0.684,0.6438432784373485
167,0.724,0.2525,0.24426843560674644
